stan,lon,lat,elv,cc_dv_dv,cc_dv_temp,cc_dv_soil,cc_dv_snow,cc_dv_GSL,cc_dv_UL
BGU,-113.030,40.921,1640.0,1.00,-0.07,-0.25,0.11,-0.67,-0.82
BRPU,-110.740,39.473,1687.0,1.00,-0.21,-0.11,0.12,-0.10,-0.07
BSUT,-110.761,40.536,3211.0,1.00,-0.28,-0.14,0.09,-0.25,-0.40
CTU,-111.750,40.693,1731.0,1.00,0.04,-0.77,-0.09,-0.58,-0.68
CVRU,-111.172,38.918,1912.0,1.00,0.28,-0.54,-0.09,-0.00,0.07
DUG,-112.8133,40.195,1477.0,1.00,0.29,-0.61,-0.02,-0.22,-0.21
FOR1,-113.094,38.369,1642.0,1.00,0.72,-0.59,-0.26,-0.14,-0.19
FORU,-112.861,38.459,1840.0,1.00,0.21,-0.72,-0.00,-0.40,-0.43
HMU,-110.742,37.938,2430.0,1.00,-0.44,0.03,-0.01,-0.04,-0.08
HVU1,-112.775,41.780,1609.0,1.00,0.34,-0.53,-0.03,-0.04,-0.58
HVU2,-112.775,41.780,1609.0,1.00,0.26,-0.51,0.04,-0.51,-0.55
HVU2,-112.775,41.780,1609.0,1.00,0.29,-0.35,0.04,-0.51,-0.67
HVU2,-112.775,41.780,1609.0,1.00,-0.28,-0.57,0.14,-0.34,-0.31
HVU2,-112.775,41.780,1609.0,1.00,-0.74,0.50,0.51,-0.23,-0.24
HVU2,-112.775,41.780,1609.0,1.00,0.20,0.08,0.04,0.37,-0.23
HVU2,-112.775,41.780,1609.0,1.00,0.28,-0.36,-0.23,0.16,-0.02
HVU2,-112.775,41.780,1609.0,1.00,-0.05,-0.33,0.13,-0.80,-0.90
HVU2,-112.775,41.780,1609.0,1.00,-0.10,0.15,0.05,0.39,0.33
HVU2,-112.775,41.780,1609.0,1.00,-0.23,0.01,0.27,-0.40,-0.51
HVU2,-112.775,41.780,1609.0,1.00,0.09,-0.41,0.06,-0.41,-0.61
HVU2,-112.775,41.780,1609.0,1.00,0.11,-0.75,-0.03,-0.03,0.29
HVU2,-112.775,41.780,1609.0,1.00,-0.02,-0.30,0.13,-0.22,0.09
HVU2,-112.775,41.780,1609.0,1.00,0.23,-0.09,-0.06,-0.73,-0.57
HVU2,-112.775,41.780,1609.0,1.00,0.23,-0.39,-0.04,-0.46,-0.40
HVU2,-112.775,41.780,1609.0,1.00,0.38,-0.36,-0.06,-0.29,-0.33
HVU2,-112.775,41.780,1609.0,1.00,0.23,-0.58,0.00,-0.54,-0.67
HVU2,-112.775,41.780,1609.0,1.00,0.29,-0.42,-0.07,-0.31,-0.64
HVU2,-112.775,41.780,1609.0,1.00,0.10,-0.52,0.08,-0.59,-0.50
HVU2,-112.775,41.780,1609.0,1.00,-0.20,-0.46,0.28,-0.56,-0.73
HVU2,-112.775,41.780,1609.0,1.00,-0.70,-0.14,0.29,-0.50,-0.48
HVU2,-112.775,41.780,1609.0,1.00,-0.65,0.28,0.23,0.08,0.07
HVU2,-112.775,41.780,1609.0,1.00,-0.59,-0.06,0.19,-0.19,-0.17
