stan,lon,lat,elv,cc_dv_dv,cc_dv_temp,cc_dv_soil
BGU,-113.030,40.921,1640.0,1.00,-0.07,-0.25
BRPU,-110.740,39.473,1687.0,1.00,-0.21,-0.11
BSUT,-110.761,40.536,3211.0,1.00,-0.28,-0.14
CTU,-111.750,40.693,1731.0,1.00,0.04,-0.77
CVRU,-111.172,38.918,1912.0,1.00,0.28,-0.54
DUG,-112.8133,40.195,1477.0,1.00,0.29,-0.61
FOR1,-113.094,38.369,1642.0,1.00,0.72,-0.59
FORU,-112.861,38.459,1840.0,1.00,0.21,-0.72
HMU,-110.742,37.938,2430.0,1.00,-0.44,0.03
HWUT,-111.5652,41.6069,1830.0,1.00,-0.28,-0.57
JLU,-111.450,40.602,2285.0,1.00,-0.70,0.49
LCMT,-113.244,37.012,1411.0,1.00,0.20,0.08
LIUT,-110.325,39.424,2178.0,1.00,0.28,-0.36
MPU,-111.633,40.016,1909.0,1.00,-0.05,-0.33
NOQ,-112.120,40.653,1622.0,1.00,0.09,-0.41
PNSU,-110.246,39.628,2743.0,1.00,0.11,-0.75
PSUT,-113.855,38.534,1999.0,1.00,-0.02,-0.30
RDMU,-109.570,40.571,2087.0,1.00,0.32,-0.11
SPU,-112.449,41.309,2086.0,1.00,0.23,-0.39
SRU,-110.524,39.111,1804.0,1.00,0.38,-0.36
SZCU,-113.088,37.595,2026.0,1.00,0.17,-0.33
TCRU,-112.447,38.609,2293.0,1.00,0.10,-0.52
TCU,-111.408,41.117,2269.0,1.00,-0.20,-0.46
