utvec,dv,err,temp,SM_EWT,date
2007.089722,-0.114400,0.107800,-1.948990,0.464541,2007-02-03
2007.092407,-0.121100,0.108000,-1.924940,0.464670,2007-02-04
2007.095093,-0.126000,0.108000,-1.825300,0.464805,2007-02-05
2007.097900,-0.127600,0.107500,-1.576700,0.464934,2007-02-06
2007.100586,-0.135700,0.108400,-1.369090,0.465069,2007-02-07
2007.103394,-0.132500,0.107900,-1.167290,0.465198,2007-02-08
2007.106079,-0.142700,0.107200,-1.098070,0.465326,2007-02-09
2007.108887,-0.149400,0.105700,-0.999313,0.465461,2007-02-10
2007.111572,-0.156100,0.105100,-0.877699,0.465590,2007-02-11
2007.114258,-0.159600,0.104100,-0.587767,0.465725,2007-02-12
2007.117065,-0.161200,0.103900,-0.200549,0.465854,2007-02-13
2007.119751,-0.161100,0.105400,0.154652,0.465989,2007-02-14
2007.122559,-0.162800,0.105400,0.558186,0.466119,2007-02-15
2007.125244,-0.163000,0.104300,0.993347,0.466251,2007-02-16
2007.128052,-0.164600,0.106400,1.382560,0.466392,2007-02-17
2007.130737,-0.166100,0.107900,1.734850,0.466529,2007-02-18
2007.133423,-0.164500,0.109000,2.066720,0.466674,2007-02-19
2007.136230,-0.164500,0.109600,2.268350,0.466814,2007-02-20
2007.138916,-0.164600,0.109900,2.463170,0.466962,2007-02-21
2007.141724,-0.163000,0.110000,2.696850,0.467104,2007-02-22
2007.144409,-0.164800,0.109100,2.967400,0.467247,2007-02-23
2007.147217,-0.164900,0.109300,3.240730,0.467396,2007-02-24
2007.149902,-0.171500,0.110400,3.478030,0.467539,2007-02-25
2007.152588,-0.171500,0.110700,3.610130,0.467689,2007-02-26
2007.155396,-0.171500,0.111600,3.654820,0.467832,2007-02-27
2007.158081,-0.173200,0.112300,3.760420,0.467980,2007-02-28
2007.160889,-0.169900,0.113000,3.877050,0.468120,2007-03-01
2007.163574,-0.171700,0.112200,4.055600,0.468260,2007-03-02
2007.166382,-0.175100,0.111500,4.269600,0.468404,2007-03-03
2007.169067,-0.176700,0.111000,4.452140,0.468540,2007-03-04
2007.171753,-0.171700,0.110000,4.655180,0.468680,2007-03-05
2007.174561,-0.171700,0.109700,4.923770,0.468811,2007-03-06
2007.177246,-0.175000,0.109600,5.111220,0.468945,2007-03-07
2007.180054,-0.176800,0.109600,5.248300,0.469071,2007-03-08
2007.182739,-0.176900,0.109000,5.375670,0.469193,2007-03-09
2007.185547,-0.176900,0.107900,5.410620,0.469318,2007-03-10
2007.188232,-0.178600,0.107500,5.433180,0.469433,2007-03-11
2007.190918,-0.175300,0.107900,5.362240,0.469548,2007-03-12
2007.193726,-0.173600,0.107800,5.293950,0.469655,2007-03-13
2007.196411,-0.173700,0.108100,5.273770,0.469761,2007-03-14
2007.199219,-0.173700,0.108700,5.313780,0.469858,2007-03-15
2007.201904,-0.175400,0.108500,5.420580,0.469950,2007-03-16
2007.204712,-0.177000,0.109100,5.579760,0.470041,2007-03-17
2007.207397,-0.173600,0.109500,5.750970,0.470128,2007-03-18
2007.210083,-0.175200,0.108600,5.907770,0.470220,2007-03-19
2007.212891,-0.176900,0.109100,5.926210,0.470309,2007-03-20
2007.215576,-0.173700,0.109000,5.930770,0.470402,2007-03-21
2007.218384,-0.172000,0.108400,5.937670,0.470492,2007-03-22
2007.221069,-0.173700,0.108200,6.079750,0.470581,2007-03-23
2007.223877,-0.171900,0.106900,6.184940,0.470674,2007-03-24
2007.226562,-0.171900,0.106200,6.203760,0.470763,2007-03-25
2007.229248,-0.170200,0.105100,6.242570,0.470854,2007-03-26
2007.232056,-0.171900,0.105100,6.447220,0.470940,2007-03-27
2007.234741,-0.168400,0.105400,6.695860,0.471029,2007-03-28
2007.237549,-0.173400,0.104700,6.909940,0.471112,2007-03-29
2007.240234,-0.173200,0.104000,7.171460,0.471193,2007-03-30
