utvec,dv,err,temp,SM_EWT,date
2011.442871,-0.058900,0.249000,17.098100,0.442343,2011-06-12
2011.445557,-0.063600,0.248200,17.209100,0.442187,2011-06-13
2011.448364,-0.064600,0.249100,17.270300,0.442080,2011-06-14
2011.451050,-0.062100,0.251400,17.354200,0.442017,2011-06-15
2011.453857,-0.062600,0.252300,17.447700,0.442000,2011-06-16
2011.456543,-0.064300,0.252100,17.615600,0.442009,2011-06-17
2011.459229,-0.068200,0.251900,17.898600,0.442030,2011-06-18
2011.462036,-0.066800,0.252800,18.209700,0.442062,2011-06-19
2011.464722,-0.068800,0.254300,18.451800,0.442105,2011-06-20
2011.467529,-0.068900,0.255200,18.696500,0.442156,2011-06-21
2011.470215,-0.069500,0.257000,18.884700,0.442214,2011-06-22
2011.473022,-0.079000,0.260100,19.051400,0.442284,2011-06-23
2011.475708,-0.086000,0.260700,19.286900,0.442357,2011-06-24
2011.478394,-0.084100,0.257400,19.570200,0.442439,2011-06-25
2011.481201,-0.080300,0.253900,19.821400,0.442523,2011-06-26
2011.483887,-0.083800,0.254700,19.912500,0.442616,2011-06-27
2011.486694,-0.075500,0.251300,20.018600,0.442707,2011-06-28
2011.489380,-0.072000,0.252400,20.148100,0.442801,2011-06-29
2011.492188,-0.059400,0.251600,20.343200,0.442901,2011-06-30
2011.494873,-0.060100,0.251400,20.627300,0.442998,2011-07-01
2011.497559,-0.059200,0.248700,20.780500,0.443099,2011-07-02
2011.500366,-0.058300,0.245600,20.882600,0.443194,2011-07-03
2011.503052,-0.056700,0.242700,21.029200,0.443293,2011-07-04
2011.505859,-0.057700,0.239800,21.152700,0.443384,2011-07-05
2011.508545,-0.054800,0.237700,21.205100,0.443473,2011-07-06
2011.511353,-0.054900,0.237900,21.255000,0.443560,2011-07-07
2011.514038,-0.055200,0.238900,21.346400,0.443640,2011-07-08
2011.516724,-0.051000,0.238000,21.453900,0.443716,2011-07-09
2011.519531,-0.045100,0.238100,21.563300,0.443783,2011-07-10
2011.522217,-0.046900,0.239000,21.700800,0.443844,2011-07-11
2011.525024,-0.048200,0.239600,21.812300,0.443895,2011-07-12
2011.527710,-0.042900,0.240600,21.890600,0.443937,2011-07-13
2011.530518,-0.040900,0.239900,21.998700,0.443970,2011-07-14
2011.533203,-0.038400,0.240500,22.123300,0.443990,2011-07-15
2011.535889,-0.036600,0.241900,22.143400,0.444000,2011-07-16
2011.538696,-0.030300,0.239800,22.152000,0.443996,2011-07-17
2011.541382,-0.020300,0.239100,22.233100,0.443978,2011-07-18
2011.544189,-0.008100,0.236300,22.408800,0.443948,2011-07-19
2011.546875,-0.005100,0.232000,22.511700,0.443906,2011-07-20
2011.549683,-0.011700,0.233000,22.699300,0.443851,2011-07-21
2011.552368,-0.008600,0.233100,22.809500,0.443788,2011-07-22
2011.555054,-0.007600,0.233500,22.860700,0.443712,2011-07-23
2011.557861,-0.005600,0.234200,22.860900,0.443630,2011-07-24
2011.560547,-0.005800,0.235200,22.871700,0.443536,2011-07-25
2011.563354,-0.006900,0.235700,22.934400,0.443439,2011-07-26
2011.566040,0.000600,0.236000,22.971700,0.443335,2011-07-27
2011.568848,0.004400,0.239300,23.009000,0.443220,2011-07-28
2011.571533,0.003300,0.243000,23.059900,0.443105,2011-07-29
2011.574219,0.007200,0.243400,23.043600,0.442981,2011-07-30
2011.577026,0.008600,0.245500,23.045800,0.442858,2011-07-31
2011.579712,0.019800,0.246000,23.105000,0.442726,2011-08-01
2011.582520,0.023500,0.247700,23.124800,0.442598,2011-08-02
2011.585205,0.026800,0.250200,23.089900,0.442469,2011-08-03
2011.587891,0.033700,0.250300,23.016200,0.442333,2011-08-04
2011.590698,0.039000,0.251000,22.940700,0.442203,2011-08-05
2011.593384,0.025600,0.251300,22.908900,0.442069,2011-08-06
2011.596191,0.024700,0.250400,22.822000,0.441941,2011-08-07
2011.598877,0.027800,0.250900,22.719200,0.441816,2011-08-08
2011.601685,0.033600,0.251500,22.698700,0.441689,2011-08-09
2011.604370,0.029500,0.253200,22.671400,0.441571,2011-08-10
2011.607178,0.033600,0.252800,22.635200,0.441453,2011-08-11
2011.609863,0.026500,0.251700,22.582300,0.441345,2011-08-12
2011.612549,0.026100,0.253500,22.532200,0.441239,2011-08-13
2011.615356,0.028700,0.251800,22.486800,0.441144,2011-08-14
2011.618042,0.029800,0.252800,22.434800,0.441057,2011-08-15
2011.620850,0.028900,0.253300,22.349500,0.440973,2011-08-16
2011.623535,0.026400,0.254000,22.235300,0.440894,2011-08-17
2011.626221,0.031200,0.256500,22.071500,0.440809,2011-08-18
2011.629028,0.031000,0.257200,21.924400,0.440726,2011-08-19
2011.631714,0.030700,0.257100,21.829500,0.440637,2011-08-20
2011.634521,0.029954,0.256839,21.736000,0.440552,2011-08-21
2011.637207,0.028718,0.256455,21.658500,0.440465,2011-08-22
2011.640015,0.026903,0.255919,21.590200,0.440374,2011-08-23
2011.642700,0.024689,0.255285,21.501600,0.440287,2011-08-24
2011.645508,0.021895,0.254500,21.372400,0.440197,2011-08-25
2011.648193,0.018787,0.253640,21.244200,0.440110,2011-08-26
2011.650879,0.015272,0.252679,21.253200,0.440021,2011-08-27
2011.653687,0.011185,0.251571,21.255700,0.439937,2011-08-28
2011.656372,0.006904,0.250420,21.224600,0.439855,2011-08-29
2011.659180,0.002059,0.249128,21.157400,0.439771,2011-08-30
2011.661865,-0.002904,0.247812,21.079100,0.439692,2011-08-31
2011.664551,-0.008171,0.246425,21.031900,0.439613,2011-09-01
2011.667358,-0.013978,0.244904,20.980800,0.439540,2011-09-02
2011.670044,-0.019801,0.243388,20.890700,0.439468,2011-09-03
2011.672852,-0.026146,0.241745,20.814500,0.439402,2011-09-04
2011.675537,-0.032437,0.240126,20.721700,0.439340,2011-09-05
2011.678345,-0.039230,0.238387,20.497200,0.439279,2011-09-06
2011.681030,-0.045907,0.236688,20.179300,0.439226,2011-09-07
2011.683716,-0.052744,0.234959,19.858700,0.439175,2011-09-08
2011.686523,-0.060035,0.233125,19.574700,0.439132,2011-09-09
2011.689209,-0.067131,0.231352,19.299600,0.439093,2011-09-10
2011.692017,-0.074651,0.229486,19.040500,0.439062,2011-09-11
2011.694702,-0.081919,0.227695,18.853700,0.439036,2011-09-12
2011.697510,-0.089576,0.225822,18.655500,0.439017,2011-09-13
2011.700195,-0.096932,0.224037,18.436900,0.439005,2011-09-14
2011.702881,-0.104303,0.222263,18.343700,0.439000,2011-09-15
2011.705688,-0.111998,0.220428,18.248700,0.439030,2011-09-16
2011.708374,-0.119332,0.218696,18.132200,0.439136,2011-09-17
2011.711182,-0.126945,0.216917,17.901500,0.439305,2011-09-18
2011.713867,-0.134153,0.215253,17.682000,0.439534,2011-09-19
2011.716675,-0.141594,0.213557,17.437900,0.439833,2011-09-20
2011.719360,-0.148594,0.211983,17.259500,0.440171,2011-09-21
2011.722046,-0.155464,0.210462,17.088300,0.440573,2011-09-22
2011.724854,-0.162482,0.208936,16.916900,0.441000,2011-09-23
2011.727539,-0.169015,0.207544,16.693900,0.441484,2011-09-24
2011.730347,-0.175640,0.206164,16.442500,0.441979,2011-09-25
2011.733032,-0.181753,0.204923,16.216700,0.442501,2011-09-26
2011.735840,-0.187895,0.203715,15.856600,0.443068,2011-09-27
2011.738525,-0.193504,0.202651,15.469500,0.443628,2011-09-28
2011.741211,-0.198838,0.201681,15.137800,0.444226,2011-09-29
2011.744019,-0.204095,0.200776,14.816600,0.444804,2011-09-30
2011.746704,-0.208796,0.200019,14.555900,0.445410,2011-10-01
2011.749512,-0.213348,0.199349,14.310900,0.445987,2011-10-02
2011.752197,-0.217333,0.198830,13.996000,0.446555,2011-10-03
2011.755005,-0.221092,0.198421,13.633500,0.447135,2011-10-04
2011.757690,-0.224276,0.198164,13.273800,0.447671,2011-10-05
2011.760376,-0.227038,0.198043,12.991300,0.448207,2011-10-06
2011.763184,-0.229452,0.198070,12.635700,0.448691,2011-10-07
2011.765869,-0.231285,0.198247,12.345900,0.449163,2011-10-08
2011.768677,-0.232684,0.198599,12.052100,0.449575,2011-10-09
2011.771362,-0.233505,0.199099,11.737900,0.449944,2011-10-10
2011.774170,-0.233800,0.199800,11.449900,0.450280,2011-10-11
2011.776855,-0.231900,0.200500,11.176800,0.450547,2011-10-12
2011.779541,-0.224400,0.201700,10.914500,0.450765,2011-10-13
2011.782349,-0.212500,0.204200,10.687800,0.450910,2011-10-14
2011.785034,-0.212800,0.199100,10.460100,0.450989,2011-10-15
2011.787842,-0.210500,0.196400,10.256900,0.450997,2011-10-16
2011.790527,-0.209300,0.192500,10.047500,0.450968,2011-10-17
2011.793335,-0.213000,0.192000,9.822850,0.450907,2011-10-18
2011.796021,-0.210300,0.194200,9.588790,0.450822,2011-10-19
2011.798706,-0.198700,0.202900,9.360370,0.450708,2011-10-20
2011.801514,-0.194700,0.203700,9.080450,0.450576,2011-10-21
2011.804199,-0.199300,0.204100,8.800730,0.450417,2011-10-22
2011.807007,-0.206600,0.202600,8.530320,0.450247,2011-10-23
2011.809692,-0.218600,0.203100,8.265310,0.450060,2011-10-24
