utvec,dv,err,temp,SM_EWT,date
2014.183472,-0.132700,0.195000,-4.111640,0.582031,2014-03-09
2014.186157,-0.133900,0.194700,-3.882560,0.582178,2014-03-10
2014.188965,-0.140300,0.192700,-3.654370,0.582328,2014-03-11
2014.191650,-0.136700,0.192000,-3.510860,0.582467,2014-03-12
2014.194336,-0.135600,0.190500,-3.365150,0.582607,2014-03-13
2014.197144,-0.139400,0.189700,-3.192470,0.582735,2014-03-14
2014.199829,-0.143300,0.189600,-3.149600,0.582863,2014-03-15
2014.202637,-0.146100,0.188900,-3.146870,0.582978,2014-03-16
2014.205322,-0.142300,0.189100,-3.103150,0.583090,2014-03-17
2014.208130,-0.145600,0.187100,-3.073990,0.583211,2014-03-18
2014.210815,-0.147200,0.186200,-3.084500,0.583331,2014-03-19
2014.213501,-0.153200,0.184800,-2.919720,0.583459,2014-03-20
2014.216309,-0.156300,0.182500,-2.774370,0.583584,2014-03-21
2014.218994,-0.163800,0.180900,-2.651420,0.583717,2014-03-22
2014.221802,-0.165700,0.179000,-2.420250,0.583845,2014-03-23
2014.224487,-0.171800,0.177400,-2.182630,0.583975,2014-03-24
2014.227295,-0.185000,0.172500,-2.148800,0.584110,2014-03-25
2014.229980,-0.213200,0.169300,-2.050830,0.584240,2014-03-26
2014.232666,-0.235200,0.167900,-1.944890,0.584374,2014-03-27
2014.235474,-0.244000,0.167400,-2.004780,0.584502,2014-03-28
2014.238159,-0.252500,0.168300,-2.076570,0.584633,2014-03-29
2014.240967,-0.257300,0.170000,-2.172340,0.584756,2014-03-30
2014.243652,-0.252500,0.173000,-2.209590,0.584877,2014-03-31
2014.246460,-0.242700,0.174800,-2.207780,0.584999,2014-04-01
2014.249146,-0.247700,0.178800,-2.117920,0.585113,2014-04-02
2014.251831,-0.259800,0.181900,-1.976280,0.585226,2014-04-03
2014.254639,-0.280600,0.183300,-1.834850,0.585330,2014-04-04
2014.257324,-0.289300,0.184500,-1.643600,0.585432,2014-04-05
2014.260132,-0.300900,0.184300,-1.491190,0.585524,2014-04-06
2014.262817,-0.310700,0.185900,-1.449390,0.585609,2014-04-07
2014.265625,-0.324200,0.187000,-1.414750,0.585691,2014-04-08
2014.268311,-0.338100,0.188600,-1.376690,0.585762,2014-04-09
2014.270996,-0.373200,0.191700,-1.395820,0.585827,2014-04-10
2014.273804,-0.401000,0.194500,-1.388480,0.585880,2014-04-11
2014.276489,-0.419700,0.198400,-1.334680,0.585926,2014-04-12
2014.279297,-0.437200,0.202200,-1.330360,0.585960,2014-04-13
2014.281982,-0.451800,0.205400,-1.321350,0.585984,2014-04-14
2014.284790,-0.461600,0.207900,-1.262410,0.585998,2014-04-15
2014.287476,-0.470400,0.211700,-1.106360,0.585999,2014-04-16
2014.290161,-0.478700,0.215400,-0.998198,0.585986,2014-04-17
2014.292969,-0.480700,0.216500,-0.795940,0.585961,2014-04-18
2014.295654,-0.479200,0.218200,-0.497215,0.585921,2014-04-19
2014.298462,-0.480200,0.219000,-0.271277,0.585870,2014-04-20
2014.301147,-0.492500,0.221300,-0.155606,0.585808,2014-04-21
2014.303955,-0.500800,0.222800,-0.010221,0.585732,2014-04-22
2014.306641,-0.512700,0.225000,0.179210,0.585648,2014-04-23
2014.309326,-0.523200,0.226500,0.347879,0.585550,2014-04-24
2014.312134,-0.529700,0.227400,0.449176,0.585446,2014-04-25
2014.314819,-0.536300,0.227700,0.558328,0.585329,2014-04-26
2014.317627,-0.546600,0.228200,0.770380,0.585208,2014-04-27
2014.320312,-0.547500,0.230200,1.052720,0.585080,2014-04-28
2014.323120,-0.545900,0.231200,1.312700,0.584938,2014-04-29
2014.325806,-0.544800,0.231000,1.489240,0.584796,2014-04-30
2014.328491,-0.540000,0.231900,1.716690,0.584641,2014-05-01
2014.331299,-0.537100,0.230100,1.978950,0.584487,2014-05-02
2014.333984,-0.532700,0.229800,2.200260,0.584321,2014-05-03
2014.336792,-0.531500,0.230600,2.492880,0.584157,2014-05-04
2014.339478,-0.527500,0.232500,2.775940,0.583990,2014-05-05
2014.342285,-0.522000,0.235600,3.024090,0.583812,2014-05-06
2014.344971,-0.524500,0.238500,3.236290,0.583638,2014-05-07
2014.347656,-0.523200,0.239100,3.476730,0.583455,2014-05-08
2014.350464,-0.525700,0.241000,3.646610,0.583277,2014-05-09
2014.353149,-0.528700,0.241800,3.686620,0.583091,2014-05-10
2014.355957,-0.527300,0.242600,3.714070,0.582912,2014-05-11
2014.358643,-0.526100,0.243100,3.849770,0.582733,2014-05-12
2014.361450,-0.530900,0.242100,3.939050,0.582546,2014-05-13
2014.364136,-0.533600,0.241800,4.055310,0.582369,2014-05-14
2014.366821,-0.538800,0.241300,4.301270,0.582186,2014-05-15
2014.369629,-0.544500,0.242500,4.459630,0.582012,2014-05-16
2014.372314,-0.546100,0.243600,4.542510,0.581828,2014-05-17
2014.375122,-0.550000,0.245100,4.645970,0.581643,2014-05-18
2014.377808,-0.552600,0.245100,4.676550,0.581450,2014-05-19
2014.380615,-0.557900,0.244400,4.627430,0.581238,2014-05-20
2014.383301,-0.566500,0.243300,4.655340,0.581029,2014-05-21
2014.385986,-0.568800,0.242500,4.755210,0.580801,2014-05-22
2014.388794,-0.568800,0.240500,4.871800,0.580576,2014-05-23
2014.391479,-0.563300,0.241100,5.013040,0.580334,2014-05-24
2014.394287,-0.556700,0.242100,5.280840,0.580096,2014-05-25
2014.396973,-0.536600,0.242200,5.506190,0.579852,2014-05-26
2014.399780,-0.514800,0.241400,5.670140,0.579591,2014-05-27
2014.402466,-0.508300,0.241700,5.902680,0.579335,2014-05-28
2014.405151,-0.508600,0.240500,6.105640,0.579063,2014-05-29
2014.407959,-0.504900,0.240600,6.374990,0.578799,2014-05-30
2014.410645,-0.511100,0.239400,6.690980,0.578517,2014-05-31
2014.413452,-0.516700,0.238700,6.963950,0.578244,2014-06-01
2014.416138,-0.517500,0.237900,7.147310,0.577968,2014-06-02
2014.418945,-0.521800,0.239600,7.273190,0.577676,2014-06-03
2014.421631,-0.507500,0.240900,7.384120,0.577393,2014-06-04
2014.424316,-0.504500,0.241600,7.487910,0.577096,2014-06-05
2014.427124,-0.504900,0.242100,7.637460,0.576809,2014-06-06
2014.429810,-0.506600,0.240400,7.867920,0.576507,2014-06-07
2014.432617,-0.494000,0.240900,8.183880,0.576218,2014-06-08
2014.435303,-0.488300,0.243600,8.463290,0.575927,2014-06-09
2014.438110,-0.478800,0.243900,8.694070,0.575623,2014-06-10
2014.440796,-0.475300,0.244800,8.925720,0.575332,2014-06-11
2014.443481,-0.465300,0.244700,9.213450,0.575027,2014-06-12
2014.446289,-0.457800,0.244400,9.530680,0.574737,2014-06-13
2014.448975,-0.452800,0.246300,9.832890,0.574434,2014-06-14
2014.451782,-0.452200,0.250800,10.085400,0.574146,2014-06-15
2014.454468,-0.434100,0.249300,10.260800,0.573857,2014-06-16
2014.457275,-0.409700,0.243900,10.359500,0.573531,2014-06-17
2014.459961,-0.406400,0.243700,10.440400,0.573198,2014-06-18
2014.462646,-0.413200,0.240300,10.546800,0.572828,2014-06-19
2014.465454,-0.407100,0.239600,10.703400,0.572457,2014-06-20
2014.468140,-0.386500,0.236900,10.822700,0.572053,2014-06-21
2014.470947,-0.372200,0.236400,10.966000,0.571652,2014-06-22
2014.473633,-0.352100,0.236500,11.121800,0.571242,2014-06-23
2014.476440,-0.329900,0.237100,11.311100,0.570804,2014-06-24
2014.479126,-0.313400,0.238700,11.489500,0.570378,2014-06-25
2014.481812,-0.296800,0.234600,11.632600,0.569929,2014-06-26
2014.484619,-0.282100,0.230700,11.754900,0.569499,2014-06-27
2014.487305,-0.259400,0.221800,11.823300,0.569049,2014-06-28
2014.490112,-0.249700,0.214200,11.861700,0.568622,2014-06-29
2014.492798,-0.232000,0.207600,11.860900,0.568201,2014-06-30
2014.495605,-0.224200,0.199000,11.880000,0.567768,2014-07-01
2014.498291,-0.214500,0.189500,11.915700,0.567365,2014-07-02
2014.500977,-0.206700,0.179700,11.991100,0.566956,2014-07-03
2014.503784,-0.194500,0.172100,12.054800,0.566579,2014-07-04
2014.506470,-0.184700,0.166200,12.123100,0.566203,2014-07-05
2014.509277,-0.174700,0.161200,12.135300,0.565863,2014-07-06
2014.511963,-0.174500,0.159300,12.139000,0.565545,2014-07-07
2014.514771,-0.166900,0.160100,12.173600,0.565237,2014-07-08
2014.517456,-0.174700,0.162600,12.177300,0.564968,2014-07-09
2014.520142,-0.177900,0.166300,12.262800,0.564718,2014-07-10
2014.522949,-0.179300,0.169800,12.324700,0.564509,2014-07-11
2014.525635,-0.169000,0.172800,12.318300,0.564326,2014-07-12
2014.528442,-0.158700,0.175500,12.369300,0.564187,2014-07-13
2014.531128,-0.157200,0.176400,12.412100,0.564084,2014-07-14
2014.533936,-0.155500,0.176700,12.420200,0.564019,2014-07-15
2014.536621,-0.153900,0.176900,12.549700,0.564000,2014-07-16
2014.539307,-0.141900,0.177200,12.675200,0.564009,2014-07-17
2014.542114,-0.139800,0.178700,12.820500,0.564033,2014-07-18
2014.544800,-0.134000,0.176600,13.013600,0.564073,2014-07-19
2014.547607,-0.119800,0.175100,13.230200,0.564126,2014-07-20
2014.550293,-0.099000,0.174500,13.271500,0.564192,2014-07-21
2014.553101,-0.085500,0.173700,13.254500,0.564275,2014-07-22
2014.555786,-0.087100,0.172300,13.213500,0.564367,2014-07-23
2014.558472,-0.084700,0.172000,13.165400,0.564475,2014-07-24
2014.561279,-0.084400,0.175200,13.047800,0.564591,2014-07-25
2014.563965,-0.080900,0.178100,12.944800,0.564724,2014-07-26
2014.566772,-0.083100,0.180700,12.836700,0.564861,2014-07-27
2014.569458,-0.094500,0.184500,12.788900,0.565008,2014-07-28
2014.572266,-0.101900,0.188400,12.777900,0.565173,2014-07-29
2014.574951,-0.111100,0.190500,12.772000,0.565339,2014-07-30
2014.577637,-0.118900,0.190900,12.721000,0.565522,2014-07-31
2014.580444,-0.125500,0.192600,12.673700,0.565705,2014-08-01
2014.583130,-0.124600,0.193800,12.608100,0.565904,2014-08-02
2014.585938,-0.130400,0.194800,12.531500,0.566102,2014-08-03
2014.588623,-0.124000,0.193800,12.483300,0.566307,2014-08-04
2014.591431,-0.116100,0.191200,12.466000,0.566527,2014-08-05
2014.594116,-0.115600,0.188700,12.394400,0.566743,2014-08-06
2014.596802,-0.113900,0.186800,12.267800,0.566975,2014-08-07
2014.599609,-0.110900,0.184600,12.145100,0.567201,2014-08-08
2014.602295,-0.104600,0.182900,12.056800,0.567442,2014-08-09
2014.605103,-0.096200,0.180900,11.969200,0.567676,2014-08-10
2014.607788,-0.094000,0.178600,11.834500,0.567913,2014-08-11
2014.610596,-0.089000,0.177600,11.741600,0.568164,2014-08-12
2014.613281,-0.083500,0.176300,11.614600,0.568406,2014-08-13
2014.615967,-0.080200,0.174900,11.450700,0.568660,2014-08-14
2014.618774,-0.073500,0.173100,11.324100,0.568905,2014-08-15
2014.621460,-0.067400,0.171300,11.261200,0.569175,2014-08-16
2014.624268,-0.063400,0.170600,11.240200,0.569488,2014-08-17
2014.626953,-0.056900,0.169400,11.239300,0.569854,2014-08-18
2014.629761,-0.049300,0.167200,11.200400,0.570291,2014-08-19
2014.632446,-0.041000,0.165800,11.137600,0.570754,2014-08-20
2014.635132,-0.034400,0.163700,11.103900,0.571282,2014-08-21
2014.637939,-0.031300,0.162200,11.057900,0.571825,2014-08-22
2014.640625,-0.030500,0.161400,10.886700,0.572428,2014-08-23
2014.643433,-0.032000,0.160600,10.723400,0.573032,2014-08-24
2014.646118,-0.031500,0.160100,10.629700,0.573661,2014-08-25
2014.648926,-0.030700,0.162300,10.547600,0.574339,2014-08-26
2014.651611,-0.031800,0.162700,10.470200,0.575004,2014-08-27
2014.654297,-0.036700,0.164300,10.409100,0.575710,2014-08-28
2014.657104,-0.030100,0.164000,10.280500,0.576393,2014-08-29
2014.659790,-0.026000,0.162800,10.161300,0.577109,2014-08-30
2014.662598,-0.019000,0.162700,10.029200,0.577793,2014-08-31
2014.665283,-0.014800,0.162700,9.885180,0.578471,2014-09-01
2014.668091,-0.011000,0.165000,9.654100,0.579168,2014-09-02
2014.670776,-0.014400,0.166500,9.445730,0.579820,2014-09-03
2014.673462,-0.077600,0.167300,9.289610,0.580482,2014-09-04
2014.676270,-0.077400,0.167600,9.218100,0.581092,2014-09-05
2014.678955,-0.068900,0.166900,9.158900,0.581700,2014-09-06
2014.681763,-0.061000,0.165900,9.101650,0.582250,2014-09-07
2014.684448,-0.059500,0.164500,9.066130,0.582763,2014-09-08
2014.687256,-0.062900,0.162400,9.021720,0.583257,2014-09-09
2014.689941,-0.065200,0.159800,8.940530,0.583685,2014-09-10
2014.692627,-0.061200,0.157900,8.850510,0.584080,2014-09-11
2014.695435,-0.052800,0.158300,8.709790,0.584403,2014-09-12
2014.698120,-0.053100,0.159400,8.474830,0.584680,2014-09-13
2014.700928,-0.056100,0.160600,8.308230,0.584882,2014-09-14
2014.703613,-0.059600,0.162400,8.218780,0.585020,2014-09-15
2014.706421,-0.062900,0.165100,8.091440,0.585138,2014-09-16
2014.709106,-0.067900,0.165700,7.954700,0.585249,2014-09-17
2014.711792,-0.067900,0.167300,7.824410,0.585361,2014-09-18
2014.714600,-0.067700,0.167700,7.691560,0.585467,2014-09-19
2014.717285,-0.069500,0.168700,7.651500,0.585574,2014-09-20
2014.720093,-0.072600,0.169600,7.600280,0.585674,2014-09-21
2014.722778,-0.072100,0.169800,7.507430,0.585770,2014-09-22
2014.725586,-0.075200,0.169000,7.420660,0.585868,2014-09-23
2014.728271,-0.078000,0.169000,7.451010,0.585959,2014-09-24
2014.730957,-0.078900,0.169300,7.473840,0.586050,2014-09-25
2014.733765,-0.076700,0.169900,7.476910,0.586135,2014-09-26
2014.736450,-0.068800,0.171300,7.363430,0.586219,2014-09-27
2014.739258,-0.062700,0.173700,7.197710,0.586296,2014-09-28
2014.741943,-0.052800,0.176600,7.051940,0.586370,2014-09-29
2014.744751,-0.041500,0.179600,6.943940,0.586443,2014-09-30
2014.747437,-0.023500,0.181900,6.863020,0.586509,2014-10-01
2014.750122,-0.011300,0.183500,6.802160,0.586575,2014-10-02
2014.752930,0.001500,0.186300,6.666090,0.586633,2014-10-03
2014.755615,0.005800,0.183300,6.421230,0.586690,2014-10-04
2014.758423,0.011200,0.181100,6.095260,0.586740,2014-10-05
2014.761108,0.012800,0.179500,5.872600,0.586786,2014-10-06
2014.763916,0.024400,0.177900,5.763230,0.586830,2014-10-07
2014.766602,0.030300,0.175900,5.687430,0.586867,2014-10-08
2014.769287,0.035200,0.173900,5.544450,0.586901,2014-10-09
2014.772095,0.042800,0.172300,5.452660,0.586930,2014-10-10
2014.774780,0.044700,0.171700,5.445370,0.586954,2014-10-11
2014.777588,0.053400,0.169900,5.231680,0.586973,2014-10-12
2014.780273,0.052000,0.168300,5.014980,0.586987,2014-10-13
2014.783081,0.062700,0.167400,4.728160,0.586996,2014-10-14
2014.785767,0.071000,0.166700,4.448300,0.587000,2014-10-15
2014.788452,0.071200,0.167000,4.177800,0.586971,2014-10-16
2014.791260,0.075900,0.166300,3.770380,0.586853,2014-10-17
2014.793945,0.085500,0.165600,3.337780,0.586640,2014-10-18
2014.796753,0.091300,0.166900,2.992900,0.586354,2014-10-19
2014.799438,0.091900,0.165100,2.707930,0.585997,2014-10-20
2014.802246,0.097200,0.164000,2.460110,0.585552,2014-10-21
2014.804932,0.104200,0.162600,2.218920,0.585064,2014-10-22
2014.807617,0.110100,0.162200,2.063270,0.584497,2014-10-23
2014.810425,0.116700,0.161700,1.849610,0.583905,2014-10-24
2014.813110,0.115600,0.161200,1.501790,0.583241,2014-10-25
2014.815918,0.122500,0.160200,1.127720,0.582570,2014-10-26
2014.818604,0.125300,0.161100,0.836459,0.581870,2014-10-27
2014.821411,0.131200,0.161200,0.620564,0.581112,2014-10-28
2014.824097,0.135700,0.159200,0.544376,0.580370,2014-10-29
2014.826782,0.145600,0.155600,0.536991,0.579583,2014-10-30
2014.829590,0.161500,0.151000,0.498956,0.578825,2014-10-31
2014.832275,0.173400,0.147500,0.411623,0.578034,2014-11-01
2014.835083,0.179700,0.147000,0.376068,0.577285,2014-11-02
2014.837769,0.184800,0.145400,0.321026,0.576549,2014-11-03
2014.840576,0.189000,0.144700,0.212118,0.575802,2014-11-04
2014.843262,0.191200,0.146100,0.068224,0.575113,2014-11-05
2014.845947,0.188600,0.149800,-0.069302,0.574428,2014-11-06
2014.848755,0.190100,0.154100,-0.243358,0.573812,2014-11-07
2014.851440,0.190800,0.156700,-0.410088,0.573215,2014-11-08
2014.854248,0.197700,0.158200,-0.522600,0.572696,2014-11-09
2014.856934,0.214100,0.160400,-0.592593,0.572235,2014-11-10
2014.859741,0.221400,0.160700,-0.663473,0.571819,2014-11-11
2014.862427,0.227800,0.162600,-0.749519,0.571492,2014-11-12
2014.865112,0.239300,0.164600,-0.729490,0.571231,2014-11-13
2014.867920,0.250100,0.164800,-0.817453,0.571065,2014-11-14
2014.870605,0.273500,0.166000,-1.104330,0.570979,2014-11-15
2014.873413,0.277200,0.167100,-1.359770,0.570920,2014-11-16
2014.876099,0.285400,0.172300,-1.564710,0.570862,2014-11-17
2014.878906,0.291200,0.175900,-1.796550,0.570804,2014-11-18
2014.881592,0.286600,0.179400,-2.074320,0.570749,2014-11-19
2014.884277,0.286100,0.181100,-2.313300,0.570694,2014-11-20
2014.887085,0.290700,0.183100,-2.515670,0.570643,2014-11-21
2014.889771,0.305900,0.185300,-2.638600,0.570592,2014-11-22
2014.892578,0.317100,0.186000,-2.842960,0.570545,2014-11-23
2014.895264,0.328900,0.189400,-3.141090,0.570500,2014-11-24
2014.898071,0.382200,0.192900,-3.354290,0.570454,2014-11-25
2014.900757,0.428100,0.195400,-3.678850,0.570412,2014-11-26
2014.903442,0.430800,0.198200,-3.953340,0.570371,2014-11-27
2014.906250,0.439200,0.201200,-4.150080,0.570333,2014-11-28
2014.908936,0.445700,0.202300,-4.387910,0.570295,2014-11-29
2014.911743,0.458900,0.207000,-4.733100,0.570261,2014-11-30
2014.914429,0.465300,0.211100,-5.116530,0.570229,2014-12-01
2014.917236,0.462300,0.211600,-5.436600,0.570198,2014-12-02
2014.919922,0.459500,0.210900,-5.599100,0.570170,2014-12-03
2014.922607,0.452000,0.212200,-5.663980,0.570143,2014-12-04
2014.925415,0.447400,0.212100,-5.725960,0.570119,2014-12-05
2014.928101,0.450800,0.211200,-5.810130,0.570097,2014-12-06
2014.930908,0.447400,0.210400,-5.875070,0.570077,2014-12-07
2014.933594,0.447000,0.210400,-5.935060,0.570060,2014-12-08
