utvec,dv,err,temp,SM_EWT,date
2012.847412,0.054900,0.153200,5.386690,0.473216,2012-11-06
2012.850098,0.044200,0.152400,5.344530,0.474801,2012-11-07
2012.852783,0.027600,0.151400,5.238830,0.476454,2012-11-08
2012.855591,0.016500,0.150300,5.005760,0.478027,2012-11-09
2012.858276,0.011200,0.150000,4.654260,0.479654,2012-11-10
2012.861084,-0.041500,0.149700,4.318740,0.481189,2012-11-11
2012.863770,-0.051400,0.149800,4.063690,0.482697,2012-11-12
2012.866577,-0.053700,0.149800,3.962740,0.484240,2012-11-13
2012.869263,-0.062600,0.149600,3.888920,0.485675,2012-11-14
2012.871948,-0.071500,0.148500,3.756560,0.487193,2012-11-15
2012.874756,-0.077400,0.147400,3.512340,0.488783,2012-11-16
2012.877441,-0.083800,0.146900,3.291880,0.490579,2012-11-17
2012.880249,-0.091100,0.146600,3.226120,0.492414,2012-11-18
2012.882935,-0.092100,0.146700,2.991830,0.494349,2012-11-19
2012.885742,-0.093500,0.146800,2.636510,0.496467,2012-11-20
2012.888428,-0.095100,0.146600,2.303660,0.498570,2012-11-21
2012.891113,-0.101200,0.145800,2.123460,0.500835,2012-11-22
2012.893921,-0.110800,0.145000,1.983590,0.503052,2012-11-23
2012.896606,-0.120000,0.144200,1.936460,0.505410,2012-11-24
2012.899414,-0.120900,0.144300,1.857130,0.507690,2012-11-25
2012.902100,-0.122500,0.144200,1.773350,0.509981,2012-11-26
2012.904907,-0.125300,0.144300,1.710730,0.512375,2012-11-27
2012.907593,-0.129700,0.144300,1.550230,0.514650,2012-11-28
2012.910278,-0.136600,0.144800,1.270150,0.517000,2012-11-29
2012.913086,-0.144400,0.145300,0.973837,0.519207,2012-11-30
2012.915771,-0.152700,0.145900,0.658826,0.521458,2012-12-01
2012.918579,-0.156800,0.145900,0.271778,0.523545,2012-12-02
2012.921265,-0.159700,0.145900,-0.064979,0.525553,2012-12-03
2012.924072,-0.162300,0.146200,-0.336749,0.527556,2012-12-04
2012.926758,-0.172600,0.146100,-0.587992,0.529365,2012-12-05
2012.929443,-0.184700,0.145700,-0.812063,0.531133,2012-12-06
2012.932251,-0.195100,0.145700,-1.037050,0.532691,2012-12-07
2012.934937,-0.205300,0.146100,-1.237400,0.534168,2012-12-08
2012.937744,-0.220000,0.146700,-1.466890,0.535423,2012-12-09
2012.940430,-0.235000,0.146600,-1.678130,0.536510,2012-12-10
2012.943237,-0.248400,0.147500,-1.687360,0.537454,2012-12-11
2012.945923,-0.259100,0.147400,-1.619770,0.538159,2012-12-12
2012.948608,-0.273000,0.147700,-1.673150,0.538676,2012-12-13
2012.951416,-0.284300,0.148300,-1.844980,0.538947,2012-12-14
2012.954102,-0.294200,0.149200,-2.113440,0.538999,2012-12-15
2012.956909,-0.299400,0.150700,-2.454770,0.538983,2012-12-16
2012.959595,-0.312200,0.152100,-2.707140,0.538950,2012-12-17
2012.962402,-0.317200,0.154000,-2.906350,0.538899,2012-12-18
2012.965088,-0.328200,0.155800,-3.023810,0.538835,2012-12-19
2012.967773,-0.339700,0.157900,-3.135850,0.538753,2012-12-20
2012.970581,-0.350600,0.159800,-3.260960,0.538663,2012-12-21
2012.973267,-0.359500,0.162200,-3.418520,0.538557,2012-12-22
2012.976074,-0.365600,0.163400,-3.550330,0.538446,2012-12-23
2012.978760,-0.370700,0.164200,-3.559470,0.538327,2012-12-24
2012.981567,-0.378600,0.166200,-3.573440,0.538194,2012-12-25
2012.984253,-0.404400,0.168600,-3.649920,0.538061,2012-12-26
2012.986938,-0.412300,0.170500,-3.667600,0.537917,2012-12-27
2012.989746,-0.420800,0.172400,-3.645800,0.537776,2012-12-28
2012.992432,-0.425300,0.174200,-3.747180,0.537625,2012-12-29
2012.995239,-0.431700,0.175800,-3.977570,0.537480,2012-12-30
2012.997925,-0.441400,0.178400,-4.191580,0.537336,2012-12-31
2013.000732,-0.444500,0.179300,-4.353900,0.537186,2013-01-01
2013.003418,-0.449500,0.179500,-4.454950,0.537045,2013-01-02
2013.006104,-0.451200,0.179500,-4.531770,0.536902,2013-01-03
2013.008911,-0.451700,0.179800,-4.529940,0.536771,2013-01-04
2013.011597,-0.454400,0.180200,-4.578160,0.536640,2013-01-05
2013.014404,-0.452400,0.180600,-4.689170,0.536523,2013-01-06
2013.017090,-0.453100,0.181300,-4.701660,0.536414,2013-01-07
2013.019897,-0.453500,0.182000,-4.714190,0.536311,2013-01-08
2013.022583,-0.453600,0.182900,-4.668770,0.536224,2013-01-09
2013.025269,-0.456100,0.183000,-4.538540,0.536147,2013-01-10
2013.028076,-0.462700,0.183600,-4.522930,0.536087,2013-01-11
2013.030762,-0.464200,0.184800,-4.632960,0.536040,2013-01-12
2013.033569,-0.463300,0.186500,-4.797010,0.536011,2013-01-13
2013.036255,-0.460600,0.186800,-4.961820,0.536000,2013-01-14
2013.039062,-0.459500,0.187400,-5.042030,0.536001,2013-01-15
2013.041748,-0.461000,0.187500,-5.029960,0.536004,2013-01-16
2013.044434,-0.459900,0.187500,-5.001030,0.536010,2013-01-17
2013.047241,-0.465500,0.188000,-4.985480,0.536017,2013-01-18
2013.049927,-0.466200,0.188100,-4.910580,0.536027,2013-01-19
2013.052734,-0.467800,0.188400,-4.806690,0.536039,2013-01-20
2013.055420,-0.468900,0.189400,-4.675100,0.536053,2013-01-21
2013.058228,-0.470800,0.190400,-4.680720,0.536070,2013-01-22
2013.060913,-0.467500,0.191000,-4.808220,0.536089,2013-01-23
2013.063599,-0.466800,0.191500,-4.898770,0.536110,2013-01-24
2013.066406,-0.467100,0.192200,-4.909550,0.536133,2013-01-25
2013.069092,-0.464100,0.193200,-4.897710,0.536159,2013-01-26
2013.071899,-0.461900,0.194200,-4.898620,0.536185,2013-01-27
2013.074585,-0.463200,0.195200,-4.909410,0.536214,2013-01-28
2013.077393,-0.464700,0.196600,-4.890400,0.536246,2013-01-29
2013.080078,-0.464800,0.197600,-4.829840,0.536279,2013-01-30
2013.082764,-0.469900,0.198900,-4.670340,0.536316,2013-01-31
2013.085571,-0.467200,0.200500,-4.416260,0.536353,2013-02-01
2013.088257,-0.466100,0.202200,-4.201020,0.536394,2013-02-02
2013.091064,-0.463600,0.203100,-4.112280,0.536435,2013-02-03
2013.093750,-0.458200,0.204300,-3.971320,0.536479,2013-02-04
2013.096558,-0.456400,0.204400,-3.803730,0.536526,2013-02-05
2013.099243,-0.450000,0.204900,-3.669040,0.536573,2013-02-06
2013.101929,-0.445200,0.205300,-3.581500,0.536625,2013-02-07
2013.104736,-0.440400,0.205700,-3.525040,0.536676,2013-02-08
2013.107422,-0.432200,0.207000,-3.475000,0.536731,2013-02-09
2013.110229,-0.422700,0.208100,-3.458810,0.536786,2013-02-10
2013.112915,-0.419100,0.210600,-3.346360,0.536844,2013-02-11
2013.115723,-0.410600,0.212900,-3.032610,0.536905,2013-02-12
2013.118408,-0.404900,0.215800,-2.593240,0.536966,2013-02-13
2013.121094,-0.397800,0.218200,-2.154870,0.537050,2013-02-14
2013.123901,-0.393000,0.220400,-1.763380,0.537260,2013-02-15
2013.126587,-0.386400,0.222300,-1.561120,0.537630,2013-02-16
