utvec,dv,err,temp,SM_EWT,date
2011.839844,0.094400,0.345700,4.619160,0.449444,2011-11-04
2011.842529,0.087000,0.346100,4.287750,0.449399,2011-11-05
2011.845337,0.087000,0.346100,4.024170,0.449356,2011-11-06
2011.848022,0.080600,0.354300,3.862910,0.449314,2011-11-07
2011.850830,0.087700,0.354000,3.731170,0.449270,2011-11-08
2011.853516,0.092400,0.356700,3.596140,0.449228,2011-11-09
2011.856201,0.095200,0.358200,3.446890,0.449185,2011-11-10
2011.859009,0.078700,0.353600,3.282510,0.449146,2011-11-11
2011.861694,0.083200,0.353700,3.063930,0.449106,2011-11-12
2011.864502,0.090300,0.351400,2.835320,0.449069,2011-11-13
2011.867188,0.096800,0.352100,2.587500,0.449034,2011-11-14
2011.869995,0.096800,0.352100,2.307410,0.448999,2011-11-15
2011.872681,0.096800,0.352100,1.975900,0.448966,2011-11-16
2011.875366,0.095900,0.348500,1.657790,0.448929,2011-11-17
2011.878174,0.094200,0.354500,1.454050,0.448892,2011-11-18
2011.880859,0.089800,0.353800,1.268080,0.448852,2011-11-19
2011.883667,0.098400,0.354400,1.099940,0.448812,2011-11-20
2011.886353,0.109300,0.356900,0.869503,0.448772,2011-11-21
2011.889160,0.107900,0.358500,0.633657,0.448728,2011-11-22
2011.891846,0.126500,0.362200,0.364074,0.448686,2011-11-23
2011.894531,0.124100,0.365300,0.093449,0.448641,2011-11-24
2011.897339,0.107800,0.369700,-0.155842,0.448598,2011-11-25
2011.900024,0.105500,0.374900,-0.359949,0.448554,2011-11-26
2011.902832,0.105600,0.377100,-0.434819,0.448511,2011-11-27
2011.905518,0.117900,0.381700,-0.507708,0.448468,2011-11-28
2011.908325,0.133000,0.381500,-0.573664,0.448425,2011-11-29
2011.911011,0.137378,0.381520,-0.622188,0.448384,2011-11-30
2011.913696,0.140169,0.382756,-0.688513,0.448342,2011-12-01
2011.916504,0.141200,0.384000,-0.835112,0.448303,2011-12-02
2011.919189,0.139000,0.384500,-0.908307,0.448264,2011-12-03
2011.921997,0.139600,0.385400,-0.893629,0.448229,2011-12-04
2011.924683,0.147100,0.385500,-0.892842,0.448195,2011-12-05
2011.927490,0.155320,0.386289,-0.942103,0.448162,2011-12-06
2011.930176,0.163398,0.387213,-0.870163,0.448132,2011-12-07
2011.932861,0.171594,0.387127,-0.842528,0.448104,2011-12-08
2011.935669,0.180200,0.384700,-0.839959,0.448080,2011-12-09
2011.938354,0.188500,0.380900,-0.852697,0.448057,2011-12-10
2011.941162,0.200800,0.381600,-0.860584,0.448039,2011-12-11
2011.943848,0.203700,0.383700,-0.884264,0.448024,2011-12-12
2011.946655,0.210200,0.384800,-0.925519,0.448012,2011-12-13
2011.949341,0.216124,0.385420,-1.020510,0.448004,2011-12-14
2011.952026,0.222301,0.385880,-1.131870,0.448000,2011-12-15
2011.954834,0.228987,0.386207,-1.218310,0.448000,2011-12-16
2011.957520,0.235557,0.386387,-1.301960,0.448000,2011-12-17
2011.960327,0.242561,0.386450,-1.467090,0.448000,2011-12-18
2011.963013,0.249352,0.386407,-1.606460,0.448000,2011-12-19
2011.965820,0.256496,0.386269,-1.718220,0.448000,2011-12-20
2011.968506,0.263335,0.386063,-1.709780,0.448000,2011-12-21
2011.971191,0.270133,0.385799,-1.668700,0.448000,2011-12-22
2011.973999,0.277156,0.385476,-1.707780,0.448000,2011-12-23
2011.976685,0.283749,0.385137,-1.814910,0.448000,2011-12-24
2011.979492,0.290464,0.384768,-1.950590,0.448000,2011-12-25
