utvec,dv,err,temp,SM_EWT,date
2007.002075,-0.031000,0.082900,-4.215280,0.396698,2007-01-02
2007.004761,-0.035200,0.080100,-4.220740,0.397034,2007-01-03
2007.007568,-0.040100,0.078800,-4.232460,0.397350,2007-01-04
2007.010254,-0.045100,0.078100,-4.156010,0.397660,2007-01-05
2007.013062,-0.043300,0.077000,-4.042450,0.397974,2007-01-06
2007.015747,-0.049600,0.076300,-3.933180,0.398265,2007-01-07
2007.018433,-0.054200,0.074700,-3.818380,0.398556,2007-01-08
2007.021240,-0.055600,0.073500,-3.729760,0.398821,2007-01-09
2007.023926,-0.055300,0.071800,-3.679670,0.399081,2007-01-10
2007.026733,-0.060200,0.071400,-3.602730,0.399313,2007-01-11
2007.029419,-0.061700,0.070600,-3.497090,0.399526,2007-01-12
2007.032227,-0.064900,0.070600,-3.472840,0.399727,2007-01-13
2007.034912,-0.064600,0.071000,-3.487240,0.399896,2007-01-14
2007.037598,-0.064200,0.072200,-3.603570,0.400049,2007-01-15
2007.040405,-0.059200,0.072600,-3.672580,0.400183,2007-01-16
2007.043091,-0.060600,0.072300,-3.566880,0.400316,2007-01-17
2007.045898,-0.062300,0.071500,-3.355620,0.400436,2007-01-18
2007.048584,-0.059100,0.071000,-3.168010,0.400550,2007-01-19
2007.051392,-0.059300,0.070700,-2.932160,0.400663,2007-01-20
2007.054077,-0.057600,0.071200,-2.837540,0.400766,2007-01-21
2007.056763,-0.055400,0.071400,-2.727700,0.400869,2007-01-22
2007.059570,-0.053700,0.071200,-2.516310,0.400963,2007-01-23
2007.062256,-0.050100,0.071100,-2.311440,0.401057,2007-01-24
2007.065063,-0.052000,0.070900,-2.312140,0.401144,2007-01-25
2007.067749,-0.055400,0.071200,-2.318620,0.401228,2007-01-26
2007.070557,-0.055300,0.071500,-2.368030,0.401314,2007-01-27
2007.073242,-0.054600,0.071900,-2.380170,0.401394,2007-01-28
2007.075928,-0.054200,0.072500,-2.405820,0.401476,2007-01-29
2007.078735,-0.053600,0.073300,-2.396730,0.401554,2007-01-30
2007.081421,-0.047800,0.073700,-2.403080,0.401635,2007-01-31
2007.084229,-0.047700,0.074000,-2.411270,0.401713,2007-02-01
2007.086914,-0.048600,0.075000,-2.390330,0.401791,2007-02-02
2007.089722,-0.048200,0.075800,-2.291830,0.401874,2007-02-03
2007.092407,-0.044200,0.077400,-2.235070,0.401955,2007-02-04
2007.095093,-0.045700,0.078000,-2.106410,0.402042,2007-02-05
2007.097900,-0.044100,0.078900,-1.795920,0.402128,2007-02-06
2007.100586,-0.044100,0.079300,-1.568300,0.402221,2007-02-07
2007.103394,-0.040500,0.079700,-1.362580,0.402314,2007-02-08
2007.106079,-0.045800,0.079900,-1.270730,0.402411,2007-02-09
2007.108887,-0.049300,0.080200,-1.155680,0.402516,2007-02-10
2007.111572,-0.050600,0.081100,-1.014930,0.402623,2007-02-11
2007.114258,-0.053300,0.082300,-0.673031,0.402740,2007-02-12
2007.117065,-0.046200,0.083600,-0.261789,0.402858,2007-02-13
2007.119751,-0.047300,0.084700,0.128926,0.402989,2007-02-14
2007.122559,-0.046700,0.085600,0.575224,0.403123,2007-02-15
2007.125244,-0.049300,0.086200,1.028690,0.403272,2007-02-16
2007.128052,-0.047700,0.086900,1.463430,0.403440,2007-02-17
2007.130737,-0.045200,0.088300,1.858710,0.403614,2007-02-18
2007.133423,-0.046700,0.089900,2.263080,0.403806,2007-02-19
2007.136230,-0.041000,0.092200,2.493880,0.404000,2007-02-20
2007.138916,-0.046600,0.094300,2.742490,0.404211,2007-02-21
2007.141724,-0.049700,0.095400,3.016730,0.404421,2007-02-22
2007.144409,-0.049700,0.096000,3.325410,0.404638,2007-02-23
2007.147217,-0.053500,0.096900,3.648860,0.404870,2007-02-24
2007.149902,-0.046700,0.097700,3.943920,0.405096,2007-02-25
2007.152588,-0.048000,0.100000,4.132490,0.405337,2007-02-26
2007.155396,-0.047300,0.102700,4.229960,0.405569,2007-02-27
2007.158081,-0.041800,0.105600,4.345600,0.405814,2007-02-28
2007.160889,-0.053400,0.107600,4.498200,0.406048,2007-03-01
2007.163574,-0.058400,0.106800,4.703210,0.406281,2007-03-02
2007.166382,-0.058100,0.108100,4.958940,0.406523,2007-03-03
2007.169067,-0.058700,0.110700,5.189760,0.406752,2007-03-04
2007.171753,-0.053300,0.113600,5.457410,0.406987,2007-03-05
2007.174561,-0.041900,0.117300,5.766440,0.407207,2007-03-06
2007.177246,-0.035900,0.120700,5.962090,0.407431,2007-03-07
2007.180054,-0.041200,0.120900,6.092150,0.407638,2007-03-08
2007.182739,-0.041800,0.120300,6.224990,0.407838,2007-03-09
2007.185547,-0.037000,0.120800,6.241480,0.408036,2007-03-10
2007.188232,-0.032900,0.122600,6.274230,0.408216,2007-03-11
2007.190918,-0.032100,0.125600,6.180460,0.408393,2007-03-12
2007.193726,-0.028500,0.128200,6.108750,0.408549,2007-03-13
2007.196411,-0.027200,0.131500,6.082230,0.408699,2007-03-14
2007.199219,-0.026300,0.132000,6.132700,0.408828,2007-03-15
2007.201904,-0.027400,0.129500,6.273970,0.408942,2007-03-16
2007.204712,-0.023200,0.129200,6.427830,0.409046,2007-03-17
2007.207397,-0.023400,0.127800,6.591770,0.409142,2007-03-18
2007.210083,-0.019000,0.130000,6.782210,0.409243,2007-03-19
2007.212891,-0.015100,0.132900,6.772200,0.409339,2007-03-20
2007.215576,-0.013700,0.133100,6.778510,0.409438,2007-03-21
2007.218384,-0.014500,0.131300,6.769050,0.409532,2007-03-22
2007.221069,-0.020400,0.127400,6.929340,0.409625,2007-03-23
2007.223877,-0.019000,0.127000,7.057250,0.409721,2007-03-24
2007.226562,-0.019700,0.127200,7.084350,0.409811,2007-03-25
2007.229248,-0.015200,0.126400,7.147760,0.409903,2007-03-26
2007.232056,-0.013800,0.127300,7.400030,0.409990,2007-03-27
2007.234741,-0.008700,0.127300,7.638640,0.410078,2007-03-28
2007.237549,-0.009900,0.125800,7.857450,0.410159,2007-03-29
2007.240234,-0.014300,0.124400,8.116240,0.410239,2007-03-30
2007.243042,-0.020100,0.123500,8.532380,0.410318,2007-03-31
2007.245728,-0.016400,0.123000,8.910350,0.410392,2007-04-01
2007.248413,-0.011200,0.123700,9.301940,0.410465,2007-04-02
2007.251221,-0.006700,0.125500,9.662860,0.410532,2007-04-03
