utvec,dv,err,temp,SM_EWT,date
2017.857666,0.053700,0.074100,6.572650,0.265225,2017-11-10
2017.860352,0.057000,0.074400,6.393620,0.265139,2017-11-11
2017.863159,0.062000,0.074500,6.115840,0.265070,2017-11-12
2017.865845,0.060300,0.074900,5.960150,0.265025,2017-11-13
2017.868530,0.060200,0.075100,5.778010,0.265002,2017-11-14
2017.871338,0.061800,0.075900,5.692380,0.265002,2017-11-15
2017.874023,0.063400,0.074900,5.602040,0.265017,2017-11-16
2017.876831,0.063500,0.074200,5.478140,0.265043,2017-11-17
2017.879517,0.058500,0.074600,5.209360,0.265080,2017-11-18
2017.882324,0.053800,0.074200,4.969130,0.265131,2017-11-19
2017.885010,0.050400,0.073600,4.752540,0.265191,2017-11-20
2017.887695,0.048600,0.073800,4.651910,0.265264,2017-11-21
2017.890503,0.051900,0.074000,4.421380,0.265343,2017-11-22
2017.893188,0.047000,0.074000,4.116960,0.265437,2017-11-23
2017.895996,0.050200,0.074900,3.973790,0.265535,2017-11-24
2017.898682,0.053500,0.076100,3.805300,0.265642,2017-11-25
2017.901489,0.055400,0.076500,3.690450,0.265763,2017-11-26
2017.904175,0.050400,0.077300,3.599460,0.265886,2017-11-27
2017.906860,0.051900,0.074800,3.522040,0.266023,2017-11-28
2017.909668,0.043600,0.073300,3.432730,0.266161,2017-11-29
2017.912354,0.036900,0.074000,3.387170,0.266312,2017-11-30
2017.915161,0.030300,0.074700,3.323720,0.266462,2017-12-01
2017.917847,0.022000,0.073600,3.180720,0.266618,2017-12-02
2017.920654,0.022200,0.071800,2.988740,0.266787,2017-12-03
2017.923340,0.025500,0.070900,2.770060,0.266954,2017-12-04
2017.926025,0.025600,0.070100,2.566960,0.267133,2017-12-05
2017.928833,0.023900,0.069200,2.408270,0.267308,2017-12-06
2017.931519,0.017300,0.069800,2.325320,0.267495,2017-12-07
2017.934326,0.018900,0.072200,2.307620,0.267677,2017-12-08
2017.937012,0.015600,0.073700,2.337670,0.267862,2017-12-09
2017.939819,0.010700,0.073000,2.385660,0.268058,2017-12-10
2017.942505,-0.009300,0.073000,2.318260,0.268248,2017-12-11
2017.945190,-0.014300,0.072400,2.233800,0.268447,2017-12-12
2017.947998,-0.012500,0.070600,2.169270,0.268640,2017-12-13
2017.950684,-0.012400,0.071700,2.146500,0.268841,2017-12-14
2017.953491,-0.012400,0.072900,2.045470,0.269035,2017-12-15
2017.956177,-0.018900,0.073900,1.961750,0.269246,2017-12-16
2017.958984,-0.018800,0.073100,1.882600,0.269495,2017-12-17
2017.961670,-0.018400,0.072300,1.731460,0.269757,2017-12-18
2017.964355,-0.023300,0.071800,1.706950,0.270055,2017-12-19
2017.967163,-0.033100,0.069500,1.837290,0.270362,2017-12-20
2017.969849,-0.033300,0.070700,1.922820,0.270704,2017-12-21
2017.972656,-0.031500,0.071800,1.708150,0.271049,2017-12-22
2017.975342,-0.029900,0.072800,1.432100,0.271412,2017-12-23
2017.978149,-0.033200,0.073300,1.122670,0.271807,2017-12-24
2017.980835,-0.023100,0.074500,0.824894,0.272199,2017-12-25
2017.983521,-0.023300,0.071400,0.585832,0.272622,2017-12-26
2017.986328,-0.028200,0.071600,0.418152,0.273038,2017-12-27
2017.989014,-0.026600,0.072400,0.150397,0.273484,2017-12-28
2017.991821,-0.026500,0.073700,-0.000140,0.273918,2017-12-29
2017.994507,-0.028100,0.075300,-0.021038,0.274358,2017-12-30
2017.997314,-0.036600,0.076100,-0.010024,0.274825,2017-12-31
2018.000000,-0.044900,0.076300,0.079074,0.275275,2018-01-01
2018.002686,-0.043500,0.076200,0.153896,0.275747,2018-01-02
2018.005493,-0.041800,0.076100,0.128437,0.276200,2018-01-03
2018.008179,-0.043300,0.076100,0.167690,0.276673,2018-01-04
2018.010986,-0.046500,0.077100,0.338817,0.277123,2018-01-05
2018.013672,-0.046500,0.077500,0.515518,0.277570,2018-01-06
2018.016479,-0.070000,0.076600,0.708588,0.278031,2018-01-07
2018.019165,-0.071700,0.077600,0.804922,0.278466,2018-01-08
2018.021851,-0.076700,0.078000,0.894735,0.278912,2018-01-09
2018.024658,-0.076700,0.077700,1.037610,0.279329,2018-01-10
2018.027344,-0.080000,0.077900,1.235240,0.279754,2018-01-11
2018.030151,-0.098700,0.080000,1.275340,0.280147,2018-01-12
