utvec,dv,err,temp,SM_EWT,date
2016.929443,0.199000,0.146500,1.072340,0.249933,2016-12-06
2016.932251,0.192800,0.145800,0.742881,0.250444,2016-12-07
2016.934937,0.188300,0.145200,0.330317,0.250970,2016-12-08
2016.937744,0.178400,0.144300,0.072685,0.251465,2016-12-09
2016.940430,0.178200,0.143700,-0.030240,0.251949,2016-12-10
2016.943237,0.172200,0.141900,-0.156586,0.252440,2016-12-11
2016.945923,0.165500,0.141200,-0.279576,0.252893,2016-12-12
2016.948608,0.161600,0.140700,-0.409710,0.253347,2016-12-13
2016.951416,0.155500,0.139800,-0.562776,0.253760,2016-12-14
2016.954102,0.149700,0.138700,-0.718481,0.254168,2016-12-15
2016.956909,0.149000,0.137500,-0.940611,0.254547,2016-12-16
2016.959595,0.145100,0.136700,-1.233850,0.254917,2016-12-17
2016.962402,0.143300,0.136600,-1.437180,0.255297,2016-12-18
2016.965088,0.137900,0.136500,-1.431500,0.255654,2016-12-19
2016.967773,0.134100,0.136000,-1.395540,0.256022,2016-12-20
2016.970581,0.130700,0.135900,-1.530180,0.256370,2016-12-21
2016.973267,0.130100,0.134900,-1.740430,0.256730,2016-12-22
2016.976074,0.126800,0.135600,-1.841600,0.257071,2016-12-23
2016.978760,0.125000,0.135500,-1.888000,0.257411,2016-12-24
2016.981567,0.117900,0.134600,-1.958430,0.257766,2016-12-25
2016.984253,0.106000,0.133600,-2.042410,0.258106,2016-12-26
2016.986938,0.102800,0.134000,-2.237850,0.258462,2016-12-27
2016.989746,0.101300,0.133900,-2.462700,0.258805,2016-12-28
2016.992432,0.098400,0.134400,-2.568480,0.259166,2016-12-29
2016.995239,0.093500,0.134300,-2.633730,0.259516,2016-12-30
2016.997925,0.090400,0.135100,-2.596410,0.259870,2016-12-31
2017.000732,0.085800,0.136300,-2.541030,0.260247,2017-01-01
2017.003418,0.081100,0.136500,-2.399790,0.260614,2017-01-02
2017.006104,0.078000,0.137500,-2.187590,0.261006,2017-01-03
2017.008911,0.069700,0.138400,-2.028190,0.261389,2017-01-04
2017.011597,0.068100,0.138100,-1.971770,0.261800,2017-01-05
2017.014404,0.056900,0.138600,-1.826940,0.262203,2017-01-06
2017.017090,0.053100,0.138600,-1.687590,0.262618,2017-01-07
2017.019897,0.041000,0.140200,-1.469960,0.263064,2017-01-08
2017.022583,0.035400,0.140600,-1.338160,0.263503,2017-01-09
2017.025269,0.029300,0.140900,-1.276810,0.263978,2017-01-10
2017.028076,0.024600,0.141800,-1.153840,0.264447,2017-01-11
2017.030762,0.016600,0.143000,-1.089550,0.264954,2017-01-12
2017.033569,0.006800,0.143900,-1.123340,0.265456,2017-01-13
2017.036255,-0.006100,0.143900,-1.169800,0.265975,2017-01-14
2017.039062,-0.014100,0.144300,-1.312930,0.266559,2017-01-15
2017.041748,-0.015100,0.143200,-1.416250,0.267175,2017-01-16
2017.044434,-0.029200,0.140000,-1.364200,0.267878,2017-01-17
2017.047241,-0.042400,0.135900,-1.023490,0.268600,2017-01-18
2017.049927,-0.064300,0.132400,-0.706547,0.269404,2017-01-19
2017.052734,-0.077400,0.132800,-0.459706,0.270214,2017-01-20
2017.055420,-0.092700,0.134200,-0.361343,0.271062,2017-01-21
2017.058228,-0.106700,0.136300,-0.208126,0.271984,2017-01-22
2017.060913,-0.121700,0.137500,-0.017814,0.272895,2017-01-23
2017.063599,-0.133800,0.139300,-0.019083,0.273874,2017-01-24
2017.066406,-0.154500,0.139800,-0.094391,0.274831,2017-01-25
2017.069092,-0.168826,0.140083,-0.048871,0.275850,2017-01-26
2017.071899,-0.183634,0.140657,0.050926,0.276837,2017-01-27
2017.074585,-0.197597,0.141442,0.101496,0.277832,2017-01-28
2017.077393,-0.211922,0.142475,0.106059,0.278877,2017-01-29
2017.080078,-0.225310,0.143634,0.089637,0.279876,2017-01-30
2017.082764,-0.238349,0.144931,0.030009,0.280917,2017-01-31
2017.085571,-0.251544,0.146399,0.092805,0.281904,2017-02-01
2017.088257,-0.263707,0.147881,0.209978,0.282922,2017-02-02
2017.091064,-0.275878,0.149477,0.350255,0.283880,2017-02-03
2017.093750,-0.286957,0.151018,0.392129,0.284816,2017-02-04
2017.096558,-0.297892,0.152609,0.313892,0.285769,2017-02-05
2017.099243,-0.307678,0.154081,0.506126,0.286651,2017-02-06
2017.101929,-0.316762,0.155473,0.871664,0.287538,2017-02-07
2017.104736,-0.325449,0.156810,1.122000,0.288349,2017-02-08
2017.107422,-0.332936,0.157945,1.216710,0.289152,2017-02-09
2017.110229,-0.339847,0.158947,1.289330,0.289874,2017-02-10
2017.112915,-0.345532,0.159697,1.374070,0.290546,2017-02-11
2017.115723,-0.350452,0.160230,1.482650,0.291192,2017-02-12
2017.118408,-0.354127,0.160468,1.703110,0.291751,2017-02-13
2017.121094,-0.356746,0.160410,1.916200,0.292275,2017-02-14
2017.123901,-0.358300,0.160000,2.165530,0.292745,2017-02-15
2017.126587,-0.358900,0.159400,2.456890,0.293209,2017-02-16
2017.129395,-0.359700,0.159000,2.811130,0.293630,2017-02-17
2017.132080,-0.362100,0.158500,3.129650,0.294029,2017-02-18
2017.134888,-0.359200,0.158000,3.396510,0.294426,2017-02-19
2017.137573,-0.364400,0.155900,3.645950,0.294787,2017-02-20
2017.140259,-0.361100,0.156700,3.843840,0.295148,2017-02-21
2017.143066,-0.359400,0.157300,3.897580,0.295478,2017-02-22
2017.145752,-0.364900,0.157100,4.000480,0.295811,2017-02-23
2017.148560,-0.364800,0.159100,4.100860,0.296119,2017-02-24
2017.151245,-0.363500,0.160000,4.263120,0.296418,2017-02-25
2017.154053,-0.363300,0.160800,4.422480,0.296723,2017-02-26
2017.156738,-0.364800,0.161300,4.593700,0.297010,2017-02-27
2017.159424,-0.368300,0.161500,4.790050,0.297307,2017-02-28
2017.162231,-0.367800,0.162700,4.995170,0.297590,2017-03-01
2017.164917,-0.369200,0.163600,5.078980,0.297886,2017-03-02
2017.167725,-0.372200,0.163500,5.180050,0.298172,2017-03-03
2017.170410,-0.373700,0.163500,5.200960,0.298462,2017-03-04
2017.173218,-0.373700,0.163400,5.150870,0.298772,2017-03-05
2017.175903,-0.373500,0.163200,5.089860,0.299076,2017-03-06
2017.178589,-0.371700,0.163000,5.100590,0.299405,2017-03-07
2017.181396,-0.373700,0.162900,5.201370,0.299731,2017-03-08
2017.184082,-0.370500,0.162700,5.334330,0.300086,2017-03-09
2017.186890,-0.374000,0.162400,5.314040,0.300441,2017-03-10
2017.189575,-0.372400,0.162100,5.200070,0.300814,2017-03-11
2017.192383,-0.377400,0.160900,5.145510,0.301223,2017-03-12
2017.195068,-0.377400,0.159800,5.093030,0.301636,2017-03-13
2017.197754,-0.377500,0.159100,5.144380,0.302091,2017-03-14
2017.200562,-0.376000,0.158600,5.304000,0.302552,2017-03-15
2017.203247,-0.377600,0.158200,5.432510,0.303062,2017-03-16
2017.206055,-0.377700,0.157200,5.546600,0.303619,2017-03-17
2017.208740,-0.379200,0.154800,5.705800,0.304266,2017-03-18
2017.211548,-0.375900,0.155200,5.880340,0.305030,2017-03-19
2017.214233,-0.377700,0.155700,5.941990,0.305837,2017-03-20
2017.216919,-0.377400,0.156200,5.984080,0.306753,2017-03-21
2017.219727,-0.377300,0.157300,6.015750,0.307690,2017-03-22
2017.222412,-0.379000,0.157600,6.013940,0.308725,2017-03-23
2017.225220,-0.377200,0.157400,6.027420,0.309761,2017-03-24
2017.227905,-0.377100,0.157800,6.084810,0.310834,2017-03-25
2017.230713,-0.375400,0.157200,6.227570,0.311988,2017-03-26
2017.233398,-0.370300,0.156600,6.384660,0.313114,2017-03-27
2017.236084,-0.367100,0.156400,6.619600,0.314307,2017-03-28
2017.238892,-0.365700,0.157200,6.770530,0.315456,2017-03-29
2017.241577,-0.363900,0.158200,6.849770,0.316656,2017-03-30
2017.244385,-0.362400,0.158400,6.948950,0.317797,2017-03-31
2017.247070,-0.359400,0.158700,7.135660,0.318922,2017-04-01
2017.249878,-0.354700,0.158800,7.348790,0.320075,2017-04-02
2017.252563,-0.348100,0.158900,7.519140,0.321146,2017-04-03
2017.255249,-0.343100,0.158700,7.599520,0.322226,2017-04-04
2017.258057,-0.341300,0.158800,7.694060,0.323213,2017-04-05
2017.260742,-0.339700,0.158600,7.939950,0.324188,2017-04-06
2017.263550,-0.338000,0.158800,8.295880,0.325060,2017-04-07
2017.266235,-0.334700,0.158700,8.485550,0.325864,2017-04-08
2017.269043,-0.333200,0.158500,8.547160,0.326624,2017-04-09
2017.271729,-0.333200,0.158500,8.590010,0.327267,2017-04-10
2017.274414,-0.333300,0.158500,8.637270,0.327843,2017-04-11
2017.277222,-0.333400,0.159000,8.763310,0.328294,2017-04-12
2017.279907,-0.335100,0.159600,8.908110,0.328654,2017-04-13
2017.282715,-0.333600,0.159000,8.910570,0.328883,2017-04-14
2017.285400,-0.335200,0.159900,8.851370,0.328992,2017-04-15
2017.288208,-0.335100,0.160600,8.791500,0.328989,2017-04-16
2017.290894,-0.335200,0.161500,8.709260,0.328937,2017-04-17
2017.293579,-0.338600,0.162600,8.518110,0.328837,2017-04-18
2017.296387,-0.341900,0.163700,8.313340,0.328700,2017-04-19
2017.299072,-0.343500,0.165300,8.190030,0.328517,2017-04-20
2017.301880,-0.345100,0.166900,8.096150,0.328304,2017-04-21
2017.304565,-0.351700,0.168700,8.062690,0.328058,2017-04-22
2017.307373,-0.356800,0.168600,8.114760,0.327766,2017-04-23
2017.310059,-0.355300,0.168100,8.380070,0.327456,2017-04-24
2017.312744,-0.346900,0.169100,8.615040,0.327102,2017-04-25
2017.315552,-0.338400,0.170100,8.837690,0.326737,2017-04-26
2017.318237,-0.329900,0.173000,9.018230,0.326330,2017-04-27
2017.321045,-0.321700,0.172500,9.176540,0.325918,2017-04-28
2017.323730,-0.310100,0.173300,9.382380,0.325487,2017-04-29
2017.326538,-0.300000,0.173300,9.578990,0.325017,2017-04-30
2017.329224,-0.291700,0.171700,9.774030,0.324551,2017-05-01
2017.331909,-0.276700,0.170900,10.056400,0.324049,2017-05-02
2017.334717,-0.263300,0.171200,10.238000,0.323557,2017-05-03
2017.337402,-0.256700,0.170600,10.415500,0.323033,2017-05-04
2017.340210,-0.246600,0.169300,10.706700,0.322524,2017-05-05
2017.342896,-0.237071,0.168080,11.061000,0.322009,2017-05-06
2017.345703,-0.227161,0.166953,11.326200,0.321467,2017-05-07
2017.348389,-0.217719,0.166002,11.492200,0.320946,2017-05-08
2017.351074,-0.208316,0.165160,11.622500,0.320403,2017-05-09
2017.353882,-0.198516,0.164381,11.892300,0.319886,2017-05-10
2017.356567,-0.189172,0.163719,12.250200,0.319351,2017-05-11
2017.359375,-0.179423,0.163096,12.498100,0.318845,2017-05-12
2017.362061,-0.170115,0.162552,12.654400,0.318348,2017-05-13
2017.364868,-0.160401,0.162023,12.655400,0.317840,2017-05-14
2017.367554,-0.151113,0.161538,12.729100,0.317368,2017-05-15
