utvec,dv,err,temp,SM_EWT,date
2008.579102,-0.064900,0.075000,21.044800,0.326642,2008-07-31
2008.581787,-0.064900,0.074800,21.012700,0.327172,2008-08-01
2008.584473,-0.068300,0.074900,20.913500,0.327720,2008-08-02
2008.587280,-0.066800,0.074700,20.727400,0.328234,2008-08-03
2008.589966,-0.066200,0.074800,20.534300,0.328756,2008-08-04
2008.592773,-0.070800,0.075400,20.398300,0.329236,2008-08-05
2008.595459,-0.070400,0.075900,20.360100,0.329691,2008-08-06
2008.598267,-0.070300,0.077100,20.322700,0.330138,2008-08-07
2008.600952,-0.066500,0.076900,20.288000,0.330531,2008-08-08
2008.603638,-0.060459,0.077670,20.248000,0.330903,2008-08-09
2008.606445,-0.056300,0.078800,20.199500,0.331216,2008-08-10
2008.609131,-0.057400,0.079100,20.070300,0.331494,2008-08-11
2008.611938,-0.055500,0.080000,19.946700,0.331708,2008-08-12
2008.614624,-0.052286,0.080841,19.802800,0.331866,2008-08-13
2008.617432,-0.050000,0.081000,19.656200,0.331968,2008-08-14
2008.620117,-0.052400,0.080400,19.561600,0.332000,2008-08-15
2008.622803,-0.053800,0.080300,19.481300,0.331996,2008-08-16
2008.625610,-0.055400,0.080500,19.423000,0.331987,2008-08-17
2008.628296,-0.056800,0.080300,19.356500,0.331971,2008-08-18
2008.631104,-0.061100,0.079600,19.261200,0.331950,2008-08-19
2008.633789,-0.062300,0.079600,19.147300,0.331923,2008-08-20
2008.636597,-0.064100,0.079400,19.064800,0.331890,2008-08-21
2008.639282,-0.067800,0.079700,19.017500,0.331852,2008-08-22
2008.641968,-0.070500,0.080500,18.951200,0.331809,2008-08-23
2008.644775,-0.070400,0.080700,18.815300,0.331762,2008-08-24
2008.647461,-0.070200,0.081400,18.671300,0.331709,2008-08-25
2008.650269,-0.077300,0.080800,18.559000,0.331653,2008-08-26
2008.652954,-0.090200,0.081600,18.524400,0.331594,2008-08-27
2008.655762,-0.100000,0.082200,18.480100,0.331528,2008-08-28
2008.658447,-0.103500,0.082800,18.414300,0.331461,2008-08-29
2008.661133,-0.108400,0.083400,18.315100,0.331387,2008-08-30
2008.663940,-0.120300,0.085500,18.220200,0.331314,2008-08-31
2008.666626,-0.120700,0.086600,18.103700,0.331234,2008-09-01
2008.669434,-0.136500,0.087200,17.967100,0.331155,2008-09-02
2008.672119,-0.133300,0.088000,17.846900,0.331073,2008-09-03
2008.674927,-0.136600,0.087200,17.693200,0.330985,2008-09-04
2008.677612,-0.132200,0.086800,17.457400,0.330898,2008-09-05
2008.680298,-0.137300,0.086400,17.226700,0.330806,2008-09-06
2008.683105,-0.138200,0.086300,17.068500,0.330716,2008-09-07
2008.685791,-0.139500,0.085600,16.959700,0.330620,2008-09-08
2008.688599,-0.136300,0.085000,16.881800,0.330527,2008-09-09
2008.691284,-0.146400,0.084000,16.795300,0.330432,2008-09-10
2008.694092,-0.144500,0.083700,16.650300,0.330333,2008-09-11
2008.696777,-0.123300,0.084300,16.343800,0.330237,2008-09-12
2008.699463,-0.120300,0.084100,15.965900,0.330137,2008-09-13
2008.702271,-0.110500,0.083700,15.605600,0.330040,2008-09-14
2008.704956,-0.099900,0.084600,15.315300,0.329936,2008-09-15
2008.707764,-0.098700,0.084200,15.157600,0.329821,2008-09-16
2008.710449,-0.099100,0.084300,15.066500,0.329691,2008-09-17
2008.713257,-0.104500,0.084000,14.983500,0.329540,2008-09-18
2008.715942,-0.101200,0.084000,14.880300,0.329383,2008-09-19
2008.718628,-0.092800,0.083600,14.737600,0.329206,2008-09-20
2008.721436,-0.082600,0.083300,14.576000,0.329025,2008-09-21
2008.724121,-0.081300,0.083100,14.354300,0.328826,2008-09-22
2008.726929,-0.074300,0.082800,14.033800,0.328626,2008-09-23
2008.729614,-0.074500,0.082200,13.772400,0.328419,2008-09-24
2008.732422,-0.069200,0.082300,13.559200,0.328194,2008-09-25
2008.735107,-0.067600,0.082800,13.411800,0.327974,2008-09-26
2008.737793,-0.061400,0.083300,13.284300,0.327739,2008-09-27
2008.740601,-0.054400,0.084000,13.136800,0.327510,2008-09-28
2008.743286,-0.046500,0.084400,13.019300,0.327267,2008-09-29
2008.746094,-0.040200,0.084400,12.893600,0.327034,2008-09-30
2008.748779,-0.035500,0.084700,12.786300,0.326800,2008-10-01
2008.751587,-0.035900,0.084400,12.723400,0.326555,2008-10-02
2008.754272,-0.032700,0.084400,12.736200,0.326323,2008-10-03
2008.756958,-0.030000,0.083900,12.658400,0.326083,2008-10-04
2008.759766,-0.031900,0.083300,12.505300,0.325856,2008-10-05
2008.762451,-0.030400,0.082300,12.277300,0.325624,2008-10-06
2008.765259,-0.028600,0.080700,11.923900,0.325408,2008-10-07
2008.767944,-0.024500,0.078800,11.578600,0.325199,2008-10-08
2008.770752,-0.022700,0.078100,11.296000,0.324988,2008-10-09
2008.773438,-0.019300,0.077600,11.058300,0.324795,2008-10-10
2008.776123,-0.024300,0.077900,10.848100,0.324603,2008-10-11
2008.778931,-0.015800,0.078300,10.631700,0.324430,2008-10-12
2008.781616,-0.014000,0.079100,10.457600,0.324263,2008-10-13
2008.784424,-0.011000,0.080200,10.320800,0.324115,2008-10-14
2008.787109,-0.003100,0.081200,10.188600,0.323981,2008-10-15
2008.789917,0.001500,0.080700,9.958520,0.323845,2008-10-16
2008.792603,0.001400,0.080300,9.758390,0.323713,2008-10-17
2008.795288,0.003200,0.079800,9.612260,0.323574,2008-10-18
2008.798096,0.003100,0.080500,9.501170,0.323440,2008-10-19
2008.800781,0.003100,0.080200,9.389180,0.323300,2008-10-20
2008.803589,0.004900,0.080000,9.247680,0.323165,2008-10-21
2008.806274,0.009900,0.080000,9.057370,0.323032,2008-10-22
2008.809082,0.011700,0.079700,8.856010,0.322893,2008-10-23
2008.811768,0.013200,0.079100,8.720300,0.322761,2008-10-24
2008.814453,0.018200,0.078800,8.542790,0.322625,2008-10-25
2008.817261,0.021200,0.079300,8.329110,0.322498,2008-10-26
2008.819946,0.021100,0.078800,8.101420,0.322367,2008-10-27
2008.822754,0.022900,0.078600,7.874150,0.322245,2008-10-28
2008.825439,0.021100,0.078000,7.610140,0.322126,2008-10-29
2008.828247,0.021100,0.078000,7.326000,0.322005,2008-10-30
2008.830933,0.022900,0.078000,7.072100,0.321895,2008-10-31
2008.833618,0.024600,0.077500,6.860230,0.321784,2008-11-01
2008.836426,0.028184,0.077694,6.689910,0.321682,2008-11-02
2008.839111,0.033000,0.078100,6.483530,0.321582,2008-11-03
2008.841919,0.039600,0.078100,6.254650,0.321493,2008-11-04
2008.844604,0.039800,0.078500,6.084520,0.321409,2008-11-05
2008.847412,0.046900,0.079500,5.949260,0.321329,2008-11-06
2008.850098,0.047300,0.079200,5.897050,0.321259,2008-11-07
2008.852783,0.045300,0.079300,5.782090,0.321194,2008-11-08
2008.855591,0.046873,0.079258,5.516250,0.321140,2008-11-09
2008.858276,0.049700,0.078700,5.205690,0.321092,2008-11-10
2008.861084,0.053200,0.077800,5.056640,0.321055,2008-11-11
2008.863770,0.047200,0.077700,5.051590,0.321027,2008-11-12
2008.866577,0.048900,0.077400,5.110770,0.321009,2008-11-13
2008.869263,0.048700,0.074800,5.045210,0.321000,2008-11-14
2008.871948,0.046800,0.074100,4.807250,0.321015,2008-11-15
2008.874756,0.048400,0.074400,4.507180,0.321082,2008-11-16
2008.877441,0.046700,0.074000,4.211960,0.321205,2008-11-17
2008.880249,0.045300,0.073600,3.911240,0.321370,2008-11-18
2008.882935,0.048100,0.074000,3.617980,0.321579,2008-11-19
2008.885742,0.043100,0.073500,3.323870,0.321841,2008-11-20
2008.888428,0.045100,0.071900,3.036410,0.322131,2008-11-21
2008.891113,0.045000,0.072200,2.865540,0.322471,2008-11-22
2008.893921,0.044782,0.072637,2.742010,0.322829,2008-11-23
2008.896606,0.044454,0.072607,2.478890,0.323235,2008-11-24
2008.899414,0.044027,0.072263,2.188770,0.323650,2008-11-25
2008.902100,0.043575,0.071784,1.940030,0.324087,2008-11-26
2008.904907,0.043100,0.071282,1.555840,0.324567,2008-11-27
2008.907593,0.042681,0.070948,1.193500,0.325043,2008-11-28
2008.910278,0.042333,0.070902,0.919978,0.325557,2008-11-29
2008.913086,0.042086,0.071315,0.716249,0.326060,2008-11-30
2008.915771,0.042000,0.072300,0.529531,0.326594,2008-12-01
2008.918579,0.042100,0.073500,0.348280,0.327111,2008-12-02
2008.921265,0.042100,0.073500,0.169756,0.327631,2008-12-03
2008.924072,0.043900,0.074200,0.094592,0.328174,2008-12-04
2008.926758,0.045600,0.073700,-0.156706,0.328690,2008-12-05
2008.929443,0.047400,0.074500,-0.385848,0.329222,2008-12-06
2008.932251,0.050573,0.075876,-0.449953,0.329722,2008-12-07
2008.934937,0.052700,0.077400,-0.465966,0.330232,2008-12-08
2008.937744,0.052900,0.078800,-0.481934,0.330704,2008-12-09
2008.940430,0.052900,0.078800,-0.509254,0.331158,2008-12-10
2008.943237,0.054400,0.079800,-0.627864,0.331610,2008-12-11
2008.945923,0.051000,0.080300,-0.720689,0.332018,2008-12-12
2008.948608,0.050800,0.080800,-0.760702,0.332416,2008-12-13
2008.951416,0.045700,0.081300,-0.839754,0.332766,2008-12-14
2008.954102,0.044200,0.081700,-0.949182,0.333098,2008-12-15
2008.956909,0.044200,0.083300,-0.967502,0.333396,2008-12-16
2008.959595,0.047900,0.084300,-1.036950,0.333683,2008-12-17
2008.962402,0.054700,0.086600,-1.147660,0.333971,2008-12-18
2008.965088,0.059300,0.087300,-1.287000,0.334236,2008-12-19
2008.967773,0.060400,0.089500,-1.392850,0.334503,2008-12-20
2008.970581,0.055500,0.090800,-1.467910,0.334750,2008-12-21
2008.973267,0.047000,0.088800,-1.505300,0.335001,2008-12-22
2008.976074,0.045100,0.087900,-1.505900,0.335234,2008-12-23
2008.978760,0.045100,0.087400,-1.503160,0.335463,2008-12-24
2008.981567,0.045000,0.087200,-1.489950,0.335697,2008-12-25
2008.984253,0.044745,0.087152,-1.501110,0.335918,2008-12-26
2008.986938,0.044273,0.087154,-1.593070,0.336147,2008-12-27
2008.989746,0.043569,0.087200,-1.751960,0.336364,2008-12-28
2008.992432,0.042714,0.087272,-1.911390,0.336591,2008-12-29
2008.995239,0.041654,0.087367,-1.976360,0.336809,2008-12-30
2008.997925,0.040500,0.087463,-2.055830,0.337029,2008-12-31
2009.000732,0.039170,0.087559,-2.105510,0.337262,2009-01-01
2009.003418,0.037800,0.087633,-2.195670,0.337488,2009-01-02
2009.006104,0.036354,0.087680,-2.288000,0.337730,2009-01-03
2009.008911,0.034784,0.087687,-2.284890,0.337968,2009-01-04
2009.011597,0.033246,0.087643,-2.208480,0.338223,2009-01-05
2009.014404,0.031623,0.087532,-2.136760,0.338475,2009-01-06
2009.017090,0.030075,0.087351,-2.141310,0.338737,2009-01-07
2009.019897,0.028485,0.087072,-2.173460,0.339020,2009-01-08
2009.022583,0.027011,0.086708,-2.099020,0.339302,2009-01-09
2009.025269,0.025603,0.086238,-2.020950,0.339609,2009-01-10
2009.028076,0.024223,0.085621,-2.125110,0.339916,2009-01-11
2009.030762,0.023013,0.084900,-2.243510,0.340252,2009-01-12
2009.033569,0.021883,0.083996,-2.343690,0.340588,2009-01-13
2009.036255,0.020952,0.082977,-2.344990,0.340940,2009-01-14
2009.039062,0.020159,0.081738,-2.271230,0.341346,2009-01-15
2009.041748,0.019591,0.080375,-2.217790,0.341802,2009-01-16
2009.044434,0.019232,0.078827,-2.162680,0.342345,2009-01-17
2009.047241,0.019100,0.077000,-2.062870,0.342922,2009-01-18
2009.049927,0.020900,0.075600,-2.027140,0.343578,2009-01-19
2009.052734,0.024400,0.076400,-1.997380,0.344252,2009-01-20
2009.055420,0.021100,0.077500,-1.941850,0.344966,2009-01-21
2009.058228,0.030400,0.077400,-1.883320,0.345749,2009-01-22
2009.060913,0.033400,0.078500,-1.769680,0.346527,2009-01-23
2009.063599,0.036300,0.078600,-1.529270,0.347364,2009-01-24
2009.066406,0.034300,0.079400,-1.317540,0.348184,2009-01-25
2009.069092,0.033800,0.078500,-1.158160,0.349054,2009-01-26
2009.071899,0.025000,0.077000,-0.880602,0.349893,2009-01-27
2009.074585,0.022800,0.075600,-0.641183,0.350733,2009-01-28
2009.077393,0.019400,0.074500,-0.626189,0.351607,2009-01-29
2009.080078,0.013100,0.075000,-0.627871,0.352433,2009-01-30
2009.082764,0.009500,0.075200,-0.539572,0.353280,2009-01-31
2009.085571,0.009200,0.075000,-0.382029,0.354069,2009-02-01
