utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2007.013062,-0.158000,0.128600,-13.635490,0.005870,0.000000,1278.952426,1370.887414,2007-01-06
2007.015747,-0.157900,0.128800,-13.557060,0.006237,0.000000,1278.953870,1370.891592,2007-01-07
2007.018433,-0.154600,0.129700,-13.483400,0.006613,0.000000,1278.955338,1370.895735,2007-01-08
2007.021240,-0.153100,0.129700,-13.404210,0.006963,0.000000,1278.956904,1370.900023,2007-01-09
2007.023926,-0.155000,0.129400,-13.353210,0.007320,0.000000,1278.958436,1370.904082,2007-01-10
2007.026733,-0.156900,0.129900,-13.278090,0.007652,0.000000,1278.960080,1370.908275,2007-01-11
2007.029419,-0.156800,0.130700,-13.157870,0.007973,0.000000,1278.961697,1370.912234,2007-01-12
2007.032227,-0.159700,0.132600,-13.128090,0.008298,0.000000,1278.963439,1370.916316,2007-01-13
2007.034912,-0.159600,0.133100,-13.136900,0.008597,0.000000,1278.965161,1370.920160,2007-01-14
2007.037598,-0.158100,0.134800,-13.208710,0.008897,0.000000,1278.966942,1370.923943,2007-01-15
2007.040405,-0.152900,0.135300,-13.237250,0.009175,0.000000,1278.968871,1370.927827,2007-01-16
2007.043091,-0.153400,0.136300,-13.126140,0.009457,0.000000,1278.970787,1370.931472,2007-01-17
2007.045898,-0.153700,0.136000,-12.938560,0.009719,0.000000,1278.972864,1370.935208,2007-01-18
2007.048584,-0.149000,0.135800,-12.779190,0.009974,0.000000,1278.974921,1370.938716,2007-01-19
2007.051392,-0.148900,0.137300,-12.611530,0.010233,0.000000,1278.977141,1370.942319,2007-01-20
2007.054077,-0.154300,0.137900,-12.534210,0.010475,0.000000,1278.979327,1370.945706,2007-01-21
2007.056763,-0.155200,0.138500,-12.431760,0.010722,0.000000,1278.981573,1370.949044,2007-01-22
2007.059570,-0.148000,0.138100,-12.251240,0.010953,0.000000,1278.983980,1370.952481,2007-01-23
2007.062256,-0.150300,0.138200,-12.073670,0.011189,0.000000,1278.986338,1370.955726,2007-01-24
2007.065063,-0.148600,0.137800,-12.086130,0.011411,0.000000,1278.988857,1370.959077,2007-01-25
2007.067749,-0.149600,0.139200,-12.108140,0.011629,0.000000,1278.991316,1370.962248,2007-01-26
2007.070557,-0.149300,0.139800,-12.191350,0.011854,0.000000,1278.993935,1370.965533,2007-01-27
2007.073242,-0.140500,0.140900,-12.201600,0.012066,0.000000,1278.996483,1370.968649,2007-01-28
2007.075928,-0.131800,0.140700,-12.223530,0.012285,0.000000,1278.999070,1370.971745,2007-01-29
2007.078735,-0.133300,0.141300,-12.231540,0.012492,0.000000,1279.001814,1370.974964,2007-01-30
2007.081421,-0.138500,0.141800,-12.226980,0.012708,0.000000,1279.004474,1370.978033,2007-01-31
2007.084229,-0.124700,0.140900,-12.267050,0.012913,0.000000,1279.007288,1370.981235,2007-02-01
2007.086914,-0.125431,0.139718,-12.318080,0.013118,0.000000,1279.010007,1370.984293,2007-02-02
2007.089722,-0.127711,0.138513,-12.271980,0.013332,0.000000,1279.012878,1370.987494,2007-02-03
2007.092407,-0.131275,0.137389,-12.207000,0.013538,0.000000,1279.015646,1370.990562,2007-02-04
2007.095093,-0.136128,0.136293,-12.073630,0.013753,0.000000,1279.018435,1370.993642,2007-02-05
2007.097900,-0.142507,0.135180,-11.845030,0.013961,0.000000,1279.021368,1370.996878,2007-02-06
2007.100586,-0.149794,0.134146,-11.621890,0.014181,0.000000,1279.024188,1370.999995,2007-02-07
2007.103394,-0.158578,0.133097,-11.424610,0.014393,0.000000,1279.027149,1371.003280,2007-02-08
2007.106079,-0.168027,0.132126,-11.346490,0.014608,0.000000,1279.029989,1371.006451,2007-02-09
2007.108887,-0.178934,0.131145,-11.259550,0.014837,0.000000,1279.032964,1371.009803,2007-02-10
2007.111572,-0.190278,0.130240,-11.096270,0.015059,0.000000,1279.035813,1371.013047,2007-02-11
2007.114258,-0.202455,0.129367,-10.756960,0.015297,0.000000,1279.038662,1371.016335,2007-02-12
2007.117065,-0.215997,0.128490,-10.402710,0.015529,0.000000,1279.041636,1371.019822,2007-02-13
2007.119751,-0.229670,0.127686,-10.056628,0.015777,0.000000,1279.044476,1371.023211,2007-02-14
2007.122559,-0.244639,0.126882,-9.671231,0.016025,0.000000,1279.047437,1371.026814,2007-02-15
2007.125244,-0.259533,0.126150,-9.266101,0.016290,0.000000,1279.050256,1371.030321,2007-02-16
2007.128052,-0.275644,0.125421,-8.884374,0.016584,0.000000,1279.053189,1371.034056,2007-02-17
2007.130737,-0.291494,0.124762,-8.518527,0.016880,0.000000,1279.055980,1371.037683,2007-02-18
2007.133423,-0.307721,0.124139,-8.202870,0.017202,0.000000,1279.058758,1371.041360,2007-02-19
2007.136230,-0.325005,0.123528,-7.988200,0.017520,0.000000,1279.061646,1371.045243,2007-02-20
2007.138916,-0.341788,0.122981,-7.762460,0.017862,0.000000,1279.064395,1371.048991,2007-02-21
2007.141724,-0.359520,0.122451,-7.520410,0.018196,0.000000,1279.067253,1371.052932,2007-02-22
2007.144409,-0.376585,0.121984,-7.245360,0.018535,0.000000,1279.069972,1371.056716,2007-02-23
2007.147217,-0.394477,0.121537,-6.981060,0.018892,0.000000,1279.072800,1371.060678,2007-02-24
2007.149902,-0.411561,0.121151,-6.740720,0.019236,0.000000,1279.075489,1371.064465,2007-02-25
2007.152588,-0.428563,0.120805,-6.588630,0.019596,0.000000,1279.078165,1371.068242,2007-02-26
2007.155396,-0.446173,0.120487,-6.522100,0.019937,0.000000,1279.080946,1371.072170,2007-02-27
2007.158081,-0.462787,0.120226,-6.401040,0.020291,0.000000,1279.083591,1371.075897,2007-02-28
2007.160889,-0.479858,0.119998,-6.284010,0.020623,0.000000,1279.086341,1371.079758,2007-03-01
2007.163574,-0.495822,0.119823,-6.120900,0.020948,0.000000,1279.088955,1371.083404,2007-03-02
2007.166382,-0.512072,0.119687,-5.950600,0.021279,0.000000,1279.091673,1371.087161,2007-03-03
2007.169067,-0.527117,0.119601,-5.834380,0.021584,0.000000,1279.094257,1371.090691,2007-03-04
2007.171753,-0.541620,0.119560,-5.650940,0.021889,0.000000,1279.096827,1371.094153,2007-03-05
2007.174561,-0.556127,0.119565,-5.405950,0.022167,0.000000,1279.099498,1371.097690,2007-03-06
2007.177246,-0.569305,0.119616,-5.181110,0.022441,0.000000,1279.102035,1371.100984,2007-03-07
2007.180054,-0.582291,0.119718,-5.022260,0.022684,0.000000,1279.104673,1371.104329,2007-03-08
2007.182739,-0.593881,0.119864,-4.853890,0.022908,0.000000,1279.107180,1371.107423,2007-03-09
2007.185547,-0.605066,0.120066,-4.775100,0.023120,0.000000,1279.109785,1371.110540,2007-03-10
2007.188232,-0.614798,0.120308,-4.782290,0.023299,0.000000,1279.112260,1371.113399,2007-03-11
2007.190918,-0.623528,0.120599,-4.879710,0.023460,0.000000,1279.114720,1371.116131,2007-03-12
2007.193726,-0.631509,0.120955,-4.946540,0.023587,0.000000,1279.117276,1371.118843,2007-03-13
2007.196411,-0.637978,0.121345,-4.964900,0.023689,0.000000,1279.119704,1371.121289,2007-03-14
2007.199219,-0.643457,0.121807,-4.896330,0.023757,0.000000,1279.122226,1371.123685,2007-03-15
2007.201904,-0.647400,0.122300,-4.789630,0.023792,0.000000,1279.124621,1371.125811,2007-03-16
2007.204712,-0.649900,0.122500,-4.651540,0.023797,0.000000,1279.127109,1371.127854,2007-03-17
2007.207397,-0.645200,0.121900,-4.492040,0.023786,0.000000,1279.129472,1371.129627,2007-03-18
2007.210083,-0.643600,0.122900,-4.343480,0.023762,0.000000,1279.131819,1371.131216,2007-03-19
2007.212891,-0.638400,0.123300,-4.330030,0.023729,0.000000,1279.134251,1371.132682,2007-03-20
2007.215576,-0.641200,0.123000,-4.313630,0.023683,0.000000,1279.136551,1371.133903,2007-03-21
2007.218384,-0.639200,0.122300,-4.266830,0.023629,0.000000,1279.138924,1371.134998,2007-03-22
2007.221069,-0.637000,0.122100,-4.132950,0.023565,0.000000,1279.141157,1371.135877,2007-03-23
2007.223877,-0.635300,0.123000,-4.039590,0.023488,0.000000,1279.143449,1371.136627,2007-03-24
2007.226562,-0.637400,0.125000,-3.998530,0.023405,0.000000,1279.145593,1371.137189,2007-03-25
2007.229248,-0.632600,0.124900,-3.913940,0.023309,0.000000,1279.147688,1371.137605,2007-03-26
2007.232056,-0.633000,0.125500,-3.671640,0.023208,0.000000,1279.149817,1371.137889,2007-03-27
2007.234741,-0.634900,0.125400,-3.428490,0.023094,0.000000,1279.151791,1371.138024,2007-03-28
2007.237549,-0.631200,0.125500,-3.175050,0.022977,0.000000,1279.153784,1371.138029,2007-03-29
2007.240234,-0.622900,0.124400,-2.893520,0.022852,0.000000,1279.155617,1371.137908,2007-03-30
2007.243042,-0.617900,0.124300,-2.513780,0.022714,0.000000,1279.157452,1371.137658,2007-03-31
2007.245728,-0.614400,0.123600,-2.155870,0.022575,0.000000,1279.159124,1371.137307,2007-04-01
