utvec,dv,err,temp,SM_EWT,date
2007.015747,0.045200,0.173300,-7.151300,0.597531,2007-01-07
2007.018433,0.050500,0.173700,-7.079250,0.597875,2007-01-08
2007.021240,0.058400,0.172000,-7.055850,0.598200,2007-01-09
2007.023926,0.054400,0.172000,-7.019430,0.598536,2007-01-10
2007.026733,0.048300,0.171100,-6.953190,0.598853,2007-01-11
2007.029419,0.052900,0.171800,-6.863030,0.599165,2007-01-12
2007.032227,0.055300,0.172200,-6.798760,0.599487,2007-01-13
2007.034912,0.047000,0.170800,-6.865290,0.599791,2007-01-14
2007.037598,0.044100,0.170100,-6.993570,0.600104,2007-01-15
2007.040405,0.044000,0.170600,-7.046950,0.600396,2007-01-16
2007.043091,0.045700,0.171300,-6.914910,0.600694,2007-01-17
2007.045898,0.045400,0.170300,-6.738830,0.600971,2007-01-18
2007.048584,0.046100,0.169500,-6.553040,0.601243,2007-01-19
2007.051392,0.050500,0.168900,-6.358880,0.601521,2007-01-20
2007.054077,0.049300,0.168100,-6.270860,0.601782,2007-01-21
2007.056763,0.049600,0.165900,-6.175600,0.602050,2007-01-22
2007.059570,0.040200,0.163200,-6.030160,0.602302,2007-01-23
2007.062256,0.028400,0.161300,-5.846210,0.602561,2007-01-24
2007.065063,0.020300,0.158700,-5.788820,0.602806,2007-01-25
2007.067749,0.015000,0.158800,-5.814780,0.603049,2007-01-26
2007.070557,0.012600,0.157500,-5.912310,0.603300,2007-01-27
2007.073242,0.008200,0.157100,-5.959910,0.603539,2007-01-28
2007.075928,-0.000100,0.156700,-6.076310,0.603788,2007-01-29
2007.078735,-0.004200,0.157300,-6.175010,0.604026,2007-01-30
2007.081421,-0.003800,0.156700,-6.194130,0.604274,2007-01-31
2007.084229,-0.004600,0.156500,-6.317060,0.604512,2007-02-01
2007.086914,-0.006900,0.155100,-6.422650,0.604751,2007-02-02
2007.089722,-0.015700,0.154200,-6.393530,0.605003,2007-02-03
2007.092407,-0.016100,0.153100,-6.430760,0.605246,2007-02-04
2007.095093,-0.022300,0.153000,-6.390240,0.605503,2007-02-05
2007.097900,-0.029900,0.151500,-6.227220,0.605752,2007-02-06
2007.100586,-0.039300,0.150300,-6.075150,0.606017,2007-02-07
2007.103394,-0.049300,0.148800,-5.916120,0.606274,2007-02-08
2007.106079,-0.060300,0.146800,-5.903360,0.606536,2007-02-09
2007.108887,-0.064000,0.145700,-5.859260,0.606815,2007-02-10
2007.111572,-0.070300,0.143600,-5.747940,0.607088,2007-02-11
2007.114258,-0.073600,0.142400,-5.466190,0.607380,2007-02-12
2007.117065,-0.076800,0.142300,-5.108780,0.607666,2007-02-13
2007.119751,-0.081600,0.140100,-4.759960,0.607973,2007-02-14
2007.122559,-0.083200,0.138800,-4.366600,0.608284,2007-02-15
2007.125244,-0.081400,0.138500,-3.969820,0.608623,2007-02-16
2007.128052,-0.088100,0.137500,-3.628050,0.609003,2007-02-17
2007.130737,-0.089800,0.136600,-3.297450,0.609390,2007-02-18
2007.133423,-0.090000,0.136700,-2.969530,0.609816,2007-02-19
2007.136230,-0.091600,0.135000,-2.770390,0.610241,2007-02-20
2007.138916,-0.094900,0.132800,-2.565550,0.610701,2007-02-21
2007.141724,-0.096600,0.132000,-2.322730,0.611154,2007-02-22
2007.144409,-0.099700,0.130400,-2.051290,0.611616,2007-02-23
2007.147217,-0.108000,0.129700,-1.797020,0.612106,2007-02-24
2007.149902,-0.111400,0.128400,-1.569710,0.612580,2007-02-25
2007.152588,-0.113000,0.128000,-1.400590,0.613076,2007-02-26
2007.155396,-0.116800,0.127600,-1.318110,0.613550,2007-02-27
2007.158081,-0.123800,0.127200,-1.185150,0.614042,2007-02-28
2007.160889,-0.127100,0.126500,-1.049780,0.614506,2007-03-01
2007.163574,-0.131900,0.125500,-0.848665,0.614962,2007-03-02
2007.166382,-0.138700,0.125000,-0.660142,0.615426,2007-03-03
2007.169067,-0.142100,0.125000,-0.509971,0.615855,2007-03-04
2007.171753,-0.143700,0.124700,-0.261034,0.616286,2007-03-05
2007.174561,-0.148400,0.123700,0.035368,0.616679,2007-03-06
2007.177246,-0.151200,0.122700,0.256556,0.617066,2007-03-07
2007.180054,-0.157300,0.121400,0.436808,0.617412,2007-03-08
2007.182739,-0.158800,0.121100,0.552073,0.617730,2007-03-09
2007.185547,-0.160400,0.120400,0.592793,0.618032,2007-03-10
2007.188232,-0.168500,0.120400,0.624222,0.618287,2007-03-11
2007.190918,-0.181500,0.121400,0.555036,0.618516,2007-03-12
2007.193726,-0.194400,0.122300,0.494190,0.618698,2007-03-13
2007.196411,-0.212600,0.121200,0.455799,0.618844,2007-03-14
2007.199219,-0.234200,0.120300,0.454383,0.618941,2007-03-15
2007.201904,-0.232600,0.120100,0.552122,0.618992,2007-03-16
2007.204712,-0.227800,0.120400,0.694858,0.618999,2007-03-17
2007.207397,-0.231100,0.120600,0.850618,0.618989,2007-03-18
2007.210083,-0.236600,0.121500,0.967284,0.618968,2007-03-19
2007.212891,-0.249800,0.121800,1.014780,0.618939,2007-03-20
2007.215576,-0.263600,0.122600,1.037550,0.618898,2007-03-21
2007.218384,-0.275400,0.123200,1.063400,0.618851,2007-03-22
2007.221069,-0.287000,0.124300,1.184530,0.618795,2007-03-23
2007.223877,-0.295700,0.125300,1.276020,0.618729,2007-03-24
2007.226562,-0.295700,0.125600,1.327380,0.618658,2007-03-25
2007.229248,-0.292600,0.126400,1.362660,0.618576,2007-03-26
2007.232056,-0.292800,0.127400,1.531480,0.618491,2007-03-27
2007.234741,-0.297800,0.127500,1.735490,0.618396,2007-03-28
2007.237549,-0.304700,0.128900,1.957550,0.618299,2007-03-29
2007.240234,-0.306200,0.129800,2.214500,0.618197,2007-03-30
2007.243042,-0.299900,0.130200,2.632130,0.618085,2007-03-31
2007.245728,-0.301600,0.130800,3.051960,0.617974,2007-04-01
2007.248413,-0.314700,0.131000,3.435380,0.617853,2007-04-02
2007.251221,-0.318600,0.130900,3.895320,0.617733,2007-04-03
2007.253906,-0.323500,0.132000,4.159510,0.617605,2007-04-04
2007.256714,-0.313300,0.132300,4.259520,0.617479,2007-04-05
2007.259399,-0.315500,0.133600,4.314990,0.617351,2007-04-06
2007.262207,-0.320600,0.133400,4.439760,0.617215,2007-04-07
2007.264893,-0.323091,0.133358,4.575860,0.617083,2007-04-08
2007.267578,-0.324200,0.133600,4.757820,0.616944,2007-04-09
2007.270386,-0.319300,0.134000,4.925610,0.616810,2007-04-10
2007.273071,-0.315000,0.135300,5.122230,0.616670,2007-04-11
2007.275879,-0.316900,0.135700,5.350610,0.616535,2007-04-12
2007.278564,-0.315100,0.136900,5.509860,0.616402,2007-04-13
2007.281372,-0.317300,0.137500,5.613630,0.616263,2007-04-14
2007.284058,-0.322700,0.138600,5.691530,0.616131,2007-04-15
2007.286743,-0.323200,0.140400,5.828740,0.615995,2007-04-16
2007.289551,-0.328600,0.141400,5.958560,0.615864,2007-04-17
2007.292236,-0.335600,0.142800,6.075990,0.615719,2007-04-18
2007.295044,-0.342800,0.144800,6.211680,0.615576,2007-04-19
2007.297729,-0.344200,0.146400,6.345560,0.615427,2007-04-20
2007.300537,-0.342500,0.146400,6.476830,0.615266,2007-04-21
2007.303223,-0.343600,0.146700,6.512690,0.615107,2007-04-22
2007.305908,-0.342100,0.147000,6.494560,0.614936,2007-04-23
2007.308716,-0.338600,0.145500,6.512150,0.614767,2007-04-24
2007.311401,-0.340800,0.145200,6.552860,0.614586,2007-04-25
2007.314209,-0.340800,0.144800,6.622150,0.614408,2007-04-26
2007.316895,-0.343700,0.144400,6.705110,0.614226,2007-04-27
2007.319702,-0.338400,0.143400,6.883870,0.614031,2007-04-28
2007.322388,-0.339900,0.142500,7.039630,0.613841,2007-04-29
2007.325073,-0.336500,0.143100,7.190820,0.613639,2007-04-30
2007.327881,-0.340100,0.144000,7.364960,0.613441,2007-05-01
2007.330566,-0.349200,0.144200,7.499520,0.613231,2007-05-02
2007.333374,-0.351600,0.144400,7.624000,0.613027,2007-05-03
2007.336060,-0.350200,0.145500,7.879970,0.612820,2007-05-04
2007.338867,-0.347100,0.146100,8.102680,0.612600,2007-05-05
2007.341553,-0.343800,0.147900,8.261820,0.612388,2007-05-06
2007.344238,-0.348000,0.150600,8.399600,0.612162,2007-05-07
2007.347046,-0.344600,0.152100,8.337370,0.611944,2007-05-08
2007.349731,-0.339500,0.152100,8.273640,0.611714,2007-05-09
2007.352539,-0.337400,0.154200,8.325580,0.611492,2007-05-10
2007.355225,-0.341600,0.153200,8.482790,0.611268,2007-05-11
2007.358032,-0.335800,0.152000,8.760520,0.611032,2007-05-12
2007.360718,-0.334100,0.151100,9.017920,0.610805,2007-05-13
2007.363403,-0.331000,0.152300,9.223890,0.610565,2007-05-14
2007.366211,-0.322500,0.153900,9.428600,0.610335,2007-05-15
2007.368896,-0.321700,0.154100,9.629720,0.610093,2007-05-16
2007.371704,-0.326700,0.154700,9.834580,0.609862,2007-05-17
2007.374390,-0.332800,0.154600,10.069500,0.609635,2007-05-18
2007.377197,-0.330500,0.153700,10.130600,0.609400,2007-05-19
2007.379883,-0.343000,0.152700,10.258200,0.609177,2007-05-20
2007.382568,-0.344400,0.153500,10.530000,0.608947,2007-05-21
2007.385376,-0.349100,0.152600,10.809300,0.608727,2007-05-22
2007.388062,-0.350300,0.151200,11.073400,0.608496,2007-05-23
2007.390869,-0.343500,0.151200,11.345800,0.608275,2007-05-24
2007.393555,-0.340700,0.151500,11.574100,0.608053,2007-05-25
2007.396362,-0.341800,0.150900,11.767600,0.607817,2007-05-26
2007.399048,-0.339700,0.150700,11.891500,0.607588,2007-05-27
2007.401733,-0.345300,0.149500,12.039700,0.607345,2007-05-28
2007.404541,-0.338200,0.148900,12.194000,0.607107,2007-05-29
2007.407227,-0.337100,0.147900,12.315000,0.606852,2007-05-30
2007.410034,-0.327101,0.147541,12.407000,0.606602,2007-05-31
2007.412720,-0.312400,0.148300,12.480800,0.606344,2007-06-01
2007.415527,-0.299300,0.149400,12.546100,0.606067,2007-06-02
2007.418213,-0.295400,0.148800,12.655400,0.605792,2007-06-03
2007.420898,-0.289900,0.150200,12.910200,0.605494,2007-06-04
2007.423706,-0.303600,0.151000,13.211500,0.605198,2007-06-05
2007.426392,-0.300700,0.151500,13.558400,0.604877,2007-06-06
2007.429199,-0.299300,0.151900,13.830900,0.604558,2007-06-07
2007.431885,-0.302900,0.153100,14.036200,0.604226,2007-06-08
2007.434692,-0.296100,0.153800,14.165800,0.603864,2007-06-09
2007.437378,-0.299800,0.154900,14.302200,0.603503,2007-06-10
2007.440063,-0.299400,0.155100,14.424300,0.603109,2007-06-11
2007.442871,-0.299300,0.156400,14.500700,0.602716,2007-06-12
2007.445557,-0.307400,0.155800,14.573500,0.602287,2007-06-13
2007.448364,-0.303300,0.156300,14.700500,0.601859,2007-06-14
2007.451050,-0.299790,0.156611,14.912700,0.601412,2007-06-15
2007.453857,-0.296050,0.156293,15.105100,0.600924,2007-06-16
2007.456543,-0.292891,0.155598,15.263100,0.600384,2007-06-17
2007.459229,-0.290619,0.154739,15.333300,0.599717,2007-06-18
2007.462036,-0.289700,0.153900,15.433500,0.598985,2007-06-19
2007.464722,-0.291200,0.153500,15.526500,0.598127,2007-06-20
2007.467529,-0.288200,0.154200,15.602800,0.597222,2007-06-21
2007.470215,-0.281300,0.155600,15.873900,0.596241,2007-06-22
2007.473022,-0.282800,0.156700,16.201400,0.595138,2007-06-23
2007.475708,-0.286100,0.158400,16.498300,0.594014,2007-06-24
2007.478394,-0.280800,0.159500,16.711900,0.592772,2007-06-25
2007.481201,-0.277400,0.161500,16.853900,0.591526,2007-06-26
