utvec,dv,err,temp,SM_EWT,date
2007.952026,0.029100,0.071900,-4.435880,0.382441,2007-12-15
2007.954834,0.062300,0.075000,-4.502430,0.383623,2007-12-16
2007.957520,0.108400,0.077300,-4.741830,0.384853,2007-12-17
2007.960327,0.145200,0.080000,-5.112790,0.386029,2007-12-18
2007.963013,0.177500,0.081900,-5.461770,0.387205,2007-12-19
2007.965820,0.211500,0.084000,-5.767300,0.388434,2007-12-20
2007.968506,0.243000,0.087000,-6.004540,0.389609,2007-12-21
2007.971191,0.256100,0.088300,-6.016280,0.390837,2007-12-22
2007.973999,0.281600,0.092100,-6.075670,0.392011,2007-12-23
2007.976685,0.305881,0.096097,-6.168540,0.393237,2007-12-24
2007.979492,0.331726,0.099758,-6.251800,0.394410,2007-12-25
2007.982178,0.356605,0.102816,-6.319390,0.395581,2007-12-26
2007.984985,0.382441,0.105600,-6.411960,0.396804,2007-12-27
2007.987671,0.406705,0.107919,-6.440890,0.397973,2007-12-28
2007.990356,0.430217,0.109947,-6.439270,0.399194,2007-12-29
2007.993164,0.453697,0.111811,-6.427240,0.400361,2007-12-30
2007.995850,0.474795,0.113396,-6.543500,0.401578,2007-12-31
2007.998657,0.495100,0.114900,-6.702850,0.402742,2008-01-01
2008.001343,0.514534,0.116231,-6.777440,0.403903,2008-01-02
2008.004150,0.536078,0.117503,-6.822250,0.405115,2008-01-03
2008.006836,0.556710,0.118592,-6.985000,0.406273,2008-01-04
2008.009521,0.576212,0.119538,-7.138950,0.407481,2008-01-05
2008.012329,0.594188,0.120359,-7.330990,0.408634,2008-01-06
2008.015015,0.607905,0.120966,-7.523210,0.409837,2008-01-07
2008.017822,0.617369,0.121397,-7.657700,0.410986,2008-01-08
2008.020508,0.620600,0.121600,-7.663970,0.412132,2008-01-09
2008.023315,0.617000,0.122100,-7.631670,0.413327,2008-01-10
2008.026001,0.615100,0.123900,-7.527570,0.414468,2008-01-11
2008.028687,0.607100,0.124100,-7.356370,0.415657,2008-01-12
2008.031494,0.596100,0.123100,-7.225390,0.416792,2008-01-13
2008.034180,0.586600,0.123000,-7.114280,0.417975,2008-01-14
2008.036987,0.572400,0.122900,-6.969100,0.419103,2008-01-15
2008.039673,0.573900,0.125400,-6.936340,0.420213,2008-01-16
2008.042480,0.593300,0.129600,-6.983470,0.421346,2008-01-17
2008.045166,0.622300,0.134000,-7.039920,0.422405,2008-01-18
2008.047852,0.668800,0.142000,-7.093720,0.423489,2008-01-19
2008.050659,0.711600,0.148800,-7.141670,0.424508,2008-01-20
2008.053345,0.704961,0.150132,-7.105380,0.425556,2008-01-21
2008.056152,0.692400,0.148200,-6.945600,0.426546,2008-01-22
2008.058838,0.681580,0.145883,-6.786220,0.427525,2008-01-23
2008.061646,0.669757,0.143549,-6.721540,0.428541,2008-01-24
2008.064331,0.657962,0.141386,-6.686840,0.429507,2008-01-25
2008.067017,0.645681,0.139272,-6.491220,0.430515,2008-01-26
2008.069824,0.632331,0.137099,-6.316150,0.431480,2008-01-27
2008.072510,0.619063,0.135037,-6.113050,0.432492,2008-01-28
2008.075317,0.604680,0.132882,-5.888090,0.433467,2008-01-29
2008.078003,0.590420,0.130803,-5.735220,0.434449,2008-01-30
2008.080811,0.574993,0.128594,-5.576770,0.435489,2008-01-31
2008.083496,0.559744,0.126431,-5.337440,0.436498,2008-02-01
2008.086182,0.544000,0.124200,-5.269360,0.437570,2008-02-02
2008.088989,0.525100,0.122100,-5.318710,0.438615,2008-02-03
2008.091675,0.526400,0.121100,-5.412400,0.439732,2008-02-04
2008.094482,0.519800,0.119900,-5.548980,0.440826,2008-02-05
2008.097168,0.521200,0.118500,-5.592510,0.441947,2008-02-06
2008.099976,0.509700,0.116700,-5.512870,0.443151,2008-02-07
2008.102661,0.505800,0.115700,-5.377180,0.444336,2008-02-08
2008.105347,0.507200,0.112900,-5.276990,0.445614,2008-02-09
