utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2017.666016,0.472100,0.226100,8.408480,0.018055,0.000000,1278.082902,1370.045793,2017-09-01
2017.668701,0.466600,0.226200,8.218080,0.017556,0.000000,1278.076618,1370.040955,2017-09-02
2017.671509,0.464500,0.226500,7.960180,0.017027,0.000000,1278.070130,1370.035844,2017-09-03
2017.674194,0.466300,0.227100,7.772380,0.016515,0.000000,1278.064020,1370.030898,2017-09-04
2017.676880,0.467100,0.227700,7.666580,0.015975,0.000000,1278.058012,1370.025883,2017-09-05
2017.679688,0.462800,0.229100,7.558880,0.015458,0.000000,1278.051855,1370.020559,2017-09-06
2017.682373,0.456300,0.230000,7.402180,0.014918,0.000000,1278.046100,1370.015382,2017-09-07
2017.685181,0.456800,0.229400,7.269480,0.014405,0.000000,1278.040231,1370.009868,2017-09-08
2017.687866,0.449100,0.229700,7.083580,0.013896,0.000000,1278.034777,1370.004491,2017-09-09
2017.690674,0.444300,0.229200,6.789480,0.013373,0.000000,1278.029250,1369.998748,2017-09-10
2017.693359,0.445700,0.227400,6.559580,0.012882,0.000000,1278.024148,1369.993132,2017-09-11
2017.696045,0.441100,0.226200,6.397280,0.012381,0.000000,1278.019235,1369.987385,2017-09-12
2017.698853,0.433800,0.225400,6.267880,0.011916,0.000000,1278.014316,1369.981229,2017-09-13
2017.701538,0.434000,0.225600,6.122380,0.011447,0.000000,1278.009833,1369.975191,2017-09-14
2017.704346,0.424700,0.226300,5.881080,0.011013,0.000000,1278.005388,1369.968708,2017-09-15
2017.707031,0.418900,0.226600,5.708980,0.010569,0.000000,1278.001384,1369.962341,2017-09-16
2017.709839,0.414200,0.227900,5.572780,0.010092,0.000000,1277.997465,1369.955496,2017-09-17
2017.712524,0.411700,0.228100,5.445880,0.009622,0.000000,1277.993977,1369.948785,2017-09-18
2017.715210,0.414300,0.225700,5.294680,0.009120,0.000000,1277.990732,1369.941934,2017-09-19
2017.718018,0.417900,0.224000,5.156180,0.008630,0.000000,1277.987593,1369.934650,2017-09-20
2017.720703,0.416700,0.223000,4.956180,0.008108,0.000000,1277.984827,1369.927593,2017-09-21
2017.723511,0.408300,0.224200,4.728580,0.007601,0.000000,1277.982172,1369.920143,2017-09-22
2017.726196,0.411100,0.223000,4.571880,0.007087,0.000000,1277.979854,1369.912976,2017-09-23
2017.729004,0.410000,0.222500,4.442580,0.006545,0.000000,1277.977651,1369.905464,2017-09-24
2017.731689,0.404600,0.222100,4.316880,0.006022,0.000000,1277.975749,1369.898287,2017-09-25
2017.734375,0.413600,0.219100,4.163180,0.005472,0.000000,1277.974039,1369.891140,2017-09-26
2017.737183,0.415600,0.216800,3.960380,0.004944,0.000000,1277.972450,1369.883727,2017-09-27
2017.739868,0.420300,0.214500,3.732680,0.004390,0.000000,1277.971112,1369.876719,2017-09-28
2017.742676,0.412800,0.215700,3.531380,0.003862,0.000000,1277.969895,1369.869502,2017-09-29
2017.745361,0.408000,0.214300,3.317380,0.003334,0.000000,1277.968898,1369.862731,2017-09-30
2017.748169,0.397400,0.214000,3.115880,0.002785,0.000000,1277.968021,1369.855814,2017-10-01
2017.750854,0.397900,0.213200,2.928080,0.002264,0.000000,1277.967334,1369.849380,2017-10-02
2017.753540,0.401100,0.211000,2.715080,0.001724,0.000000,1277.966787,1369.843143,2017-10-03
2017.756348,0.398700,0.210300,2.487280,0.001213,0.000000,1277.966357,1369.836864,2017-10-04
2017.759033,0.393700,0.210800,2.265080,0.000687,0.000000,1277.966075,1369.831114,2017-10-05
2017.761841,0.388600,0.211800,2.031680,0.000191,0.000000,1277.965906,1369.825393,2017-10-06
2017.764526,0.381600,0.211400,1.784080,-0.000295,0.000000,1277.965857,1369.820226,2017-10-07
2017.767334,0.371100,0.210800,1.556180,-0.000793,0.000000,1277.965917,1369.815166,2017-10-08
2017.770020,0.374800,0.209200,1.297880,-0.001257,0.000000,1277.966072,1369.810680,2017-10-09
2017.772705,0.379000,0.207600,1.118380,-0.001729,0.000000,1277.966315,1369.806565,2017-10-10
2017.775513,0.379700,0.205700,1.005680,-0.002167,0.000000,1277.966656,1369.802683,2017-10-11
2017.778198,0.372700,0.205500,0.850780,-0.002609,0.000000,1277.967057,1369.799398,2017-10-12
2017.781006,0.368700,0.204900,0.629480,-0.003015,0.000000,1277.967547,1369.796435,2017-10-13
2017.783691,0.357700,0.204300,0.388980,-0.003405,0.000000,1277.968075,1369.794079,2017-10-14
2017.786499,0.357800,0.204100,0.219880,-0.003793,0.000000,1277.968682,1369.792140,2017-10-15
2017.789185,0.361700,0.204300,0.124980,-0.004152,0.000000,1277.969306,1369.790813,2017-10-16
2017.791870,0.363900,0.204000,0.002980,-0.004522,0.000000,1277.969967,1369.790024,2017-10-17
2017.794678,0.367500,0.203300,-0.078120,-0.004871,0.000000,1277.970690,1369.789793,2017-10-18
2017.797363,0.364000,0.203900,-0.277220,-0.005229,0.000000,1277.971409,1369.790119,2017-10-19
2017.800171,0.362000,0.203900,-0.540420,-0.005567,0.000000,1277.972190,1369.791000,2017-10-20
2017.802856,0.357600,0.204600,-0.765320,-0.005899,0.000000,1277.972962,1369.792328,2017-10-21
2017.805664,0.353100,0.204000,-0.951020,-0.006241,0.000000,1277.973797,1369.794192,2017-10-22
2017.808350,0.349300,0.203600,-1.023520,-0.006563,0.000000,1277.974619,1369.796400,2017-10-23
2017.811035,0.351200,0.203900,-0.980120,-0.006895,0.000000,1277.975464,1369.798992,2017-10-24
2017.813843,0.349500,0.204400,-0.889020,-0.007207,0.000000,1277.976371,1369.802084,2017-10-25
2017.816528,0.350900,0.205700,-0.798920,-0.007528,0.000000,1277.977260,1369.805372,2017-10-26
2017.819336,0.349400,0.207200,-0.744920,-0.007831,0.000000,1277.978210,1369.809128,2017-10-27
2017.822021,0.340300,0.208100,-0.712320,-0.008129,0.000000,1277.979139,1369.812991,2017-10-28
2017.824829,0.336400,0.207300,-0.780920,-0.008436,0.000000,1277.980130,1369.817282,2017-10-29
2017.827515,0.331700,0.208200,-0.932320,-0.008726,0.000000,1277.981095,1369.821598,2017-10-30
2017.830200,0.329700,0.206900,-1.055220,-0.009024,0.000000,1277.982076,1369.826087,2017-10-31
2017.833008,0.330100,0.206400,-1.199020,-0.009304,0.000000,1277.983118,1369.830939,2017-11-01
2017.835693,0.328300,0.208500,-1.274620,-0.009594,0.000000,1277.984130,1369.835697,2017-11-02
2017.838501,0.327200,0.210100,-1.253820,-0.009866,0.000000,1277.985202,1369.840765,2017-11-03
2017.841187,0.326300,0.210400,-1.370820,-0.010135,0.000000,1277.986240,1369.845671,2017-11-04
2017.843994,0.327900,0.211700,-1.649420,-0.010412,0.000000,1277.987338,1369.850825,2017-11-05
2017.846680,0.331600,0.211000,-1.894020,-0.010673,0.000000,1277.988399,1369.855754,2017-11-06
2017.849365,0.335800,0.211400,-2.096320,-0.010943,0.000000,1277.989469,1369.860647,2017-11-07
