utvec,dv,err,temp,SM_EWT,date
2016.576294,1.007000,0.306300,20.590400,0.353148,2016-07-30
2016.579102,1.003000,0.308700,20.558600,0.352489,2016-07-31
2016.581787,1.000000,0.311300,20.572800,0.351880,2016-08-01
2016.584473,1.000000,0.309700,20.660200,0.351268,2016-08-02
2016.587280,1.003800,0.310100,20.721600,0.350708,2016-08-03
2016.589966,1.004000,0.310400,20.731800,0.350153,2016-08-04
2016.592773,0.999600,0.311600,20.707400,0.349654,2016-08-05
2016.595459,1.002400,0.313700,20.644500,0.349190,2016-08-06
2016.598267,0.997500,0.314800,20.580800,0.348743,2016-08-07
2016.600952,0.994200,0.316300,20.513300,0.348357,2016-08-08
2016.603638,0.989200,0.317800,20.445900,0.347999,2016-08-09
2016.606445,0.985800,0.317700,20.387600,0.347702,2016-08-10
2016.609131,0.983100,0.317300,20.349300,0.347444,2016-08-11
2016.611938,0.982600,0.319700,20.375000,0.347250,2016-08-12
2016.614624,0.985700,0.319400,20.361100,0.347109,2016-08-13
2016.617432,0.984400,0.321700,20.302600,0.347022,2016-08-14
2016.620117,0.986200,0.324400,20.177400,0.347000,2016-08-15
2016.622803,0.979100,0.324500,20.000100,0.347007,2016-08-16
2016.625610,0.974900,0.325200,19.824300,0.347025,2016-08-17
2016.628296,0.978100,0.326100,19.665700,0.347054,2016-08-18
2016.631104,0.981100,0.329400,19.615000,0.347092,2016-08-19
2016.633789,1.001500,0.335600,19.567500,0.347140,2016-08-20
2016.636597,1.001200,0.334800,19.534000,0.347200,2016-08-21
2016.639282,1.009500,0.334100,19.455500,0.347267,2016-08-22
2016.641968,1.014500,0.334200,19.301500,0.347346,2016-08-23
2016.644775,1.008100,0.331700,19.081200,0.347431,2016-08-24
2016.647461,1.007400,0.331600,18.817100,0.347529,2016-08-25
2016.650269,0.999700,0.334600,18.574900,0.347631,2016-08-26
2016.652954,1.023200,0.341700,18.366300,0.347741,2016-08-27
2016.655762,1.016700,0.342900,18.190100,0.347865,2016-08-28
2016.658447,1.008500,0.344600,18.022600,0.347991,2016-08-29
2016.661133,0.995800,0.343000,17.876000,0.348131,2016-08-30
2016.663940,0.988100,0.342000,17.706900,0.348272,2016-08-31
2016.666626,0.975200,0.340600,17.561200,0.348427,2016-09-01
2016.669434,0.975800,0.343700,17.426300,0.348581,2016-09-02
2016.672119,0.975400,0.342100,17.253200,0.348743,2016-09-03
2016.674927,0.973800,0.339100,16.968400,0.348918,2016-09-04
2016.677612,0.971900,0.341700,16.743400,0.349093,2016-09-05
2016.680298,0.972200,0.342800,16.520300,0.349281,2016-09-06
2016.683105,0.963000,0.341100,16.312600,0.349466,2016-09-07
2016.685791,0.964700,0.342400,16.098500,0.349666,2016-09-08
2016.688599,0.965200,0.345600,15.915400,0.349863,2016-09-09
2016.691284,0.967600,0.346400,15.754200,0.350064,2016-09-10
2016.694092,0.963400,0.344600,15.628500,0.350280,2016-09-11
2016.696777,0.971100,0.341900,15.504600,0.350491,2016-09-12
2016.699463,0.967100,0.338000,15.378900,0.350716,2016-09-13
2016.702271,0.961100,0.337100,15.258700,0.350935,2016-09-14
2016.704956,0.965900,0.335500,15.142000,0.351202,2016-09-15
2016.707764,0.968000,0.335900,15.042000,0.351576,2016-09-16
2016.710449,0.924300,0.336300,14.965500,0.352063,2016-09-17
2016.713257,0.928400,0.333400,14.765800,0.352681,2016-09-18
2016.715942,0.926100,0.333900,14.549900,0.353369,2016-09-19
2016.718628,0.922300,0.333600,14.314900,0.354180,2016-09-20
2016.721436,0.921600,0.330800,14.081900,0.355035,2016-09-21
2016.724121,0.924300,0.331700,13.879500,0.356000,2016-09-22
2016.726929,0.924300,0.332400,13.728300,0.356984,2016-09-23
2016.729614,0.934700,0.331500,13.643600,0.358018,2016-09-24
2016.732422,0.928400,0.326900,13.543000,0.359143,2016-09-25
2016.735107,0.925900,0.325200,13.441200,0.360253,2016-09-26
2016.737793,0.915900,0.320100,13.362800,0.361438,2016-09-27
2016.740601,0.912200,0.317600,13.266800,0.362588,2016-09-28
2016.743286,0.913300,0.316700,13.151900,0.363796,2016-09-29
2016.746094,0.915600,0.315000,13.033100,0.364948,2016-09-30
2016.748779,0.913900,0.313400,12.910100,0.366089,2016-10-01
2016.751587,0.906000,0.309200,12.736000,0.367260,2016-10-02
2016.754272,0.899600,0.303100,12.531100,0.368351,2016-10-03
2016.756958,0.891500,0.299700,12.329700,0.369450,2016-10-04
2016.759766,0.845400,0.294100,12.180800,0.370453,2016-10-05
2016.762451,0.839500,0.291300,12.056900,0.371443,2016-10-06
2016.765259,0.838700,0.291400,11.934800,0.372323,2016-10-07
2016.767944,0.841100,0.292000,11.797200,0.373130,2016-10-08
2016.770752,0.840600,0.289000,11.675200,0.373886,2016-10-09
2016.773438,0.830000,0.283700,11.544000,0.374516,2016-10-10
2016.776123,0.818600,0.281000,11.421100,0.375068,2016-10-11
2016.778931,0.806000,0.275600,11.299800,0.375485,2016-10-12
2016.781616,0.805200,0.273200,11.150500,0.375795,2016-10-13
2016.784424,0.807500,0.272400,10.992600,0.375963,2016-10-14
2016.787109,0.801500,0.272300,10.893500,0.375999,2016-10-15
2016.789917,0.797400,0.266800,10.835000,0.375974,2016-10-16
2016.792603,0.791500,0.260400,10.781200,0.375921,2016-10-17
2016.795288,0.780600,0.255800,10.669200,0.375837,2016-10-18
2016.798096,0.769300,0.249800,10.398100,0.375732,2016-10-19
2016.800781,0.758200,0.246100,10.092200,0.375598,2016-10-20
2016.803589,0.754700,0.246200,9.791050,0.375449,2016-10-21
2016.806274,0.743500,0.243800,9.595490,0.375282,2016-10-22
2016.809082,0.727700,0.239700,9.441940,0.375090,2016-10-23
2016.811768,0.724800,0.239600,9.327480,0.374891,2016-10-24
2016.814453,0.720900,0.238600,9.195000,0.374671,2016-10-25
2016.817261,0.720300,0.238200,9.019880,0.374450,2016-10-26
2016.819946,0.724000,0.239800,8.820420,0.374210,2016-10-27
2016.822754,0.725400,0.244400,8.609860,0.373975,2016-10-28
2016.825439,0.722300,0.249700,8.349260,0.373735,2016-10-29
2016.828247,0.721500,0.250200,8.047460,0.373483,2016-10-30
2016.830933,0.718700,0.250700,7.754020,0.373241,2016-10-31
2016.833618,0.711200,0.250100,7.427980,0.372992,2016-11-01
2016.836426,0.693500,0.248800,7.143920,0.372757,2016-11-02
2016.839111,0.678600,0.250000,6.831530,0.372518,2016-11-03
2016.841919,0.672600,0.251200,6.665780,0.372298,2016-11-04
2016.844604,0.662800,0.249700,6.520970,0.372089,2016-11-05
2016.847412,0.640700,0.247000,6.326610,0.371883,2016-11-06
2016.850098,0.625900,0.245200,6.113280,0.371701,2016-11-07
2016.852783,0.609100,0.244000,5.837510,0.371529,2016-11-08
2016.855591,0.587100,0.239700,5.533780,0.371383,2016-11-09
2016.858276,0.576300,0.236900,5.291290,0.371252,2016-11-10
2016.861084,0.569200,0.238700,5.067760,0.371150,2016-11-11
2016.863770,0.544300,0.238800,4.880140,0.371073,2016-11-12
2016.866577,0.531400,0.240100,4.685390,0.371021,2016-11-13
2016.869263,0.512200,0.239500,4.460300,0.371000,2016-11-14
2016.871948,0.496800,0.237900,4.246000,0.371007,2016-11-15
2016.874756,0.480200,0.235400,4.040930,0.371032,2016-11-16
2016.877441,0.469500,0.235600,3.792730,0.371077,2016-11-17
2016.880249,0.444700,0.237000,3.495960,0.371138,2016-11-18
2016.882935,0.420800,0.235400,3.214660,0.371214,2016-11-19
2016.885742,0.405400,0.234100,2.996930,0.371311,2016-11-20
2016.888428,0.390700,0.232500,2.836460,0.371420,2016-11-21
2016.891113,0.370500,0.229800,2.648080,0.371548,2016-11-22
2016.893921,0.349700,0.227600,2.435290,0.371686,2016-11-23
2016.896606,0.341000,0.227700,2.176640,0.371843,2016-11-24
2016.899414,0.327700,0.232500,1.967590,0.372007,2016-11-25
2016.902100,0.313300,0.234700,1.686190,0.372183,2016-11-26
2016.904907,0.293500,0.236300,1.363000,0.372379,2016-11-27
2016.907593,0.279300,0.236200,1.048840,0.372577,2016-11-28
2016.910278,0.261800,0.234100,0.792391,0.372796,2016-11-29
2016.913086,0.242700,0.229400,0.551768,0.373015,2016-11-30
2016.915771,0.223300,0.226700,0.288565,0.373253,2016-12-01
2016.918579,0.214200,0.229300,0.073685,0.373489,2016-12-02
2016.921265,0.193000,0.230600,-0.143849,0.373733,2016-12-03
2016.924072,0.166100,0.229700,-0.302716,0.373996,2016-12-04
2016.926758,0.145700,0.229700,-0.480514,0.374254,2016-12-05
2016.929443,0.135400,0.225800,-0.666308,0.374531,2016-12-06
2016.932251,0.124400,0.223000,-0.973136,0.374800,2016-12-07
2016.934937,0.116700,0.220700,-1.320950,0.375087,2016-12-08
2016.937744,0.106000,0.221100,-1.695060,0.375365,2016-12-09
2016.940430,0.098600,0.222200,-1.937340,0.375647,2016-12-10
2016.943237,0.084500,0.223000,-2.140090,0.375945,2016-12-11
2016.945923,0.073400,0.223200,-2.325790,0.376232,2016-12-12
2016.948608,0.059100,0.220800,-2.488020,0.376534,2016-12-13
2016.951416,0.043600,0.215900,-2.645580,0.376823,2016-12-14
2016.954102,0.036800,0.213000,-2.804960,0.377130,2016-12-15
