utvec,dv,err,temp,SM_EWT,date
2007.013062,-0.334800,0.183200,-4.366000,0.368295,2007-01-06
2007.015747,-0.332900,0.182200,-4.295530,0.368964,2007-01-07
2007.018433,-0.335600,0.182600,-4.208900,0.369659,2007-01-08
2007.021240,-0.346100,0.184000,-4.158110,0.370319,2007-01-09
2007.023926,-0.356800,0.185600,-4.119810,0.371003,2007-01-10
2007.026733,-0.361200,0.183100,-4.043230,0.371650,2007-01-11
2007.029419,-0.358600,0.179200,-3.903890,0.372290,2007-01-12
2007.032227,-0.358500,0.177400,-3.848090,0.372950,2007-01-13
2007.034912,-0.356500,0.176500,-3.884660,0.373573,2007-01-14
2007.037598,-0.362400,0.178400,-4.002890,0.374213,2007-01-15
2007.040405,-0.367200,0.180100,-4.082790,0.374815,2007-01-16
2007.043091,-0.373200,0.181800,-4.010910,0.375435,2007-01-17
2007.045898,-0.376800,0.180700,-3.875020,0.376020,2007-01-18
2007.048584,-0.383600,0.179200,-3.725630,0.376598,2007-01-19
2007.051392,-0.387300,0.175700,-3.521660,0.377195,2007-01-20
2007.054077,-0.387700,0.174000,-3.451550,0.377760,2007-01-21
2007.056763,-0.381300,0.172900,-3.389940,0.378345,2007-01-22
2007.059570,-0.391600,0.174500,-3.229280,0.378900,2007-01-23
2007.062256,-0.398500,0.174000,-3.053510,0.379477,2007-01-24
2007.065063,-0.398300,0.173700,-3.045240,0.380027,2007-01-25
2007.067749,-0.393400,0.173100,-3.136000,0.380574,2007-01-26
2007.070557,-0.391500,0.170000,-3.261250,0.381145,2007-01-27
2007.073242,-0.396300,0.166000,-3.305830,0.381692,2007-01-28
2007.075928,-0.389600,0.164300,-3.327380,0.382263,2007-01-29
2007.078735,-0.393400,0.166200,-3.367480,0.382811,2007-01-30
2007.081421,-0.403300,0.167700,-3.409370,0.383387,2007-01-31
2007.084229,-0.403600,0.166200,-3.523170,0.383940,2007-02-01
2007.086914,-0.395900,0.163400,-3.572270,0.384497,2007-02-02
2007.089722,-0.396900,0.163200,-3.549880,0.385084,2007-02-03
2007.092407,-0.395300,0.164100,-3.507060,0.385651,2007-02-04
2007.095093,-0.401300,0.164500,-3.409090,0.386251,2007-02-05
2007.097900,-0.403000,0.166300,-3.141370,0.386831,2007-02-06
2007.100586,-0.409600,0.167700,-2.930080,0.387447,2007-02-07
2007.103394,-0.411400,0.166500,-2.713450,0.388044,2007-02-08
2007.106079,-0.416600,0.164100,-2.658320,0.388650,2007-02-09
2007.108887,-0.409800,0.164400,-2.609500,0.389295,2007-02-10
2007.111572,-0.412700,0.162200,-2.516110,0.389923,2007-02-11
2007.114258,-0.414100,0.164800,-2.244380,0.390591,2007-02-12
2007.117065,-0.421400,0.167200,-1.886540,0.391244,2007-02-13
2007.119751,-0.419700,0.170600,-1.539500,0.391940,2007-02-14
2007.122559,-0.423300,0.170100,-1.122050,0.392638,2007-02-15
2007.125244,-0.418500,0.167700,-0.677074,0.393389,2007-02-16
2007.128052,-0.416700,0.165600,-0.326026,0.394226,2007-02-17
2007.130737,-0.410000,0.164400,0.005377,0.395072,2007-02-18
2007.133423,-0.411100,0.165700,0.295544,0.395997,2007-02-19
2007.136230,-0.416400,0.169700,0.474086,0.396917,2007-02-20
2007.138916,-0.421100,0.172000,0.693597,0.397909,2007-02-21
2007.141724,-0.423300,0.168200,0.938736,0.398884,2007-02-22
2007.144409,-0.423400,0.165400,1.203810,0.399877,2007-02-23
2007.147217,-0.428700,0.164800,1.445460,0.400932,2007-02-24
2007.149902,-0.429500,0.164800,1.634310,0.401950,2007-02-25
2007.152588,-0.433200,0.166600,1.690830,0.403020,2007-02-26
2007.155396,-0.430200,0.168600,1.702320,0.404043,2007-02-27
2007.158081,-0.437200,0.172500,1.738750,0.405108,2007-02-28
2007.160889,-0.442200,0.170900,1.770900,0.406116,2007-03-01
2007.163574,-0.444200,0.168500,1.900360,0.407110,2007-03-02
