utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2011.253906,0.042500,0.526100,-4.944201,0.134657,0.072013,1278.596834,1371.088705,2011-04-04
2011.256714,0.136900,0.444700,-4.803031,0.137041,0.065664,1278.602513,1371.088535,2011-04-05
2011.259399,0.140100,0.408400,-4.670980,0.139346,0.059501,1278.607907,1371.088342,2011-04-06
2011.262207,0.161100,0.384200,-4.482493,0.141657,0.053311,1278.613509,1371.088126,2011-04-07
2011.264893,0.166000,0.375800,-4.235976,0.143761,0.047685,1278.618828,1371.087925,2011-04-08
2011.267578,0.178900,0.371900,-4.014779,0.145832,0.042166,1278.624104,1371.087745,2011-04-09
2011.270386,0.081000,0.332700,-3.995413,0.147678,0.037286,1278.629578,1371.087599,2011-04-10
2011.273071,0.027400,0.297500,-4.036508,0.149451,0.032658,1278.634768,1371.087517,2011-04-11
2011.275879,-0.025100,0.273300,-4.092293,0.150983,0.028736,1278.640148,1371.087510,2011-04-12
2011.278564,-0.051600,0.255200,-4.058190,0.152343,0.025358,1278.645244,1371.087597,2011-04-13
2011.281372,0.009900,0.248000,-3.938144,0.153564,0.022464,1278.650524,1371.087804,2011-04-14
2011.284058,-0.042000,0.235800,-3.836450,0.154528,0.020357,1278.655523,1371.088131,2011-04-15
2011.286743,-0.026600,0.234800,-3.778634,0.155307,0.018898,1278.660469,1371.088601,2011-04-16
2011.289551,-0.031100,0.233100,-3.801755,0.155952,0.017830,1278.665586,1371.089264,2011-04-17
2011.292236,-0.021400,0.231500,-3.701475,0.156615,0.016738,1278.670423,1371.090079,2011-04-18
2011.295044,0.126400,0.197500,-3.670648,0.157238,0.015716,1278.675426,1371.091139,2011-04-19
2011.297729,0.189700,0.179200,-3.662451,0.157850,0.014717,1278.680169,1371.092359,2011-04-20
2011.300537,0.254200,0.171200,-3.608660,0.158476,0.013700,1278.685102,1371.093861,2011-04-21
2011.303223,0.260000,0.162800,-3.462033,0.159063,0.012753,1278.689808,1371.095521,2011-04-22
2011.305908,0.256800,0.162200,-3.245286,0.159661,0.011791,1278.694514,1371.097409,2011-04-23
2011.308716,0.268700,0.158900,-3.075762,0.160218,0.010899,1278.699453,1371.099635,2011-04-24
2011.311401,0.296200,0.155400,-2.975572,0.160784,0.009997,1278.704206,1371.102013,2011-04-25
2011.314209,0.299300,0.155200,-2.771672,0.161309,0.009163,1278.709224,1371.104769,2011-04-26
