utvec,dv,err,temp,SM_EWT,date
2007.913696,0.259300,0.141700,1.346000,0.330288,2007-12-01
2007.916504,0.257900,0.139600,1.081880,0.331685,2007-12-02
2007.919189,0.253400,0.138200,0.817636,0.333166,2007-12-03
2007.921997,0.252200,0.138700,0.659428,0.334598,2007-12-04
2007.924683,0.249300,0.138700,0.557183,0.336040,2007-12-05
2007.927490,0.245700,0.138200,0.501942,0.337555,2007-12-06
2007.930176,0.239000,0.137100,0.362364,0.339007,2007-12-07
2007.932861,0.239000,0.136800,0.153506,0.340521,2007-12-08
2007.935669,0.232300,0.136400,-0.099749,0.341962,2007-12-09
2007.938354,0.232600,0.136000,-0.328342,0.343457,2007-12-10
2007.941162,0.224900,0.136600,-0.584478,0.344871,2007-12-11
2007.943848,0.226600,0.136300,-0.843192,0.346265,2007-12-12
2007.946655,0.218400,0.135700,-0.956024,0.347696,2007-12-13
2007.949341,0.214500,0.134000,-1.043500,0.349035,2007-12-14
2007.952026,0.211100,0.132900,-1.218180,0.350400,2007-12-15
2007.954834,0.209200,0.132300,-1.302100,0.351675,2007-12-16
2007.957520,0.204200,0.132300,-1.485380,0.353028,2007-12-17
2007.960327,0.200800,0.132900,-1.818710,0.354345,2007-12-18
2007.963013,0.205200,0.134200,-2.174960,0.355682,2007-12-19
2007.965820,0.200100,0.134300,-2.471330,0.357100,2007-12-20
2007.968506,0.192100,0.132700,-2.708580,0.358473,2007-12-21
2007.971191,0.184300,0.131300,-2.701150,0.359925,2007-12-22
2007.973999,0.179400,0.131400,-2.777760,0.361326,2007-12-23
2007.976685,0.180400,0.133100,-2.871520,0.362803,2007-12-24
2007.979492,0.178100,0.134000,-2.977540,0.364224,2007-12-25
2007.982178,0.173700,0.135400,-3.059680,0.365652,2007-12-26
2007.984985,0.173100,0.135400,-3.144390,0.367150,2007-12-27
2007.987671,0.163100,0.133400,-3.157880,0.368585,2007-12-28
2007.990356,0.159300,0.133000,-3.133310,0.370087,2007-12-29
2007.993164,0.152900,0.132900,-3.129640,0.371523,2007-12-30
2007.995850,0.144800,0.132000,-3.267050,0.373020,2007-12-31
2007.998657,0.145600,0.131600,-3.413370,0.374447,2008-01-01
2008.001343,0.136300,0.131300,-3.440730,0.375866,2008-01-02
2008.004150,0.133200,0.130000,-3.443480,0.377341,2008-01-03
2008.006836,0.126600,0.129400,-3.563250,0.378740,2008-01-04
2008.009521,0.122900,0.129100,-3.654360,0.380189,2008-01-05
2008.012329,0.119400,0.129500,-3.814890,0.381560,2008-01-06
2008.015015,0.117200,0.130000,-3.995250,0.382974,2008-01-07
2008.017822,0.116200,0.131200,-4.118880,0.384308,2008-01-08
2008.020508,0.115500,0.132000,-4.126030,0.385621,2008-01-09
2008.023315,0.113200,0.132700,-4.088340,0.386969,2008-01-10
2008.026001,0.105200,0.131900,-3.961450,0.388233,2008-01-11
2008.028687,0.102200,0.131900,-3.796670,0.389526,2008-01-12
2008.031494,0.098800,0.131800,-3.659160,0.390733,2008-01-13
2008.034180,0.092700,0.131300,-3.533480,0.391961,2008-01-14
2008.036987,0.091300,0.130600,-3.393900,0.393103,2008-01-15
2008.039673,0.089200,0.130800,-3.352920,0.394223,2008-01-16
2008.042480,0.087200,0.130600,-3.391160,0.395380,2008-01-17
2008.045166,0.081100,0.129800,-3.459410,0.396472,2008-01-18
2008.047852,0.076500,0.129200,-3.511460,0.397601,2008-01-19
2008.050659,0.070100,0.129200,-3.565980,0.398668,2008-01-20
2008.053345,0.068400,0.129800,-3.558010,0.399770,2008-01-21
2008.056152,0.070000,0.130200,-3.420100,0.400812,2008-01-22
2008.058838,0.067900,0.131000,-3.261630,0.401843,2008-01-23
2008.061646,0.064900,0.131600,-3.177780,0.402909,2008-01-24
2008.064331,0.061700,0.132200,-3.136710,0.403918,2008-01-25
2008.067017,0.057100,0.132300,-2.938220,0.404961,2008-01-26
2008.069824,0.055800,0.132200,-2.771530,0.405949,2008-01-27
2008.072510,0.050800,0.132700,-2.569410,0.406971,2008-01-28
2008.075317,0.050600,0.132800,-2.362630,0.407939,2008-01-29
2008.078003,0.045000,0.132600,-2.222500,0.408898,2008-01-30
