utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2015.738525,-0.111700,0.181900,6.214079,-0.032948,0.000000,1277.356019,1369.506271,2015-09-28
2015.741211,-0.108400,0.179000,5.980479,-0.032741,0.000000,1277.357660,1369.501538,2015-09-29
2015.744019,-0.107200,0.177800,5.709979,-0.032532,0.000000,1277.359575,1369.496633,2015-09-30
2015.746704,-0.108200,0.173400,5.505679,-0.032303,0.000000,1277.361567,1369.491993,2015-10-01
2015.749512,-0.111600,0.168400,5.335679,-0.032075,0.000000,1277.363783,1369.487204,2015-10-02
2015.752197,-0.111300,0.165200,5.185379,-0.031839,0.000000,1277.365999,1369.482696,2015-10-03
2015.755005,-0.118900,0.165100,5.023679,-0.031583,0.000000,1277.368385,1369.478064,2015-10-04
2015.757690,-0.127700,0.164500,4.804879,-0.031331,0.000000,1277.370699,1369.473725,2015-10-05
2015.760376,-0.128800,0.162200,4.552109,-0.031060,0.000000,1277.373016,1369.469481,2015-10-06
2015.763184,-0.130200,0.160200,4.286129,-0.030795,0.000000,1277.375407,1369.465158,2015-10-07
2015.765869,-0.131100,0.157700,4.017469,-0.030512,0.000000,1277.377633,1369.461143,2015-10-08
2015.768677,-0.132300,0.155100,3.764819,-0.030236,0.000000,1277.379864,1369.457078,2015-10-09
2015.771362,-0.133900,0.152800,3.522499,-0.029956,0.000000,1277.381873,1369.453328,2015-10-10
2015.774170,-0.135800,0.152700,3.296709,-0.029660,0.000000,1277.383811,1369.449561,2015-10-11
2015.776855,-0.134400,0.152200,2.999429,-0.029372,0.000000,1277.385477,1369.446116,2015-10-12
2015.779541,-0.132500,0.150400,2.650739,-0.029070,0.000000,1277.386931,1369.442832,2015-10-13
2015.782349,-0.132600,0.149500,2.304849,-0.028778,0.000000,1277.388188,1369.439584,2015-10-14
2015.785034,-0.127200,0.147400,2.018599,-0.028471,0.000000,1277.389110,1369.436663,2015-10-15
2015.787842,-0.126300,0.144100,1.795199,-0.028168,0.000000,1277.389746,1369.433814,2015-10-16
2015.790527,-0.126200,0.142700,1.616749,-0.027809,0.000000,1277.390009,1369.431294,2015-10-17
2015.793335,-0.127400,0.141300,1.397599,-0.027368,0.000000,1277.389893,1369.428883,2015-10-18
2015.796021,-0.129200,0.141100,1.171789,-0.026891,0.000000,1277.389400,1369.426793,2015-10-19
2015.798706,-0.124500,0.140600,0.993779,-0.026337,0.000000,1277.388556,1369.424909,2015-10-20
2015.801514,-0.126400,0.140300,0.813909,-0.025760,0.000000,1277.387322,1369.423152,2015-10-21
2015.804199,-0.124300,0.138900,0.561909,-0.025112,0.000000,1277.385827,1369.421669,2015-10-22
2015.807007,-0.122100,0.137200,0.261619,-0.024455,0.000000,1277.383959,1369.420316,2015-10-23
2015.809692,-0.127100,0.135900,0.031189,-0.023765,0.000000,1277.381904,1369.419205,2015-10-24
2015.812500,-0.129000,0.136600,-0.213411,-0.023014,0.000000,1277.379498,1369.418228,2015-10-25
2015.815186,-0.129000,0.136900,-0.497631,-0.022272,0.000000,1277.376974,1369.417464,2015-10-26
2015.817871,-0.130700,0.134600,-0.784151,-0.021475,0.000000,1277.374255,1369.416860,2015-10-27
2015.820679,-0.128800,0.132400,-1.184481,-0.020699,0.000000,1277.371225,1369.416391,2015-10-28
2015.823364,-0.132400,0.129800,-1.609731,-0.019877,0.000000,1277.368172,1369.416093,2015-10-29
2015.826172,-0.130700,0.127400,-2.042451,-0.019086,0.000000,1277.364841,1369.415930,2015-10-30
2015.828857,-0.135400,0.126700,-2.471411,-0.018294,0.000000,1277.361547,1369.415912,2015-10-31
2015.831665,-0.142300,0.125300,-2.898861,-0.017470,0.000000,1277.358011,1369.416028,2015-11-01
2015.834351,-0.145600,0.124600,-3.270171,-0.016691,0.000000,1277.354565,1369.416262,2015-11-02
2015.837036,-0.147200,0.124600,-3.464021,-0.015890,0.000000,1277.351079,1369.416609,2015-11-03
2015.839844,-0.149100,0.125400,-3.614331,-0.015142,0.000000,1277.347414,1369.417088,2015-11-04
2015.842529,-0.150400,0.124500,-3.824621,-0.014384,0.000000,1277.343914,1369.417648,2015-11-05
2015.845337,-0.150200,0.122700,-3.993291,-0.013686,0.000000,1277.340281,1369.418334,2015-11-06
2015.848022,-0.150600,0.121700,-4.174581,-0.013020,0.000000,1277.336856,1369.419081,2015-11-07
2015.850830,-0.154100,0.120400,-4.351785,-0.012361,0.000000,1277.333350,1369.419947,2015-11-08
2015.853516,-0.157500,0.118200,-4.491320,-0.011773,0.000000,1277.330092,1369.420853,2015-11-09
2015.856201,-0.157700,0.117300,-4.650554,-0.011206,0.000000,1277.326950,1369.421826,2015-11-10
2015.859009,-0.157900,0.116500,-4.857794,-0.010714,0.000000,1277.323810,1369.422909,2015-11-11
2015.861694,-0.157500,0.115700,-5.116971,-0.010258,0.000000,1277.320971,1369.424001,2015-11-12
2015.864502,-0.152100,0.115100,-5.422886,-0.009882,0.000000,1277.318196,1369.425194,2015-11-13
2015.867188,-0.158500,0.113900,-5.717983,-0.009568,0.000000,1277.315750,1369.426378,2015-11-14
2015.869995,-0.156200,0.112500,-6.037844,-0.009313,0.000000,1277.313436,1369.427654,2015-11-15
2015.872681,-0.159600,0.111400,-6.404931,-0.009107,0.000009,1277.311476,1369.428903,2015-11-16
2015.875366,-0.156500,0.111700,-6.779241,-0.008902,0.000034,1277.309786,1369.430174,2015-11-17
2015.878174,-0.156600,0.111500,-7.093711,-0.008715,0.000072,1277.308323,1369.431522,2015-11-18
2015.880859,-0.154800,0.110700,-7.301711,-0.008530,0.000125,1277.307203,1369.432829,2015-11-19
2015.883667,-0.149400,0.109800,-7.469711,-0.008362,0.000188,1277.306307,1369.434214,2015-11-20
2015.886353,-0.152400,0.108200,-7.619961,-0.008202,0.000262,1277.305701,1369.435558,2015-11-21
2015.889160,-0.155400,0.107300,-7.783871,-0.008043,0.000350,1277.305312,1369.436983,2015-11-22
2015.891846,-0.155100,0.106100,-7.947811,-0.007898,0.000443,1277.305161,1369.438365,2015-11-23
2015.894531,-0.152000,0.105400,-8.201241,-0.007754,0.000549,1277.305211,1369.439768,2015-11-24
2015.897339,-0.154000,0.104800,-8.492671,-0.007622,0.000658,1277.305463,1369.441256,2015-11-25
2015.900024,-0.153700,0.103400,-8.765901,-0.007489,0.000779,1277.305880,1369.442700,2015-11-26
2015.902832,-0.157000,0.102700,-9.085511,-0.007368,0.000900,1277.306486,1369.444234,2015-11-27
2015.905518,-0.156600,0.102400,-9.319481,-0.007251,0.001025,1277.307213,1369.445723,2015-11-28
2015.908325,-0.159600,0.102200,-9.557441,-0.007132,0.001160,1277.308111,1369.447304,2015-11-29
