utvec,dv,err,temp,SM_EWT,date
2013.342896,-0.124100,0.075100,10.625600,0.428647,2013-05-06
2013.345703,-0.124000,0.075900,10.794700,0.428159,2013-05-07
2013.348389,-0.121000,0.076900,10.985200,0.427690,2013-05-08
2013.351074,-0.118200,0.078400,11.195500,0.427199,2013-05-09
2013.353882,-0.115400,0.079800,11.532100,0.426730,2013-05-10
2013.356567,-0.114500,0.080600,11.951000,0.426240,2013-05-11
2013.359375,-0.116400,0.081900,12.224300,0.425775,2013-05-12
2013.362061,-0.113400,0.082800,12.463700,0.425312,2013-05-13
2013.364868,-0.115200,0.083200,12.698000,0.424834,2013-05-14
2013.367554,-0.116900,0.083700,12.874400,0.424383,2013-05-15
2013.370239,-0.116800,0.084000,13.057200,0.423917,2013-05-16
2013.373047,-0.115400,0.085000,13.294300,0.423462,2013-05-17
2013.375732,-0.114000,0.085500,13.642000,0.422965,2013-05-18
2013.378540,-0.112700,0.086200,14.013800,0.422473,2013-05-19
2013.381226,-0.111200,0.086900,14.358700,0.421965,2013-05-20
2013.384033,-0.109300,0.087100,14.527800,0.421419,2013-05-21
2013.386719,-0.109300,0.087600,14.674900,0.420883,2013-05-22
2013.389404,-0.107700,0.087300,14.803300,0.420312,2013-05-23
2013.392212,-0.102900,0.087900,14.979300,0.419756,2013-05-24
2013.394897,-0.101200,0.088800,15.246100,0.419166,2013-05-25
2013.397705,-0.101200,0.089200,15.428300,0.418596,2013-05-26
2013.400391,-0.099500,0.089500,15.617500,0.418021,2013-05-27
2013.403198,-0.096100,0.089900,15.827300,0.417416,2013-05-28
2013.405884,-0.090900,0.090400,16.057400,0.416836,2013-05-29
2013.408569,-0.091000,0.091000,16.256900,0.416230,2013-05-30
2013.411377,-0.089200,0.091200,16.451000,0.415651,2013-05-31
2013.414062,-0.085700,0.092900,16.748800,0.415050,2013-06-01
2013.416870,-0.084100,0.094100,17.155800,0.414479,2013-06-02
2013.419556,-0.080900,0.094400,17.515200,0.413915,2013-06-03
2013.422363,-0.077700,0.095000,17.788700,0.413333,2013-06-04
2013.425049,-0.071000,0.095700,18.025300,0.412786,2013-06-05
2013.427734,-0.059500,0.096600,18.225900,0.412226,2013-06-06
2013.430542,-0.057900,0.098400,18.466800,0.411703,2013-06-07
2013.433228,-0.053000,0.099300,18.706300,0.411171,2013-06-08
2013.436035,-0.047900,0.100000,18.959700,0.410679,2013-06-09
2013.438721,-0.044600,0.100500,19.171600,0.410203,2013-06-10
2013.441528,-0.034700,0.101100,19.368700,0.409726,2013-06-11
2013.444214,-0.033000,0.101900,19.460200,0.409290,2013-06-12
2013.446899,-0.024800,0.103000,19.507800,0.408858,2013-06-13
2013.449707,-0.019800,0.104200,19.544400,0.408468,2013-06-14
2013.452393,-0.018000,0.104600,19.606300,0.408087,2013-06-15
2013.455200,-0.013300,0.104900,19.701900,0.407746,2013-06-16
2013.457886,-0.011400,0.105200,19.815800,0.407416,2013-06-17
2013.460693,-0.008100,0.105400,20.048700,0.407081,2013-06-18
2013.463379,-0.007600,0.105600,20.298300,0.406771,2013-06-19
2013.466064,-0.006200,0.105300,20.602400,0.406456,2013-06-20
2013.468872,-0.000900,0.104900,20.872900,0.406164,2013-06-21
2013.471558,0.002500,0.104900,21.066900,0.405867,2013-06-22
2013.474365,0.007400,0.105400,21.260500,0.405590,2013-06-23
2013.477051,0.012500,0.105900,21.470000,0.405320,2013-06-24
2013.479858,0.017400,0.106000,21.628900,0.405045,2013-06-25
2013.482544,0.019100,0.106800,21.779200,0.404788,2013-06-26
2013.485229,0.024200,0.107600,21.930400,0.404524,2013-06-27
2013.488037,0.024400,0.108800,22.001700,0.404277,2013-06-28
2013.490723,0.029200,0.109200,22.187500,0.404023,2013-06-29
2013.493530,0.034400,0.110300,22.337500,0.403784,2013-06-30
2013.496216,0.038000,0.111900,22.482300,0.403547,2013-07-01
2013.499023,0.049700,0.113600,22.654400,0.403303,2013-07-02
2013.501709,0.056400,0.114900,22.759300,0.403071,2013-07-03
2013.504395,0.066200,0.115100,22.789300,0.402830,2013-07-04
2013.507202,0.076000,0.116200,22.858700,0.402601,2013-07-05
2013.509888,0.077200,0.116600,22.925100,0.402361,2013-07-06
2013.512695,0.077300,0.115600,22.990900,0.402132,2013-07-07
2013.515381,0.080100,0.116100,23.038100,0.401901,2013-07-08
2013.518188,0.078400,0.116100,23.030400,0.401659,2013-07-09
2013.520874,0.078100,0.116600,23.000200,0.401426,2013-07-10
2013.523560,0.076500,0.116400,22.931900,0.401179,2013-07-11
2013.526367,0.076600,0.115000,22.932900,0.400940,2013-07-12
2013.529053,0.076700,0.113300,22.936500,0.400686,2013-07-13
2013.531860,0.076700,0.112400,22.935700,0.400440,2013-07-14
2013.534546,0.076600,0.112200,22.975200,0.400188,2013-07-15
2013.537354,0.075000,0.112500,23.075100,0.399919,2013-07-16
2013.540039,0.076400,0.112900,23.160500,0.399649,2013-07-17
2013.542725,0.076500,0.112400,23.245300,0.399350,2013-07-18
2013.545532,0.075300,0.111200,23.296800,0.399051,2013-07-19
2013.548218,0.075200,0.111600,23.324200,0.398727,2013-07-20
2013.551025,0.075300,0.111700,23.427700,0.398407,2013-07-21
2013.553711,0.073900,0.111900,23.517800,0.398080,2013-07-22
2013.556519,0.072400,0.112100,23.580700,0.397730,2013-07-23
2013.559204,0.070800,0.112700,23.644400,0.397391,2013-07-24
2013.561890,0.067700,0.112700,23.621100,0.397033,2013-07-25
2013.564697,0.067800,0.112300,23.621000,0.396690,2013-07-26
2013.567383,0.064800,0.112000,23.592800,0.396331,2013-07-27
2013.570190,0.059800,0.111900,23.479000,0.395989,2013-07-28
2013.572876,0.058400,0.112300,23.354100,0.395651,2013-07-29
2013.575684,0.059700,0.112500,23.238000,0.395304,2013-07-30
2013.578369,0.057700,0.112700,23.148900,0.394978,2013-07-31
2013.581055,0.054700,0.112900,23.066000,0.394647,2013-08-01
2013.583862,0.052600,0.112600,22.966500,0.394340,2013-08-02
2013.586548,0.051900,0.112300,22.844500,0.394032,2013-08-03
2013.589355,0.054700,0.112200,22.738600,0.393751,2013-08-04
2013.592041,0.053100,0.113600,22.646800,0.393485,2013-08-05
2013.594849,0.046500,0.114400,22.598900,0.393224,2013-08-06
2013.597534,0.047100,0.115400,22.577200,0.392994,2013-08-07
2013.600220,0.046900,0.116900,22.580900,0.392774,2013-08-08
2013.603027,0.047900,0.118300,22.479100,0.392586,2013-08-09
2013.605713,0.047000,0.119400,22.344300,0.392415,2013-08-10
2013.608521,0.044400,0.120100,22.227600,0.392276,2013-08-11
2013.611206,0.015700,0.122000,22.123000,0.392163,2013-08-12
2013.614014,-0.015600,0.123700,22.022900,0.392076,2013-08-13
2013.616699,-0.013700,0.125700,21.897000,0.392022,2013-08-14
2013.619385,-0.012900,0.127700,21.769400,0.392000,2013-08-15
2013.622192,-0.017900,0.129300,21.641900,0.392067,2013-08-16
2013.624878,-0.014100,0.130500,21.527000,0.392316,2013-08-17
2013.627686,-0.017700,0.130700,21.452500,0.392716,2013-08-18
2013.630371,-0.016800,0.132200,21.337700,0.393261,2013-08-19
2013.633179,-0.015600,0.133800,21.146100,0.393976,2013-08-20
2013.635864,-0.016700,0.136700,20.931200,0.394786,2013-08-21
2013.638550,-0.015900,0.138100,20.777700,0.395752,2013-08-22
2013.641357,-0.023100,0.136300,20.656700,0.396778,2013-08-23
2013.644043,-0.022500,0.133000,20.449100,0.397946,2013-08-24
2013.646851,-0.030200,0.130700,20.283900,0.399141,2013-08-25
2013.649536,-0.028300,0.130100,20.140000,0.400403,2013-08-26
2013.652344,-0.028200,0.127300,19.914100,0.401779,2013-08-27
2013.655029,-0.027700,0.123400,19.653600,0.403139,2013-08-28
