utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2016.349121,-0.048000,0.330300,2.337075,0.052730,0.000000,1277.418994,1369.816710,2016-05-08
2016.351807,-0.047200,0.329000,2.475285,0.053617,0.000000,1277.417125,1369.816534,2016-05-09
2016.354492,-0.049800,0.325800,2.607225,0.054443,0.000000,1277.415220,1369.816245,2016-05-10
2016.357300,-0.043800,0.325700,2.776285,0.055127,0.000000,1277.413193,1369.815820,2016-05-11
2016.359985,-0.036200,0.323600,2.989385,0.055719,0.000000,1277.411228,1369.815292,2016-05-12
2016.362793,-0.032700,0.316900,3.144185,0.056160,0.000000,1277.409150,1369.814610,2016-05-13
2016.365479,-0.024100,0.317900,3.275285,0.056467,0.000000,1277.407147,1369.813828,2016-05-14
2016.368286,-0.015200,0.317100,3.318185,0.056636,0.000000,1277.405042,1369.812875,2016-05-15
2016.370972,0.005200,0.317900,3.439185,0.056654,0.000000,1277.403024,1369.811827,2016-05-16
2016.373657,0.009200,0.313900,3.672085,0.056604,0.000000,1277.401007,1369.810644,2016-05-17
2016.376465,0.021200,0.312800,3.916485,0.056510,0.000000,1277.398904,1369.809258,2016-05-18
2016.379150,0.034700,0.313200,4.209585,0.056362,0.000000,1277.396900,1369.807796,2016-05-19
2016.381958,0.044100,0.314000,4.503485,0.056178,0.000000,1277.394806,1369.806132,2016-05-20
2016.384644,0.063400,0.314400,4.781085,0.055952,0.000000,1277.392800,1369.804423,2016-05-21
2016.387451,0.079000,0.314600,5.017285,0.055674,0.000000,1277.390696,1369.802524,2016-05-22
2016.390137,0.084200,0.313300,5.228985,0.055369,0.000000,1277.388671,1369.800610,2016-05-23
2016.392822,0.082700,0.313000,5.394885,0.055012,0.000000,1277.386630,1369.798610,2016-05-24
2016.395630,0.094100,0.312800,5.645385,0.054635,0.000000,1277.384473,1369.796439,2016-05-25
2016.398315,0.095900,0.311600,5.882285,0.054207,0.000000,1277.382385,1369.794295,2016-05-26
2016.401123,0.095900,0.308300,6.079085,0.053766,0.000000,1277.380168,1369.791993,2016-05-27
2016.403809,0.098600,0.305600,6.354085,0.053297,0.000000,1277.378012,1369.789744,2016-05-28
2016.406616,0.118200,0.304400,6.638485,0.052777,0.000000,1277.375718,1369.787356,2016-05-29
2016.409302,0.131000,0.303700,6.977285,0.052254,0.000000,1277.373477,1369.785045,2016-05-30
2016.411987,0.148700,0.306800,7.258385,0.051682,0.000000,1277.371189,1369.782718,2016-05-31
2016.414795,0.154900,0.309900,7.504785,0.051112,0.000000,1277.368739,1369.780278,2016-06-01
2016.417480,0.156500,0.314000,7.707885,0.050496,0.000000,1277.366337,1369.777948,2016-06-02
2016.420288,0.158900,0.318400,7.892385,0.049887,0.000000,1277.363760,1369.775527,2016-06-03
2016.422974,0.156900,0.318000,8.040485,0.049262,0.000000,1277.361225,1369.773235,2016-06-04
2016.425781,0.167300,0.316700,8.166585,0.048593,0.000000,1277.358501,1369.770876,2016-06-05
2016.428467,0.171900,0.318400,8.259485,0.047940,0.000000,1277.355816,1369.768663,2016-06-06
2016.431152,0.180300,0.314200,8.395685,0.047246,0.000000,1277.353052,1369.766505,2016-06-07
2016.433960,0.190000,0.310800,8.602385,0.046572,0.000000,1277.350070,1369.764315,2016-06-08
2016.436646,0.213000,0.308800,8.854585,0.045859,0.000000,1277.347126,1369.762295,2016-06-09
2016.439453,0.222500,0.304700,9.047685,0.045171,0.000000,1277.343949,1369.760274,2016-06-10
2016.442139,0.221400,0.300600,9.276385,0.044480,0.000000,1277.340807,1369.758435,2016-06-11
2016.444946,0.233900,0.298100,9.419785,0.043754,0.000000,1277.337414,1369.756623,2016-06-12
2016.447632,0.250100,0.295000,9.545885,0.043060,0.000000,1277.334056,1369.755005,2016-06-13
2016.450317,0.267800,0.295300,9.639585,0.042335,0.000000,1277.330587,1369.753510,2016-06-14
2016.453125,0.274300,0.295200,9.733685,0.041645,0.000000,1277.326834,1369.752089,2016-06-15
2016.455811,0.272800,0.291200,9.932985,0.040883,0.000000,1277.323120,1369.750876,2016-06-16
2016.458618,0.270600,0.288400,10.167985,0.040080,0.000000,1277.319104,1369.749772,2016-06-17
2016.461304,0.261200,0.287100,10.394685,0.039209,0.000000,1277.315129,1369.748872,2016-06-18
2016.464111,0.252700,0.285600,10.517285,0.038230,0.000000,1277.310840,1369.748075,2016-06-19
2016.466797,0.232100,0.282500,10.656485,0.037232,0.000000,1277.306610,1369.747428,2016-06-20
2016.469482,0.223500,0.281700,10.795785,0.036131,0.000000,1277.302261,1369.746873,2016-06-21
2016.472290,0.211300,0.277700,10.977885,0.035026,0.000000,1277.297587,1369.746369,2016-06-22
2016.474976,0.207100,0.276000,11.205585,0.033821,0.000000,1277.293000,1369.745937,2016-06-23
2016.477783,0.207400,0.276400,11.426785,0.032626,0.000000,1277.288087,1369.745514,2016-06-24
2016.480469,0.210700,0.281300,11.633485,0.031393,0.000000,1277.283274,1369.745117,2016-06-25
