utvec,dv,err,temp,SM_EWT,date
2007.013062,0.133000,0.135900,-4.642320,0.537065,2007-01-06
2007.015747,0.130200,0.136400,-4.571260,0.537150,2007-01-07
2007.018433,0.130300,0.136000,-4.484790,0.537244,2007-01-08
2007.021240,0.109500,0.136700,-4.405060,0.537338,2007-01-09
2007.023926,0.105100,0.137100,-4.364960,0.537442,2007-01-10
2007.026733,0.103400,0.136000,-4.298190,0.537547,2007-01-11
2007.029419,0.102400,0.134400,-4.177970,0.537658,2007-01-12
2007.032227,0.102500,0.134200,-4.135860,0.537782,2007-01-13
2007.034912,0.101400,0.133500,-4.178590,0.537908,2007-01-14
2007.037598,0.091100,0.133900,-4.279510,0.538048,2007-01-15
2007.040405,0.083200,0.134500,-4.354360,0.538190,2007-01-16
2007.043091,0.068800,0.135300,-4.257900,0.538348,2007-01-17
2007.045898,0.068500,0.134100,-4.090620,0.538506,2007-01-18
2007.048584,0.068700,0.134100,-3.921180,0.538672,2007-01-19
2007.051392,0.072400,0.134400,-3.723570,0.538854,2007-01-20
2007.054077,0.066300,0.134600,-3.647250,0.539035,2007-01-21
2007.056763,0.061800,0.135500,-3.565590,0.539231,2007-01-22
2007.059570,0.046200,0.135400,-3.396940,0.539426,2007-01-23
2007.062256,0.039800,0.135600,-3.220270,0.539636,2007-01-24
2007.065063,0.036500,0.134900,-3.191620,0.539843,2007-01-25
2007.067749,0.031700,0.134500,-3.253960,0.540056,2007-01-26
2007.070557,0.026800,0.133800,-3.368370,0.540284,2007-01-27
2007.073242,0.022700,0.133100,-3.409520,0.540508,2007-01-28
2007.075928,0.020700,0.133100,-3.451320,0.540747,2007-01-29
2007.078735,0.016300,0.133800,-3.481040,0.540981,2007-01-30
2007.081421,0.005900,0.134400,-3.482860,0.541230,2007-01-31
2007.084229,0.000900,0.134600,-3.543760,0.541473,2007-02-01
2007.086914,-0.003600,0.133400,-3.614870,0.541720,2007-02-02
2007.089722,-0.007400,0.132500,-3.575300,0.541982,2007-02-03
2007.092407,-0.005500,0.131600,-3.551280,0.542236,2007-02-04
2007.095093,-0.008200,0.132700,-3.446240,0.542505,2007-02-05
2007.097900,-0.012900,0.133300,-3.198530,0.542765,2007-02-06
2007.100586,-0.015100,0.133800,-2.976330,0.543040,2007-02-07
2007.103394,-0.027900,0.133100,-2.760720,0.543306,2007-02-08
2007.106079,-0.028200,0.132600,-2.696110,0.543574,2007-02-09
2007.108887,-0.035800,0.132400,-2.611930,0.543856,2007-02-10
2007.111572,-0.043600,0.132500,-2.490390,0.544128,2007-02-11
2007.114258,-0.060200,0.132300,-2.217770,0.544413,2007-02-12
2007.117065,-0.071700,0.133100,-1.830580,0.544688,2007-02-13
2007.119751,-0.073900,0.134400,-1.473570,0.544976,2007-02-14
2007.122559,-0.072400,0.133800,-1.074490,0.545265,2007-02-15
2007.125244,-0.079800,0.133100,-0.643858,0.545584,2007-02-16
2007.128052,-0.085900,0.133100,-0.270157,0.545948,2007-02-17
2007.130737,-0.094500,0.133900,0.072174,0.546322,2007-02-18
2007.133423,-0.109100,0.134000,0.408473,0.546736,2007-02-19
2007.136230,-0.108900,0.134400,0.609491,0.547152,2007-02-20
2007.138916,-0.114400,0.134500,0.815267,0.547605,2007-02-21
2007.141724,-0.123900,0.134700,1.047900,0.548053,2007-02-22
2007.144409,-0.128500,0.134300,1.321190,0.548512,2007-02-23
2007.147217,-0.132800,0.133900,1.582690,0.549001,2007-02-24
2007.149902,-0.170900,0.134200,1.813530,0.549475,2007-02-25
2007.152588,-0.194300,0.134500,1.938370,0.549974,2007-02-26
2007.155396,-0.204100,0.135000,1.963190,0.550451,2007-02-27
2007.158081,-0.210800,0.135100,2.061510,0.550947,2007-02-28
2007.160889,-0.225800,0.135200,2.171700,0.551416,2007-03-01
2007.163574,-0.235200,0.134600,2.336520,0.551877,2007-03-02
2007.166382,-0.237000,0.134200,2.534130,0.552348,2007-03-03
2007.169067,-0.235300,0.134800,2.713170,0.552784,2007-03-04
2007.171753,-0.237000,0.134800,2.928820,0.553223,2007-03-05
2007.174561,-0.243700,0.135300,3.211240,0.553623,2007-03-06
2007.177246,-0.248800,0.135500,3.424220,0.554019,2007-03-07
2007.180054,-0.244200,0.134500,3.588880,0.554372,2007-03-08
2007.182739,-0.244500,0.134000,3.712420,0.554697,2007-03-09
2007.185547,-0.241900,0.133300,3.745020,0.555006,2007-03-10
2007.188232,-0.250000,0.133400,3.746520,0.555267,2007-03-11
2007.190918,-0.248300,0.134200,3.680030,0.555503,2007-03-12
2007.193726,-0.255000,0.135700,3.619030,0.555689,2007-03-13
2007.196411,-0.264900,0.135600,3.602510,0.555840,2007-03-14
2007.199219,-0.267100,0.134800,3.661450,0.555939,2007-03-15
2007.201904,-0.259100,0.134700,3.785530,0.555992,2007-03-16
2007.204712,-0.262400,0.136400,3.964750,0.555999,2007-03-17
2007.207397,-0.249200,0.137400,4.165100,0.555991,2007-03-18
2007.210083,-0.241000,0.138800,4.341030,0.555975,2007-03-19
2007.212891,-0.244200,0.140500,4.400170,0.555952,2007-03-20
2007.215576,-0.242300,0.141000,4.412010,0.555919,2007-03-21
2007.218384,-0.239100,0.140100,4.429990,0.555881,2007-03-22
2007.221069,-0.229300,0.139000,4.588460,0.555835,2007-03-23
2007.223877,-0.224400,0.139300,4.718190,0.555781,2007-03-24
2007.226562,-0.229400,0.142900,4.752500,0.555721,2007-03-25
2007.229248,-0.219200,0.144100,4.799590,0.555652,2007-03-26
2007.232056,-0.215900,0.146100,5.003600,0.555580,2007-03-27
2007.234741,-0.215900,0.147300,5.268600,0.555497,2007-03-28
2007.237549,-0.212200,0.148300,5.507410,0.555413,2007-03-29
2007.240234,-0.181200,0.148700,5.771650,0.555322,2007-03-30
2007.243042,-0.178000,0.150000,6.152950,0.555221,2007-03-31
2007.245728,-0.172800,0.152100,6.535460,0.555119,2007-04-01
2007.248413,-0.164000,0.154100,6.912510,0.555006,2007-04-02
2007.251221,-0.140600,0.156500,7.297540,0.554893,2007-04-03
2007.253906,-0.129200,0.159600,7.520850,0.554770,2007-04-04
2007.256714,-0.157400,0.161800,7.602220,0.554648,2007-04-05
2007.259399,-0.164700,0.162200,7.600080,0.554520,2007-04-06
2007.262207,-0.156800,0.160500,7.652360,0.554382,2007-04-07
2007.264893,-0.128900,0.160000,7.715550,0.554246,2007-04-08
2007.267578,-0.119600,0.159100,7.850810,0.554099,2007-04-09
2007.270386,-0.110600,0.159600,8.002650,0.553955,2007-04-10
2007.273071,-0.106900,0.161500,8.238420,0.553800,2007-04-11
2007.275879,-0.098400,0.161900,8.470800,0.553648,2007-04-12
2007.278564,-0.088500,0.161700,8.660770,0.553493,2007-04-13
2007.281372,-0.089300,0.162800,8.752910,0.553328,2007-04-14
2007.284058,-0.084100,0.162700,8.817240,0.553166,2007-04-15
2007.286743,-0.080900,0.163200,8.948130,0.552994,2007-04-16
