utvec,dv,err,temp,SM_EWT,date
2007.013062,-0.145100,0.199300,-1.574250,0.437606,2007-01-06
2007.015747,-0.162600,0.199900,-1.466810,0.437682,2007-01-07
2007.018433,-0.175800,0.201200,-1.413030,0.437755,2007-01-08
2007.021240,-0.179900,0.201400,-1.344790,0.437817,2007-01-09
2007.023926,-0.179300,0.203400,-1.280130,0.437874,2007-01-10
2007.026733,-0.184800,0.205300,-1.160230,0.437920,2007-01-11
2007.029419,-0.190100,0.206600,-0.996303,0.437956,2007-01-12
2007.032227,-0.196400,0.207100,-0.939483,0.437983,2007-01-13
2007.034912,-0.219300,0.209000,-0.890682,0.437997,2007-01-14
2007.037598,-0.227600,0.209900,-0.925691,0.438000,2007-01-15
2007.040405,-0.240200,0.213400,-1.004790,0.437997,2007-01-16
2007.043091,-0.250500,0.215400,-0.946608,0.437992,2007-01-17
2007.045898,-0.264500,0.216100,-0.809890,0.437984,2007-01-18
2007.048584,-0.268100,0.215400,-0.613103,0.437974,2007-01-19
2007.051392,-0.270800,0.216200,-0.462946,0.437961,2007-01-20
2007.054077,-0.286100,0.217500,-0.358360,0.437946,2007-01-21
2007.056763,-0.301400,0.219400,-0.294833,0.437927,2007-01-22
2007.059570,-0.317200,0.221000,-0.153927,0.437907,2007-01-23
2007.062256,-0.326800,0.222000,-0.013674,0.437884,2007-01-24
2007.065063,-0.339200,0.222300,0.027269,0.437859,2007-01-25
2007.067749,-0.343800,0.221500,0.024098,0.437833,2007-01-26
2007.070557,-0.351000,0.222000,-0.022728,0.437803,2007-01-27
2007.073242,-0.363200,0.223500,-0.012056,0.437773,2007-01-28
2007.075928,-0.380700,0.225200,0.054222,0.437739,2007-01-29
2007.078735,-0.391200,0.225100,0.065534,0.437705,2007-01-30
2007.081421,-0.400600,0.226300,0.036437,0.437667,2007-01-31
2007.084229,-0.407100,0.225400,-0.080986,0.437629,2007-02-01
2007.086914,-0.416400,0.226900,-0.163800,0.437590,2007-02-02
2007.089722,-0.427600,0.227200,-0.166215,0.437547,2007-02-03
2007.092407,-0.436700,0.227400,-0.099472,0.437505,2007-02-04
2007.095093,-0.445700,0.229300,-0.007765,0.437459,2007-02-05
2007.097900,-0.453200,0.229400,0.249004,0.437414,2007-02-06
2007.100586,-0.466900,0.232400,0.436562,0.437366,2007-02-07
2007.103394,-0.490400,0.234100,0.608239,0.437318,2007-02-08
2007.106079,-0.492700,0.235600,0.720944,0.437270,2007-02-09
2007.108887,-0.512000,0.238100,0.811134,0.437218,2007-02-10
2007.111572,-0.520500,0.240300,0.962722,0.437167,2007-02-11
2007.114258,-0.522900,0.243000,1.174530,0.437113,2007-02-12
2007.117065,-0.533900,0.246400,1.528090,0.437060,2007-02-13
2007.119751,-0.548500,0.251200,1.870550,0.437005,2007-02-14
2007.122559,-0.550100,0.253700,2.244610,0.436947,2007-02-15
2007.125244,-0.553100,0.255400,2.648000,0.436878,2007-02-16
2007.128052,-0.563500,0.257200,3.025140,0.436795,2007-02-17
2007.130737,-0.571200,0.258600,3.384760,0.436706,2007-02-18
2007.133423,-0.572800,0.260200,3.725520,0.436603,2007-02-19
2007.136230,-0.574500,0.262100,3.925420,0.436495,2007-02-20
2007.138916,-0.647100,0.262900,4.119410,0.436374,2007-02-21
2007.141724,-0.713900,0.263300,4.334150,0.436249,2007-02-22
2007.144409,-0.713300,0.262800,4.502310,0.436116,2007-02-23
2007.147217,-0.717300,0.261700,4.679640,0.435969,2007-02-24
2007.149902,-0.725900,0.263900,4.833550,0.435822,2007-02-25
2007.152588,-0.729700,0.264000,4.901150,0.435660,2007-02-26
2007.155396,-0.733800,0.264700,4.866660,0.435500,2007-02-27
2007.158081,-0.745300,0.265400,4.823870,0.435326,2007-02-28
2007.160889,-0.753900,0.263500,4.832570,0.435153,2007-03-01
2007.163574,-0.754200,0.261600,4.924760,0.434976,2007-03-02
2007.166382,-0.756400,0.259100,5.105310,0.434786,2007-03-03
2007.169067,-0.755200,0.259500,5.375710,0.434599,2007-03-04
2007.171753,-0.746500,0.258400,5.685370,0.434400,2007-03-05
2007.174561,-0.737500,0.260300,6.004640,0.434206,2007-03-06
2007.177246,-0.734000,0.260100,6.197610,0.434000,2007-03-07
2007.180054,-0.694200,0.257400,6.361950,0.433800,2007-03-08
2007.182739,-0.680200,0.251600,6.483920,0.433597,2007-03-09
2007.185547,-0.676100,0.243900,6.565550,0.433384,2007-03-10
2007.188232,-0.677944,0.238397,6.604370,0.433178,2007-03-11
2007.190918,-0.681410,0.235018,6.520620,0.432961,2007-03-12
2007.193726,-0.683400,0.233100,6.466270,0.432753,2007-03-13
2007.196411,-0.681600,0.231700,6.434290,0.432535,2007-03-14
2007.199219,-0.673854,0.228420,6.491350,0.432327,2007-03-15
