utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2011.223877,-0.121700,0.060100,-5.670637,0.149506,0.000000,1278.534137,1371.083340,2011-03-24
2011.226562,-0.123500,0.060600,-5.546767,0.149610,0.000000,1278.539860,1371.084678,2011-03-25
2011.229248,-0.125200,0.060900,-5.412847,0.149713,0.000000,1278.545567,1371.085796,2011-03-26
2011.232056,-0.125200,0.061000,-5.306977,0.149809,0.000000,1278.551512,1371.086748,2011-03-27
2011.234741,-0.128600,0.061100,-5.328857,0.149906,0.000000,1278.557174,1371.087467,2011-03-28
2011.237549,-0.130200,0.061400,-5.323017,0.149998,0.000000,1278.563072,1371.088039,2011-03-29
2011.240234,-0.133600,0.061900,-5.155017,0.150089,0.000000,1278.568686,1371.088431,2011-03-30
2011.243042,-0.133700,0.062400,-5.088427,0.150184,0.000000,1278.574529,1371.088697,2011-03-31
2011.245728,-0.133800,0.062700,-5.094827,0.150277,0.000000,1278.580090,1371.088833,2011-04-01
2011.248413,-0.133800,0.062600,-5.128747,0.150376,0.000000,1278.585619,1371.088869,2011-04-02
2011.251221,-0.135500,0.062700,-5.133147,0.150474,0.000000,1278.591369,1371.088819,2011-04-03
2011.253906,-0.138800,0.062900,-5.017397,0.150580,0.000000,1278.596834,1371.088705,2011-04-04
2011.256714,-0.142100,0.063000,-4.911717,0.150687,0.000000,1278.602513,1371.088535,2011-04-05
2011.259399,-0.142100,0.062900,-4.798607,0.150800,0.000000,1278.607907,1371.088342,2011-04-06
2011.262207,-0.147100,0.062900,-4.594447,0.150925,0.000000,1278.613509,1371.088126,2011-04-07
2011.264893,-0.150500,0.063000,-4.297537,0.151053,0.000000,1278.618828,1371.087925,2011-04-08
2011.267578,-0.150600,0.063400,-4.106027,0.151195,0.000000,1278.624104,1371.087745,2011-04-09
2011.270386,-0.149000,0.063700,-4.121267,0.151341,0.000000,1278.629578,1371.087599,2011-04-10
2011.273071,-0.147400,0.063800,-4.172397,0.151505,0.000000,1278.634768,1371.087517,2011-04-11
2011.275879,-0.149100,0.063800,-4.181557,0.151673,0.000000,1278.640148,1371.087510,2011-04-12
2011.278564,-0.150800,0.063800,-4.108467,0.151853,0.000000,1278.645244,1371.087597,2011-04-13
2011.281372,-0.150800,0.063900,-3.973707,0.152055,0.000000,1278.650524,1371.087804,2011-04-14
2011.284058,-0.150800,0.063900,-3.867577,0.152263,0.000000,1278.655523,1371.088131,2011-04-15
2011.286743,-0.150800,0.063700,-3.817067,0.152498,0.000000,1278.660469,1371.088601,2011-04-16
2011.289551,-0.150800,0.063800,-3.803827,0.152830,0.000000,1278.665586,1371.089264,2011-04-17
2011.292236,-0.150900,0.063800,-3.708077,0.153351,0.000000,1278.670423,1371.090079,2011-04-18
2011.295044,-0.152600,0.063800,-3.725617,0.154004,0.000000,1278.675426,1371.091139,2011-04-19
2011.297729,-0.152700,0.063800,-3.726527,0.154796,0.000000,1278.680169,1371.092359,2011-04-20
2011.300537,-0.152600,0.063700,-3.662877,0.155759,0.000000,1278.685102,1371.093861,2011-04-21
2011.303223,-0.152600,0.063900,-3.511077,0.156798,0.000000,1278.689808,1371.095521,2011-04-22
2011.305908,-0.152700,0.064000,-3.322557,0.157994,0.000000,1278.694514,1371.097409,2011-04-23
2011.308716,-0.152700,0.064000,-3.196637,0.159231,0.000000,1278.699453,1371.099635,2011-04-24
2011.311401,-0.152700,0.064100,-3.123767,0.160608,0.000000,1278.704206,1371.102013,2011-04-25
2011.314209,-0.156000,0.064300,-2.928917,0.161993,0.000000,1278.709224,1371.104769,2011-04-26
2011.316895,-0.156000,0.064400,-2.760717,0.163433,0.000000,1278.714083,1371.107673,2011-04-27
2011.319702,-0.156000,0.064400,-2.644137,0.164984,0.000000,1278.719238,1371.110994,2011-04-28
2011.322388,-0.156000,0.064600,-2.476417,0.166498,0.000000,1278.724260,1371.114456,2011-04-29
2011.325073,-0.157700,0.064400,-2.385317,0.168101,0.000000,1278.729379,1371.118202,2011-04-30
2011.327881,-0.159400,0.064400,-2.366607,0.169640,0.000000,1278.734855,1371.122434,2011-05-01
2011.330566,-0.159500,0.064400,-2.318687,0.171244,0.000000,1278.740222,1371.126789,2011-05-02
2011.333374,-0.162900,0.064400,-2.265997,0.172759,0.000000,1278.745988,1371.131676,2011-05-03
2011.336060,-0.159500,0.064400,-2.297527,0.174245,0.000000,1278.751662,1371.136676,2011-05-04
2011.338867,-0.159500,0.064700,-2.118337,0.175753,0.000000,1278.757774,1371.142250,2011-05-05
2011.341553,-0.159500,0.064700,-1.915807,0.177141,0.000000,1278.763811,1371.147928,2011-05-06
2011.344238,-0.164500,0.064500,-1.771917,0.178521,0.000000,1278.770044,1371.153946,2011-05-07
2011.347046,-0.166200,0.064500,-1.623707,0.179761,0.000000,1278.776790,1371.160617,2011-05-08
2011.349731,-0.166100,0.064400,-1.487977,0.180961,0.000000,1278.783472,1371.167363,2011-05-09
2011.352539,-0.166000,0.064600,-1.265297,0.182005,0.000000,1278.790716,1371.174812,2011-05-10
2011.355225,-0.166000,0.064900,-1.032147,0.182934,0.000000,1278.797906,1371.182323,2011-05-11
2011.358032,-0.167700,0.065000,-0.797287,0.183771,0.000000,1278.805707,1371.190583,2011-05-12
2011.360718,-0.169400,0.064900,-0.595817,0.184429,0.000000,1278.813460,1371.198890,2011-05-13
2011.363403,-0.169300,0.065000,-0.442697,0.184957,0.000000,1278.821507,1371.207595,2011-05-14
2011.366211,-0.167700,0.065000,-0.295767,0.185296,0.000000,1278.830255,1371.217137,2011-05-15
2011.368896,-0.171000,0.065100,-0.050867,0.185464,0.000000,1278.838951,1371.226688,2011-05-16
2011.371704,-0.169300,0.065300,0.188803,0.185452,0.000000,1278.848407,1371.237133,2011-05-17
2011.374390,-0.167700,0.065400,0.257383,0.185330,0.000000,1278.857813,1371.247569,2011-05-18
2011.377197,-0.167600,0.065200,0.262863,0.185095,0.000000,1278.868031,1371.258944,2011-05-19
2011.379883,-0.167700,0.065400,0.387313,0.184770,0.000000,1278.878164,1371.270256,2011-05-20
2011.382568,-0.166000,0.065200,0.422873,0.184332,0.000000,1278.888612,1371.281948,2011-05-21
2011.385376,-0.166000,0.065100,0.469233,0.183821,0.000000,1278.899851,1371.294549,2011-05-22
2011.388062,-0.166000,0.065300,0.602983,0.183197,0.000000,1278.910872,1371.306926,2011-05-23
2011.390869,-0.169400,0.065500,0.850783,0.182517,0.000000,1278.922640,1371.320162,2011-05-24
2011.393555,-0.171000,0.065700,1.137663,0.181761,0.000000,1278.934114,1371.333079,2011-05-25
2011.396362,-0.174400,0.066100,1.383803,0.180893,0.000000,1278.946295,1371.346807,2011-05-26
2011.399048,-0.172700,0.066500,1.618733,0.179992,0.000000,1278.958107,1371.360125,2011-05-27
2011.401733,-0.172700,0.067100,1.940253,0.178982,0.000000,1278.970037,1371.373583,2011-05-28
2011.404541,-0.172700,0.067400,2.237953,0.177953,0.000000,1278.982615,1371.387776,2011-05-29
2011.407227,-0.176000,0.067700,2.458353,0.176818,0.000000,1278.994716,1371.401431,2011-05-30
