utvec,dv,err,temp,SM_EWT,date
2009.230713,-0.302900,0.146600,1.635170,0.555606,2009-03-26
2009.233398,-0.304500,0.153100,1.617480,0.556342,2009-03-27
2009.236084,-0.306500,0.160200,1.543730,0.557124,2009-03-28
2009.238892,-0.310700,0.165500,1.529290,0.557881,2009-03-29
2009.241577,-0.309800,0.172000,1.648510,0.558674,2009-03-30
2009.244385,-0.314500,0.181000,1.852440,0.559429,2009-03-31
2009.247070,-0.320300,0.192600,2.014070,0.560177,2009-04-01
2009.249878,-0.326100,0.205100,2.023540,0.560944,2009-04-02
2009.252563,-0.328900,0.210000,1.965210,0.561660,2009-04-03
2009.255249,-0.328900,0.214600,1.933320,0.562383,2009-04-04
2009.258057,-0.327500,0.227400,1.987230,0.563045,2009-04-05
2009.260742,-0.336600,0.243100,2.226680,0.563701,2009-04-06
2009.263550,-0.352900,0.267500,2.477820,0.564289,2009-04-07
2009.266235,-0.358300,0.281300,2.698240,0.564833,2009-04-08
2009.269043,-0.374900,0.300500,2.793960,0.565349,2009-04-09
2009.271729,-0.385599,0.319388,2.985890,0.565787,2009-04-10
2009.274414,-0.396139,0.336357,3.244870,0.566182,2009-04-11
2009.277222,-0.406961,0.352084,3.480140,0.566493,2009-04-12
2009.279907,-0.417085,0.365219,3.647200,0.566744,2009-04-13
2009.282715,-0.427402,0.376993,3.747500,0.566907,2009-04-14
2009.285400,-0.436976,0.386402,3.882030,0.566990,2009-04-15
2009.288208,-0.446649,0.394337,3.970130,0.566999,2009-04-16
2009.290894,-0.455543,0.400129,4.013130,0.566993,2009-04-17
2009.293579,-0.464051,0.404190,4.151640,0.566980,2009-04-18
2009.296387,-0.472506,0.406615,4.342890,0.566962,2009-04-19
2009.299072,-0.480133,0.407217,4.509680,0.566939,2009-04-20
2009.301880,-0.487596,0.406081,4.560740,0.566912,2009-04-21
2009.304565,-0.494208,0.403333,4.625480,0.566882,2009-04-22
2009.307373,-0.500539,0.398748,4.823590,0.566846,2009-04-23
2009.310059,-0.506005,0.392754,5.082950,0.566808,2009-04-24
2009.312744,-0.510859,0.385215,5.258760,0.566766,2009-04-25
2009.315552,-0.515248,0.375705,5.458740,0.566723,2009-04-26
2009.318237,-0.518755,0.365083,5.754670,0.566676,2009-04-27
2009.321045,-0.521666,0.352405,6.056590,0.566630,2009-04-28
2009.323730,-0.523693,0.338807,6.286090,0.566583,2009-04-29
2009.326538,-0.524986,0.323073,6.558820,0.566533,2009-04-30
2009.329224,-0.525400,0.306600,6.878420,0.566484,2009-05-01
2009.331909,-0.525400,0.290100,7.158080,0.566434,2009-05-02
2009.334717,-0.525300,0.276400,7.454830,0.566386,2009-05-03
2009.337402,-0.524500,0.262100,7.651560,0.566338,2009-05-04
2009.340210,-0.523600,0.251400,7.901260,0.566292,2009-05-05
2009.342896,-0.527600,0.242800,8.184510,0.566249,2009-05-06
2009.345703,-0.532600,0.233900,8.418710,0.566206,2009-05-07
2009.348389,-0.529200,0.228600,8.536910,0.566167,2009-05-08
2009.351074,-0.538700,0.225900,8.539660,0.566130,2009-05-09
2009.353882,-0.536300,0.218300,8.634550,0.566098,2009-05-10
2009.356567,-0.532000,0.212300,8.788470,0.566069,2009-05-11
2009.359375,-0.528900,0.206800,8.850140,0.566045,2009-05-12
2009.362061,-0.519100,0.201900,8.910270,0.566026,2009-05-13
2009.364868,-0.513100,0.198000,9.001320,0.566011,2009-05-14
2009.367554,-0.503900,0.195800,9.055980,0.566003,2009-05-15
2009.370239,-0.494000,0.192900,9.161270,0.566001,2009-05-16
2009.373047,-0.490000,0.190600,9.320390,0.566081,2009-05-17
2009.375732,-0.483200,0.188800,9.537150,0.566294,2009-05-18
2009.378540,-0.480100,0.187300,9.678280,0.566614,2009-05-19
2009.381226,-0.468911,0.186549,9.749150,0.567037,2009-05-20
2009.384033,-0.459300,0.186500,9.838690,0.567582,2009-05-21
2009.386719,-0.476800,0.186800,9.872050,0.568192,2009-05-22
2009.389404,-0.473100,0.186500,9.880390,0.568913,2009-05-23
2009.392212,-0.467200,0.186000,9.871270,0.569674,2009-05-24
2009.394897,-0.465200,0.184400,9.910060,0.570536,2009-05-25
2009.397705,-0.457800,0.183600,10.104800,0.571413,2009-05-26
2009.400391,-0.461100,0.184300,10.361000,0.572335,2009-05-27
2009.403198,-0.461500,0.184000,10.595300,0.573336,2009-05-28
2009.405884,-0.457100,0.183700,10.778600,0.574321,2009-05-29
2009.408569,-0.459000,0.182100,10.933900,0.575370,2009-05-30
2009.411377,-0.459400,0.182900,11.153800,0.576383,2009-05-31
2009.414062,-0.460800,0.182200,11.389700,0.577443,2009-06-01
2009.416870,-0.459400,0.182000,11.599300,0.578449,2009-06-02
2009.419556,-0.460100,0.182300,11.794200,0.579439,2009-06-03
2009.422363,-0.461700,0.182200,11.940900,0.580448,2009-06-04
2009.425049,-0.461400,0.182600,12.116700,0.581378,2009-06-05
2009.427734,-0.461000,0.182600,12.235700,0.582306,2009-06-06
2009.430542,-0.460500,0.182800,12.371500,0.583141,2009-06-07
2009.433228,-0.458400,0.182800,12.531000,0.583951,2009-06-08
2009.436035,-0.459400,0.182900,12.714000,0.584657,2009-06-09
2009.438721,-0.458400,0.182800,12.875000,0.585285,2009-06-10
2009.441528,-0.456000,0.183100,13.032500,0.585852,2009-06-11
2009.444214,-0.453000,0.182600,13.170100,0.586298,2009-06-12
2009.446899,-0.456800,0.183000,13.361000,0.586655,2009-06-13
2009.449707,-0.452200,0.183300,13.555200,0.586883,2009-06-14
2009.452393,-0.458100,0.183700,13.631700,0.586994,2009-06-15
2009.455200,-0.459200,0.183300,13.752100,0.586948,2009-06-16
2009.457886,-0.459400,0.183300,13.905800,0.586691,2009-06-17
2009.460693,-0.461700,0.182800,14.013700,0.586204,2009-06-18
2009.463379,-0.464500,0.181000,14.086600,0.585539,2009-06-19
2009.466064,-0.459200,0.180100,14.158600,0.584648,2009-06-20
2009.468872,-0.461500,0.179500,14.261400,0.583620,2009-06-21
2009.471558,-0.456900,0.179400,14.353400,0.582371,2009-06-22
2009.474365,-0.456800,0.180800,14.457600,0.581022,2009-06-23
2009.477051,-0.457700,0.181000,14.599000,0.579532,2009-06-24
2009.479858,-0.453400,0.181600,14.792400,0.577836,2009-06-25
2009.482544,-0.453300,0.182300,14.944400,0.576091,2009-06-26
2009.485229,-0.451900,0.182000,15.102000,0.574151,2009-06-27
2009.488037,-0.451300,0.181100,15.219600,0.572195,2009-06-28
2009.490723,-0.445500,0.181300,15.261600,0.570058,2009-06-29
2009.493530,-0.439876,0.181661,15.275900,0.567934,2009-06-30
2009.496216,-0.435014,0.181823,15.290600,0.565745,2009-07-01
2009.499023,-0.430320,0.181814,15.355000,0.563398,2009-07-02
2009.501709,-0.426052,0.181648,15.427000,0.561106,2009-07-03
2009.504395,-0.421857,0.181342,15.546100,0.558675,2009-07-04
2009.507202,-0.417398,0.180885,15.667700,0.556325,2009-07-05
2009.509888,-0.412911,0.180331,15.747900,0.553856,2009-07-06
2009.512695,-0.407836,0.179645,15.877200,0.551492,2009-07-07
2009.515381,-0.402463,0.178898,15.990400,0.549137,2009-07-08
2009.518188,-0.396152,0.178037,16.080700,0.546695,2009-07-09
2009.520874,-0.389298,0.177150,16.073200,0.544391,2009-07-10
2009.523560,-0.381504,0.176215,16.081900,0.542026,2009-07-11
2009.526367,-0.372200,0.175200,16.172100,0.539816,2009-07-12
2009.529053,-0.356300,0.174200,16.323900,0.537573,2009-07-13
2009.531860,-0.360000,0.173000,16.490700,0.535501,2009-07-14
2009.534546,-0.358900,0.171600,16.664700,0.533514,2009-07-15
2009.537354,-0.352500,0.170700,16.782600,0.531531,2009-07-16
2009.540039,-0.353900,0.169200,16.773500,0.529613,2009-07-17
2009.542725,-0.351000,0.167100,16.745000,0.527536,2009-07-18
2009.545532,-0.345900,0.164600,16.768300,0.525488,2009-07-19
2009.548218,-0.345300,0.162400,16.824600,0.523291,2009-07-20
2009.551025,-0.344000,0.159900,16.873700,0.521142,2009-07-21
2009.553711,-0.334700,0.157800,17.002100,0.518953,2009-07-22
2009.556519,-0.326100,0.155200,17.169100,0.516630,2009-07-23
2009.559204,-0.316700,0.153200,17.361300,0.514380,2009-07-24
2009.561890,-0.304900,0.152600,17.402400,0.512008,2009-07-25
2009.564697,-0.288100,0.150600,17.349200,0.509726,2009-07-26
2009.567383,-0.274200,0.146300,17.294500,0.507334,2009-07-27
2009.570190,-0.261900,0.144300,17.346800,0.505047,2009-07-28
2009.572876,-0.251400,0.143300,17.430600,0.502767,2009-07-29
2009.575684,-0.240100,0.144400,17.485600,0.500399,2009-07-30
2009.578369,-0.233500,0.144600,17.504300,0.498156,2009-07-31
2009.581055,-0.231200,0.145100,17.497900,0.495840,2009-08-01
