utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2016.086182,-0.068300,0.204000,-0.789030,0.522982,0.004230,1277.331417,1369.613493,2016-02-02
2016.088989,-0.064900,0.208300,-0.476049,0.523658,0.004459,1277.332666,1369.616963,2016-02-03
2016.091675,-0.069100,0.201600,-0.232837,0.524337,0.004689,1277.333892,1369.620278,2016-02-04
2016.094482,-0.070500,0.198100,0.012962,0.524959,0.004900,1277.335202,1369.623734,2016-02-05
2016.097168,-0.076100,0.198500,0.106905,0.525551,0.005097,1277.336479,1369.627030,2016-02-06
2016.099976,-0.075700,0.197500,0.143327,0.526135,0.005289,1277.337833,1369.630461,2016-02-07
2016.102661,-0.073000,0.197900,0.248608,0.526658,0.005455,1277.339142,1369.633726,2016-02-08
2016.105347,-0.066300,0.201300,0.421759,0.527164,0.005610,1277.340461,1369.636976,2016-02-09
2016.108154,-0.064400,0.204100,0.671067,0.527608,0.005736,1277.341845,1369.640350,2016-02-10
2016.110840,-0.064400,0.198000,0.965186,0.528025,0.005845,1277.343170,1369.643556,2016-02-11
2016.113647,-0.069500,0.193400,1.251150,0.528379,0.005923,1277.344551,1369.646880,2016-02-12
2016.116333,-0.070400,0.191100,1.527920,0.528684,0.005975,1277.345865,1369.650034,2016-02-13
2016.119141,-0.071900,0.189300,1.661610,0.528950,0.005999,1277.347225,1369.653300,2016-02-14
2016.121826,-0.073400,0.189200,1.729910,0.529165,0.005989,1277.348509,1369.656390,2016-02-15
2016.124512,-0.068700,0.194300,1.826110,0.529386,0.005941,1277.349773,1369.659448,2016-02-16
2016.127319,-0.070500,0.197600,1.959010,0.529593,0.005861,1277.351068,1369.662606,2016-02-17
2016.130005,-0.071700,0.192700,2.001820,0.529807,0.005744,1277.352283,1369.665591,2016-02-18
2016.132812,-0.074700,0.189500,2.098780,0.530007,0.005604,1277.353531,1369.668673,2016-02-19
2016.135498,-0.077800,0.188900,2.294570,0.530203,0.005438,1277.354707,1369.671587,2016-02-20
2016.138306,-0.072300,0.187800,2.518510,0.530404,0.005240,1277.355920,1369.674597,2016-02-21
2016.140991,-0.073600,0.188900,2.588620,0.530591,0.005029,1277.357069,1369.677442,2016-02-22
2016.143677,-0.074800,0.192500,2.618810,0.530781,0.004789,1277.358208,1369.680257,2016-02-23
2016.146484,-0.083000,0.194700,2.695330,0.530957,0.004544,1277.359393,1369.683164,2016-02-24
2016.149170,-0.091600,0.190800,2.776540,0.531136,0.004272,1277.360523,1369.685916,2016-02-25
2016.151978,-0.102200,0.185400,2.875670,0.531302,0.004002,1277.361703,1369.688760,2016-02-26
2016.154663,-0.102400,0.185500,3.088780,0.531461,0.003723,1277.362834,1369.691450,2016-02-27
2016.157471,-0.106200,0.183700,3.210200,0.531621,0.003425,1277.364023,1369.694233,2016-02-28
2016.160156,-0.100000,0.189400,3.257960,0.531767,0.003136,1277.365167,1369.696866,2016-02-29
2016.162842,-0.098700,0.192900,3.260380,0.531913,0.002833,1277.366323,1369.699474,2016-03-01
2016.165649,-0.096200,0.196000,3.336330,0.532045,0.002544,1277.367546,1369.702171,2016-03-02
2016.168335,-0.101000,0.191400,3.511680,0.532175,0.002247,1277.368732,1369.704726,2016-03-03
2016.171143,-0.104400,0.186100,3.799720,0.532292,0.001969,1277.369994,1369.707371,2016-03-04
2016.173828,-0.105800,0.184700,4.160470,0.532400,0.001699,1277.371223,1369.709875,2016-03-05
2016.176636,-0.105700,0.183900,4.532500,0.532505,0.001429,1277.372534,1369.712470,2016-03-06
2016.179321,-0.102400,0.184000,4.766170,0.532597,0.001185,1277.373817,1369.714929,2016-03-07
2016.182007,-0.099400,0.187100,5.009680,0.532684,0.000947,1277.375132,1369.717367,2016-03-08
2016.184814,-0.099100,0.188600,5.311520,0.532758,0.000739,1277.376541,1369.719893,2016-03-09
2016.187500,-0.097300,0.182600,5.623930,0.532825,0.000543,1277.377927,1369.722289,2016-03-10
2016.190308,-0.098900,0.179000,5.894020,0.532880,0.000380,1277.379417,1369.724774,2016-03-11
2016.192993,-0.095100,0.176200,6.149060,0.532924,0.000243,1277.380886,1369.727131,2016-03-12
2016.195801,-0.096500,0.174700,6.426530,0.532960,0.000129,1277.382470,1369.729577,2016-03-13
2016.198486,-0.099500,0.173400,6.718870,0.532984,0.000053,1277.384033,1369.731899,2016-03-14
2016.201172,-0.099600,0.176700,7.016760,0.532998,0.000008,1277.385648,1369.734205,2016-03-15
2016.203979,-0.097900,0.179100,7.227800,0.532999,0.000000,1277.387393,1369.736599,2016-03-16
2016.206665,-0.094100,0.177800,7.322640,0.532978,0.000000,1277.389120,1369.738874,2016-03-17
2016.209473,-0.092500,0.177600,7.374830,0.532937,0.000000,1277.390988,1369.741238,2016-03-18
2016.212158,-0.093800,0.175600,7.444030,0.532874,0.000000,1277.392833,1369.743484,2016-03-19
2016.214966,-0.093700,0.174200,7.481090,0.532788,0.000000,1277.394815,1369.745817,2016-03-20
2016.217651,-0.091800,0.174100,7.580620,0.532687,0.000000,1277.396754,1369.748032,2016-03-21
2016.220337,-0.098200,0.176100,7.725670,0.532562,0.000000,1277.398730,1369.750231,2016-03-22
2016.223145,-0.094700,0.178200,7.925150,0.532426,0.000000,1277.400825,1369.752512,2016-03-23
2016.225830,-0.094800,0.177700,8.102160,0.532267,0.000000,1277.402851,1369.754674,2016-03-24
2016.228638,-0.094300,0.173600,8.178950,0.532100,0.000000,1277.404984,1369.756915,2016-03-25
2016.231323,-0.095600,0.169400,8.321030,0.531920,0.000000,1277.407032,1369.759038,2016-03-26
2016.234131,-0.098500,0.166000,8.390080,0.531719,0.000000,1277.409173,1369.761236,2016-03-27
2016.236816,-0.103400,0.163400,8.416060,0.531515,0.000000,1277.411214,1369.763316,2016-03-28
2016.239502,-0.101700,0.164000,8.392740,0.531291,0.000000,1277.413241,1369.765374,2016-03-29
2016.242310,-0.103100,0.164500,8.328300,0.531067,0.000000,1277.415337,1369.767502,2016-03-30
2016.244995,-0.103000,0.163200,8.328210,0.530825,0.000000,1277.417313,1369.769512,2016-03-31
2016.247803,-0.099500,0.160100,8.336470,0.530586,0.000000,1277.419342,1369.771587,2016-04-01
2016.250488,-0.107800,0.155300,8.324550,0.530340,0.000000,1277.421238,1369.773546,2016-04-02
2016.253296,-0.107400,0.148800,8.330300,0.530079,0.000000,1277.423169,1369.775567,2016-04-03
2016.255981,-0.110600,0.144500,8.372380,0.529825,0.000000,1277.424956,1369.777471,2016-04-04
2016.258667,-0.114000,0.144600,8.467690,0.529557,0.000000,1277.426681,1369.779348,2016-04-05
2016.261475,-0.120500,0.143400,8.536960,0.529298,0.000000,1277.428408,1369.781279,2016-04-06
2016.264160,-0.125500,0.137800,8.624670,0.529027,0.000000,1277.429981,1369.783096,2016-04-07
